quote_date,paper,exch,open,high,low,close,volume,value
20170606,AI-HCIIN,Fonds,89.78,89.78,89.78,89.78,0,0
20170602,AI-HCIIN,Fonds,90.13,90.13,90.13,90.13,0,0
20170601,AI-HCIIN,Fonds,90.21,90.21,90.21,90.21,0,0
20170531,AI-HCIIN,Fonds,90.27,90.27,90.27,90.27,0,0
20170530,AI-HCIIN,Fonds,90.26,90.26,90.26,90.26,0,0
20170529,AI-HCIIN,Fonds,90.25,90.25,90.25,90.25,0,0
20170526,AI-HCIIN,Fonds,90.20,90.20,90.20,90.20,0,0
20170524,AI-HCIIN,Fonds,90.26,90.26,90.26,90.26,0,0
20170523,AI-HCIIN,Fonds,90.24,90.24,90.24,90.24,0,0
20170522,AI-HCIIN,Fonds,90.22,90.22,90.22,90.22,0,0
20170519,AI-HCIIN,Fonds,90.23,90.23,90.23,90.23,0,0
20170518,AI-HCIIN,Fonds,90.18,90.18,90.18,90.18,0,0
20170516,AI-HCIIN,Fonds,90.10,90.10,90.10,90.10,0,0
20170515,AI-HCIIN,Fonds,90.17,90.17,90.17,90.17,0,0
20170512,AI-HCIIN,Fonds,90.18,90.18,90.18,90.18,0,0
20170511,AI-HCIIN,Fonds,90.14,90.14,90.14,90.14,0,0
20170510,AI-HCIIN,Fonds,89.97,89.97,89.97,89.97,0,0
20170509,AI-HCIIN,Fonds,90.02,90.02,90.02,90.02,0,0
20170508,AI-HCIIN,Fonds,89.93,89.93,89.93,89.93,0,0
20170505,AI-HCIIN,Fonds,89.86,89.86,89.86,89.86,0,0
20170504,AI-HCIIN,Fonds,89.75,89.75,89.75,89.75,0,0
20170503,AI-HCIIN,Fonds,89.76,89.76,89.76,89.76,0,0
20170502,AI-HCIIN,Fonds,89.86,89.86,89.86,89.86,0,0
20170428,AI-HCIIN,Fonds,89.71,89.71,89.71,89.71,0,0
20170427,AI-HCIIN,Fonds,89.75,89.75,89.75,89.75,0,0
20170426,AI-HCIIN,Fonds,89.65,89.65,89.65,89.65,0,0
20170425,AI-HCIIN,Fonds,89.69,89.69,89.69,89.69,0,0
20170424,AI-HCIIN,Fonds,89.63,89.63,89.63,89.63,0,0
20170421,AI-HCIIN,Fonds,89.57,89.57,89.57,89.57,0,0
20170420,AI-HCIIN,Fonds,89.51,89.51,89.51,89.51,0,0
20170419,AI-HCIIN,Fonds,89.49,89.49,89.49,89.49,0,0
20170418,AI-HCIIN,Fonds,89.45,89.45,89.45,89.45,0,0
20170412,AI-HCIIN,Fonds,89.34,89.34,89.34,89.34,0,0
20170411,AI-HCIIN,Fonds,89.23,89.23,89.23,89.23,0,0
20170410,AI-HCIIN,Fonds,89.13,89.13,89.13,89.13,0,0
20170407,AI-HCIIN,Fonds,89.06,89.06,89.06,89.06,0,0
20170406,AI-HCIIN,Fonds,89.09,89.09,89.09,89.09,0,0
20170405,AI-HCIIN,Fonds,89.45,89.45,89.45,89.45,0,0
20170404,AI-HCIIN,Fonds,89.04,89.04,89.04,89.04,0,0
20170403,AI-HCIIN,Fonds,89.18,89.18,89.18,89.18,0,0
20170331,AI-HCIIN,Fonds,89.10,89.10,89.10,89.10,0,0
20170330,AI-HCIIN,Fonds,89.04,89.04,89.04,89.04,0,0
20170329,AI-HCIIN,Fonds,89.03,89.03,89.03,89.03,0,0
20170328,AI-HCIIN,Fonds,88.98,88.98,88.98,88.98,0,0
20170327,AI-HCIIN,Fonds,89.03,89.03,89.03,89.03,0,0
20170324,AI-HCIIN,Fonds,88.83,88.83,88.83,88.83,0,0
20170323,AI-HCIIN,Fonds,88.59,88.59,88.59,88.59,0,0
20170322,AI-HCIIN,Fonds,88.38,88.38,88.38,88.38,0,0
20170321,AI-HCIIN,Fonds,88.14,88.14,88.14,88.14,0,0
20170320,AI-HCIIN,Fonds,88.23,88.23,88.23,88.23,0,0
20170317,AI-HCIIN,Fonds,88.00,88.00,88.00,88.00,0,0
20170316,AI-HCIIN,Fonds,88.03,88.03,88.03,88.03,0,0
20170315,AI-HCIIN,Fonds,87.44,87.44,87.44,87.44,0,0
20170314,AI-HCIIN,Fonds,87.44,87.44,87.44,87.44,0,0
20170313,AI-HCIIN,Fonds,87.36,87.36,87.36,87.36,0,0
20170310,AI-HCIIN,Fonds,87.18,87.18,87.18,87.18,0,0
20170309,AI-HCIIN,Fonds,87.15,87.15,87.15,87.15,0,0
20170308,AI-HCIIN,Fonds,87.09,87.09,87.09,87.09,0,0
20170307,AI-HCIIN,Fonds,86.59,86.59,86.59,86.59,0,0
20170303,AI-HCIIN,Fonds,86.82,86.82,86.82,86.82,0,0
20170302,AI-HCIIN,Fonds,86.80,86.80,86.80,86.80,0,0
20170301,AI-HCIIN,Fonds,86.78,86.78,86.78,86.78,0,0
20170228,AI-HCIIN,Fonds,86.70,86.70,86.70,86.70,0,0
20170227,AI-HCIIN,Fonds,86.39,86.39,86.39,86.39,0,0
20170224,AI-HCIIN,Fonds,86.44,86.44,86.44,86.44,0,0
20170223,AI-HCIIN,Fonds,86.42,86.42,86.42,86.42,0,0
20170222,AI-HCIIN,Fonds,86.10,86.10,86.10,86.10,0,0
20170221,AI-HCIIN,Fonds,86.02,86.02,86.02,86.02,0,0
20170220,AI-HCIIN,Fonds,86.04,86.04,86.04,86.04,0,0
20170217,AI-HCIIN,Fonds,85.92,85.92,85.92,85.92,0,0
20170216,AI-HCIIN,Fonds,85.91,85.91,85.91,85.91,0,0
