quote_date,paper,exch,open,high,low,close,volume,value
20170606,AI-KOBL,Fonds,102.14,102.14,102.14,102.14,0,0
20170602,AI-KOBL,Fonds,102.11,102.11,102.11,102.11,0,0
20170601,AI-KOBL,Fonds,102.07,102.07,102.07,102.07,0,0
20170531,AI-KOBL,Fonds,102.06,102.06,102.06,102.06,0,0
20170530,AI-KOBL,Fonds,102.05,102.05,102.05,102.05,0,0
20170529,AI-KOBL,Fonds,102.04,102.04,102.04,102.04,0,0
20170526,AI-KOBL,Fonds,102.03,102.03,102.03,102.03,0,0
20170524,AI-KOBL,Fonds,102.01,102.01,102.01,102.01,0,0
20170523,AI-KOBL,Fonds,102.00,102.00,102.00,102.00,0,0
20170522,AI-KOBL,Fonds,101.99,101.99,101.99,101.99,0,0
20170519,AI-KOBL,Fonds,101.98,101.98,101.98,101.98,0,0
20170518,AI-KOBL,Fonds,101.98,101.98,101.98,101.98,0,0
20170516,AI-KOBL,Fonds,101.95,101.95,101.95,101.95,0,0
20170515,AI-KOBL,Fonds,101.88,101.88,101.88,101.88,0,0
20170512,AI-KOBL,Fonds,101.85,101.85,101.85,101.85,0,0
20170511,AI-KOBL,Fonds,101.84,101.84,101.84,101.84,0,0
20170510,AI-KOBL,Fonds,101.80,101.80,101.80,101.80,0,0
20170509,AI-KOBL,Fonds,101.82,101.82,101.82,101.82,0,0
20170508,AI-KOBL,Fonds,101.81,101.81,101.81,101.81,0,0
20170505,AI-KOBL,Fonds,101.80,101.80,101.80,101.80,0,0
20170504,AI-KOBL,Fonds,101.79,101.79,101.79,101.79,0,0
20170503,AI-KOBL,Fonds,101.79,101.79,101.79,101.79,0,0
20170502,AI-KOBL,Fonds,101.78,101.78,101.78,101.78,0,0
20170428,AI-KOBL,Fonds,101.76,101.76,101.76,101.76,0,0
20170427,AI-KOBL,Fonds,101.75,101.75,101.75,101.75,0,0
20170426,AI-KOBL,Fonds,101.73,101.73,101.73,101.73,0,0
20170425,AI-KOBL,Fonds,101.72,101.72,101.72,101.72,0,0
20170424,AI-KOBL,Fonds,101.70,101.70,101.70,101.70,0,0
20170421,AI-KOBL,Fonds,101.69,101.69,101.69,101.69,0,0
20170420,AI-KOBL,Fonds,101.69,101.69,101.69,101.69,0,0
