quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-TWEUR,Fonds,4997.32,4997.32,4997.32,4997.32,0,0
20160323,AI-TWEUR,Fonds,5248.55,5248.55,5248.55,5248.55,0,0
20160216,AI-TWEUR,Fonds,4803.32,4803.32,4803.32,4803.32,0,0
20151230,AI-TWEUR,Fonds,5710.98,5710.98,5710.98,5710.98,0,0
20141230,AI-TWEUR,Fonds,4451.64,4451.64,4451.64,4451.64,0,0
20140416,AI-TWEUR,Fonds,3142.88,3142.88,3142.88,3142.88,0,0
20130327,AI-TWEUR,Fonds,2610.25,2610.25,2610.25,2610.25,0,0
20130304,AI-TWEUR,Fonds,2556.13,2556.13,2556.13,2556.13,0,0
20130301,AI-TWEUR,Fonds,2569.49,2569.49,2569.49,2569.49,0,0
20130228,AI-TWEUR,Fonds,2537.92,2537.92,2537.92,2537.92,0,0
20130225,AI-TWEUR,Fonds,2480.80,2480.80,2480.80,2480.80,0,0
20130222,AI-TWEUR,Fonds,2527.75,2527.75,2527.75,2527.75,0,0
20130221,AI-TWEUR,Fonds,2491.87,2491.87,2491.87,2491.87,0,0
20130220,AI-TWEUR,Fonds,2475.28,2475.28,2475.28,2475.28,0,0
20130219,AI-TWEUR,Fonds,2511.65,2511.65,2511.65,2511.65,0,0
20130215,AI-TWEUR,Fonds,2493.41,2493.41,2493.41,2493.41,0,0
20130214,AI-TWEUR,Fonds,2472.37,2472.37,2472.37,2472.37,0,0
20130213,AI-TWEUR,Fonds,2460.46,2460.46,2460.46,2460.46,0,0
20130212,AI-TWEUR,Fonds,2465.96,2465.96,2465.96,2465.96,0,0
20130211,AI-TWEUR,Fonds,2481.99,2481.99,2481.99,2481.99,0,0
20130208,AI-TWEUR,Fonds,2494.23,2494.23,2494.23,2494.23,0,0
20130207,AI-TWEUR,Fonds,2477.96,2477.96,2477.96,2477.96,0,0
20130206,AI-TWEUR,Fonds,2474.85,2474.85,2474.85,2474.85,0,0
20130205,AI-TWEUR,Fonds,2479.65,2479.65,2479.65,2479.65,0,0
20130204,AI-TWEUR,Fonds,2442.95,2442.95,2442.95,2442.95,0,0
20130131,AI-TWEUR,Fonds,2448.44,2448.44,2448.44,2448.44,0,0
20130130,AI-TWEUR,Fonds,2446.45,2446.45,2446.45,2446.45,0,0
20130129,AI-TWEUR,Fonds,2455.42,2455.42,2455.42,2455.42,0,0
20130128,AI-TWEUR,Fonds,2482.88,2482.88,2482.88,2482.88,0,0
20130125,AI-TWEUR,Fonds,2477.05,2477.05,2477.05,2477.05,0,0
20130124,AI-TWEUR,Fonds,2474.08,2474.08,2474.08,2474.08,0,0
20130123,AI-TWEUR,Fonds,2493.44,2493.44,2493.44,2493.44,0,0
20130122,AI-TWEUR,Fonds,2470.92,2470.92,2470.92,2470.92,0,0
20130118,AI-TWEUR,Fonds,2491.12,2491.12,2491.12,2491.12,0,0
20130117,AI-TWEUR,Fonds,2473.24,2473.24,2473.24,2473.24,0,0
20130116,AI-TWEUR,Fonds,2458.31,2458.31,2458.31,2458.31,0,0
20130115,AI-TWEUR,Fonds,2453.23,2453.23,2453.23,2453.23,0,0
20130114,AI-TWEUR,Fonds,2445.36,2445.36,2445.36,2445.36,0,0
20130111,AI-TWEUR,Fonds,2462.14,2462.14,2462.14,2462.14,0,0
20130110,AI-TWEUR,Fonds,2457.74,2457.74,2457.74,2457.74,0,0
20130109,AI-TWEUR,Fonds,2469.35,2469.35,2469.35,2469.35,0,0
20130108,AI-TWEUR,Fonds,2459.68,2459.68,2459.68,2459.68,0,0
20130107,AI-TWEUR,Fonds,2460.18,2460.18,2460.18,2460.18,0,0
20130104,AI-TWEUR,Fonds,2472.68,2472.68,2472.68,2472.68,0,0
20130103,AI-TWEUR,Fonds,2467.51,2467.51,2467.51,2467.51,0,0
20130102,AI-TWEUR,Fonds,2463.01,2463.01,2463.01,2463.01,0,0
20121231,AI-TWEUR,Fonds,2415.85,2415.85,2415.85,2415.85,0,0
20121228,AI-TWEUR,Fonds,2386.76,2386.76,2386.76,2386.76,0,0
20121227,AI-TWEUR,Fonds,2406.88,2406.88,2406.88,2406.88,0,0
20121221,AI-TWEUR,Fonds,2419.79,2419.79,2419.79,2419.79,0,0
20121220,AI-TWEUR,Fonds,2438.20,2438.20,2438.20,2438.20,0,0
20121219,AI-TWEUR,Fonds,2436.99,2436.99,2436.99,2436.99,0,0
20121218,AI-TWEUR,Fonds,2456.05,2456.05,2456.05,2456.05,0,0
20121217,AI-TWEUR,Fonds,2425.15,2425.15,2425.15,2425.15,0,0
20121214,AI-TWEUR,Fonds,2398.10,2398.10,2398.10,2398.10,0,0
20121213,AI-TWEUR,Fonds,2414.86,2414.86,2414.86,2414.86,0,0
20121212,AI-TWEUR,Fonds,2437.50,2437.50,2437.50,2437.50,0,0
20121211,AI-TWEUR,Fonds,2454.95,2454.95,2454.95,2454.95,0,0
20121207,AI-TWEUR,Fonds,2424.19,2424.19,2424.19,2424.19,0,0
20121206,AI-TWEUR,Fonds,2421.85,2421.85,2421.85,2421.85,0,0
20121205,AI-TWEUR,Fonds,2399.54,2399.54,2399.54,2399.54,0,0
20121204,AI-TWEUR,Fonds,2410.77,2410.77,2410.77,2410.77,0,0
20121203,AI-TWEUR,Fonds,2421.52,2421.52,2421.52,2421.52,0,0
20121130,AI-TWEUR,Fonds,2438.04,2438.04,2438.04,2438.04,0,0
20121129,AI-TWEUR,Fonds,2447.92,2447.92,2447.92,2447.92,0,0
20121128,AI-TWEUR,Fonds,2435.61,2435.61,2435.61,2435.61,0,0
20121127,AI-TWEUR,Fonds,2416.10,2416.10,2416.10,2416.10,0,0
20121126,AI-TWEUR,Fonds,2409.36,2409.36,2409.36,2409.36,0,0
20121123,AI-TWEUR,Fonds,2402.37,2402.37,2402.37,2402.37,0,0
20121121,AI-TWEUR,Fonds,2390.94,2390.94,2390.94,2390.94,0,0
20121120,AI-TWEUR,Fonds,2381.48,2381.48,2381.48,2381.48,0,0
20121119,AI-TWEUR,Fonds,2389.50,2389.50,2389.50,2389.50,0,0
20121116,AI-TWEUR,Fonds,2365.04,2365.04,2365.04,2365.04,0,0
20121115,AI-TWEUR,Fonds,2335.26,2335.26,2335.26,2335.26,0,0
20121114,AI-TWEUR,Fonds,2345.22,2345.22,2345.22,2345.22,0,0
20121113,AI-TWEUR,Fonds,2370.74,2370.74,2370.74,2370.74,0,0
20121112,AI-TWEUR,Fonds,2376.95,2376.95,2376.95,2376.95,0,0
20121109,AI-TWEUR,Fonds,2382.15,2382.15,2382.15,2382.15,0,0
20121108,AI-TWEUR,Fonds,2377.65,2377.65,2377.65,2377.65,0,0
