quote_date,paper,exch,open,high,low,close,volume,value
20170504,DK-NSEL1,Fonds,736.95,736.95,736.95,736.95,0,0
20170503,DK-NSEL1,Fonds,743.33,743.33,743.33,743.33,0,0
20170502,DK-NSEL1,Fonds,746.29,746.29,746.29,746.29,0,0
20170428,DK-NSEL1,Fonds,738.05,738.05,738.05,738.05,0,0
20170427,DK-NSEL1,Fonds,736.43,736.43,736.43,736.43,0,0
20170426,DK-NSEL1,Fonds,731.89,731.89,731.89,731.89,0,0
20170425,DK-NSEL1,Fonds,733.81,733.81,733.81,733.81,0,0
20170424,DK-NSEL1,Fonds,726.78,726.78,726.78,726.78,0,0
20170421,DK-NSEL1,Fonds,720.35,720.35,720.35,720.35,0,0
20170420,DK-NSEL1,Fonds,723.52,723.52,723.52,723.52,0,0
20170419,DK-NSEL1,Fonds,723.62,723.62,723.62,723.62,0,0
20170418,DK-NSEL1,Fonds,726.77,726.77,726.77,726.77,0,0
20170412,DK-NSEL1,Fonds,737.71,737.71,737.71,737.71,0,0
20170411,DK-NSEL1,Fonds,732.65,732.65,732.65,732.65,0,0
20170410,DK-NSEL1,Fonds,735.54,735.54,735.54,735.54,0,0
20170407,DK-NSEL1,Fonds,734.53,734.53,734.53,734.53,0,0
20170406,DK-NSEL1,Fonds,734.91,734.91,734.91,734.91,0,0
20170405,DK-NSEL1,Fonds,734.05,734.05,734.05,734.05,0,0
20170404,DK-NSEL1,Fonds,726.16,726.16,726.16,726.16,0,0
20170403,DK-NSEL1,Fonds,731.23,731.23,731.23,731.23,0,0
20170331,DK-NSEL1,Fonds,727.31,727.31,727.31,727.31,0,0
20170330,DK-NSEL1,Fonds,732.08,732.08,732.08,732.08,0,0
20170329,DK-NSEL1,Fonds,726.51,726.51,726.51,726.51,0,0
20170328,DK-NSEL1,Fonds,725.36,725.36,725.36,725.36,0,0
20170327,DK-NSEL1,Fonds,718.30,718.30,718.30,718.30,0,0
20170324,DK-NSEL1,Fonds,732.90,732.90,732.90,732.90,0,0
20170323,DK-NSEL1,Fonds,732.97,732.97,732.97,732.97,0,0
20170322,DK-NSEL1,Fonds,732.02,732.02,732.02,732.02,0,0
20170321,DK-NSEL1,Fonds,742.34,742.34,742.34,742.34,0,0
20170320,DK-NSEL1,Fonds,740.74,740.74,740.74,740.74,0,0
20170317,DK-NSEL1,Fonds,739.82,739.82,739.82,739.82,0,0
20170316,DK-NSEL1,Fonds,741.24,741.24,741.24,741.24,0,0
20170315,DK-NSEL1,Fonds,735.79,735.79,735.79,735.79,0,0
20170314,DK-NSEL1,Fonds,732.39,732.39,732.39,732.39,0,0
20170313,DK-NSEL1,Fonds,736.83,736.83,736.83,736.83,0,0
20170310,DK-NSEL1,Fonds,735.28,735.28,735.28,735.28,0,0
