quote_date,paper,exch,open,high,low,close,volume,value
20170504,DK-OBLI1,Fonds,11148.61,11148.61,11148.61,11148.61,0,0
20170503,DK-OBLI1,Fonds,11150.20,11150.20,11150.20,11150.20,0,0
20170502,DK-OBLI1,Fonds,11148.48,11148.48,11148.48,11148.48,0,0
20170428,DK-OBLI1,Fonds,11144.00,11144.00,11144.00,11144.00,0,0
20170427,DK-OBLI1,Fonds,11145.99,11145.99,11145.99,11145.99,0,0
20170426,DK-OBLI1,Fonds,11140.41,11140.41,11140.41,11140.41,0,0
20170425,DK-OBLI1,Fonds,11138.96,11138.96,11138.96,11138.96,0,0
20170424,DK-OBLI1,Fonds,11138.31,11138.31,11138.31,11138.31,0,0
20170421,DK-OBLI1,Fonds,11145.94,11145.94,11145.94,11145.94,0,0
20170420,DK-OBLI1,Fonds,11147.71,11147.71,11147.71,11147.71,0,0
20170419,DK-OBLI1,Fonds,11152.08,11152.08,11152.08,11152.08,0,0
20170418,DK-OBLI1,Fonds,11151.55,11151.55,11151.55,11151.55,0,0
20170412,DK-OBLI1,Fonds,11143.47,11143.47,11143.47,11143.47,0,0
20170411,DK-OBLI1,Fonds,11143.57,11143.57,11143.57,11143.57,0,0
20170410,DK-OBLI1,Fonds,11146.47,11146.47,11146.47,11146.47,0,0
20170407,DK-OBLI1,Fonds,11146.85,11146.85,11146.85,11146.85,0,0
20170406,DK-OBLI1,Fonds,11142.43,11142.43,11142.43,11142.43,0,0
20170405,DK-OBLI1,Fonds,11136.69,11136.69,11136.69,11136.69,0,0
20170404,DK-OBLI1,Fonds,11136.82,11136.82,11136.82,11136.82,0,0
20170403,DK-OBLI1,Fonds,11132.71,11132.71,11132.71,11132.71,0,0
20170331,DK-OBLI1,Fonds,11128.31,11128.31,11128.31,11128.31,0,0
20170330,DK-OBLI1,Fonds,11128.00,11128.00,11128.00,11128.00,0,0
20170329,DK-OBLI1,Fonds,11122.32,11122.32,11122.32,11122.32,0,0
20170328,DK-OBLI1,Fonds,11117.04,11117.04,11117.04,11117.04,0,0
20170327,DK-OBLI1,Fonds,11112.78,11112.78,11112.78,11112.78,0,0
20170324,DK-OBLI1,Fonds,11105.11,11105.11,11105.11,11105.11,0,0
20170323,DK-OBLI1,Fonds,11103.04,11103.04,11103.04,11103.04,0,0
20170322,DK-OBLI1,Fonds,11100.80,11100.80,11100.80,11100.80,0,0
20170321,DK-OBLI1,Fonds,11090.08,11090.08,11090.08,11090.08,0,0
20170320,DK-OBLI1,Fonds,11087.63,11087.63,11087.63,11087.63,0,0
20170317,DK-OBLI1,Fonds,11083.25,11083.25,11083.25,11083.25,0,0
20170316,DK-OBLI1,Fonds,11085.53,11085.53,11085.53,11085.53,0,0
20170315,DK-OBLI1,Fonds,11074.76,11074.76,11074.76,11074.76,0,0
20170314,DK-OBLI1,Fonds,11067.85,11067.85,11067.85,11067.85,0,0
20170313,DK-OBLI1,Fonds,11064.44,11064.44,11064.44,11064.44,0,0
20170310,DK-OBLI1,Fonds,11064.08,11064.08,11064.08,11064.08,0,0
20170309,DK-OBLI1,Fonds,11061.81,11061.81,11061.81,11061.81,0,0
20170308,DK-OBLI1,Fonds,11066.41,11066.41,11066.41,11066.41,0,0
20170307,DK-OBLI1,Fonds,11068.17,11068.17,11068.17,11068.17,0,0
20170306,DK-OBLI1,Fonds,11065.71,11065.71,11065.71,11065.71,0,0
20170303,DK-OBLI1,Fonds,11060.76,11060.76,11060.76,11060.76,0,0
20170302,DK-OBLI1,Fonds,11061.11,11061.11,11061.11,11061.11,0,0
20170301,DK-OBLI1,Fonds,11065.74,11065.74,11065.74,11065.74,0,0
20170228,DK-OBLI1,Fonds,11073.81,11073.81,11073.81,11073.81,0,0
20170227,DK-OBLI1,Fonds,11078.52,11078.52,11078.52,11078.52,0,0
20170224,DK-OBLI1,Fonds,11077.25,11077.25,11077.25,11077.25,0,0
20170223,DK-OBLI1,Fonds,11069.31,11069.31,11069.31,11069.31,0,0
20170222,DK-OBLI1,Fonds,11068.17,11068.17,11068.17,11068.17,0,0
20170221,DK-OBLI1,Fonds,11063.50,11063.50,11063.50,11063.50,0,0
20170220,DK-OBLI1,Fonds,11066.65,11066.65,11066.65,11066.65,0,0
20170217,DK-OBLI1,Fonds,11062.28,11062.28,11062.28,11062.28,0,0
20170216,DK-OBLI1,Fonds,11056.64,11056.64,11056.64,11056.64,0,0
20170215,DK-OBLI1,Fonds,11049.44,11049.44,11049.44,11049.44,0,0
20170214,DK-OBLI1,Fonds,11051.48,11051.48,11051.48,11051.48,0,0
20170213,DK-OBLI1,Fonds,11059.38,11059.38,11059.38,11059.38,0,0
20170210,DK-OBLI1,Fonds,11063.75,11063.75,11063.75,11063.75,0,0
20170209,DK-OBLI1,Fonds,11061.74,11061.74,11061.74,11061.74,0,0
20170208,DK-OBLI1,Fonds,11066.27,11066.27,11066.27,11066.27,0,0
20170207,DK-OBLI1,Fonds,11051.83,11051.83,11051.83,11051.83,0,0
20170206,DK-OBLI1,Fonds,11046.42,11046.42,11046.42,11046.42,0,0
20170203,DK-OBLI1,Fonds,11040.20,11040.20,11040.20,11040.20,0,0
20170202,DK-OBLI1,Fonds,11036.60,11036.60,11036.60,11036.60,0,0
20170201,DK-OBLI1,Fonds,11025.52,11025.52,11025.52,11025.52,0,0
20170131,DK-OBLI1,Fonds,11027.49,11027.49,11027.49,11027.49,0,0
20170130,DK-OBLI1,Fonds,11017.14,11017.14,11017.14,11017.14,0,0
20170127,DK-OBLI1,Fonds,11016.10,11016.10,11016.10,11016.10,0,0
20170126,DK-OBLI1,Fonds,11022.95,11022.95,11022.95,11022.95,0,0
20170125,DK-OBLI1,Fonds,11025.16,11025.16,11025.16,11025.16,0,0
20170124,DK-OBLI1,Fonds,11032.99,11032.99,11032.99,11032.99,0,0
20170123,DK-OBLI1,Fonds,11034.18,11034.18,11034.18,11034.18,0,0
20170120,DK-OBLI1,Fonds,11030.03,11030.03,11030.03,11030.03,0,0
20170119,DK-OBLI1,Fonds,11035.27,11035.27,11035.27,11035.27,0,0
20170118,DK-OBLI1,Fonds,11041.09,11041.09,11041.09,11041.09,0,0
20170117,DK-OBLI1,Fonds,11046.26,11046.26,11046.26,11046.26,0,0
20170116,DK-OBLI1,Fonds,11044.99,11044.99,11044.99,11044.99,0,0
20170113,DK-OBLI1,Fonds,11041.64,11041.64,11041.64,11041.64,0,0
20170112,DK-OBLI1,Fonds,11040.82,11040.82,11040.82,11040.82,0,0
20170111,DK-OBLI1,Fonds,11027.48,11027.48,11027.48,11027.48,0,0
20170110,DK-OBLI1,Fonds,11020.89,11020.89,11020.89,11020.89,0,0
20170109,DK-OBLI1,Fonds,11014.73,11014.73,11014.73,11014.73,0,0
20170106,DK-OBLI1,Fonds,11008.10,11008.10,11008.10,11008.10,0,0
20170105,DK-OBLI1,Fonds,11004.75,11004.75,11004.75,11004.75,0,0
20170104,DK-OBLI1,Fonds,10983.33,10983.33,10983.33,10983.33,0,0
20170103,DK-OBLI1,Fonds,10980.04,10980.04,10980.04,10980.04,0,0
20170102,DK-OBLI1,Fonds,10983.03,10983.03,10983.03,10983.03,0,0
20161230,DK-OBLI1,Fonds,11274.23,11274.23,11274.23,11274.23,0,0
20161229,DK-OBLI1,Fonds,11271.18,11271.18,11271.18,11271.18,0,0
20161228,DK-OBLI1,Fonds,11262.47,11262.47,11262.47,11262.47,0,0
20161227,DK-OBLI1,Fonds,11260.58,11260.58,11260.58,11260.58,0,0
20161223,DK-OBLI1,Fonds,11255.78,11255.78,11255.78,11255.78,0,0
20161222,DK-OBLI1,Fonds,11252.63,11252.63,11252.63,11252.63,0,0
20161221,DK-OBLI1,Fonds,11248.51,11248.51,11248.51,11248.51,0,0
20161220,DK-OBLI1,Fonds,11246.49,11246.49,11246.49,11246.49,0,0
20161219,DK-OBLI1,Fonds,11245.62,11245.62,11245.62,11245.62,0,0
20161216,DK-OBLI1,Fonds,11245.75,11245.75,11245.75,11245.75,0,0
20161215,DK-OBLI1,Fonds,11242.01,11242.01,11242.01,11242.01,0,0
20161214,DK-OBLI1,Fonds,11249.41,11249.41,11249.41,11249.41,0,0
20161213,DK-OBLI1,Fonds,11238.96,11238.96,11238.96,11238.96,0,0
20161212,DK-OBLI1,Fonds,11229.43,11229.43,11229.43,11229.43,0,0
20161209,DK-OBLI1,Fonds,11234.21,11234.21,11234.21,11234.21,0,0
20161208,DK-OBLI1,Fonds,11219.82,11219.82,11219.82,11219.82,0,0
20161207,DK-OBLI1,Fonds,11223.66,11223.66,11223.66,11223.66,0,0
20161206,DK-OBLI1,Fonds,11219.15,11219.15,11219.15,11219.15,0,0
20161205,DK-OBLI1,Fonds,11217.48,11217.48,11217.48,11217.48,0,0
20161202,DK-OBLI1,Fonds,11225.26,11225.26,11225.26,11225.26,0,0
20161201,DK-OBLI1,Fonds,11225.37,11225.37,11225.37,11225.37,0,0
20161130,DK-OBLI1,Fonds,11242.99,11242.99,11242.99,11242.99,0,0
20161129,DK-OBLI1,Fonds,11252.22,11252.22,11252.22,11252.22,0,0
20161128,DK-OBLI1,Fonds,11254.51,11254.51,11254.51,11254.51,0,0
20161125,DK-OBLI1,Fonds,11249.77,11249.77,11249.77,11249.77,0,0
20161124,DK-OBLI1,Fonds,11251.68,11251.68,11251.68,11251.68,0,0
20161123,DK-OBLI1,Fonds,11252.48,11252.48,11252.48,11252.48,0,0
20161122,DK-OBLI1,Fonds,11255.58,11255.58,11255.58,11255.58,0,0
20161121,DK-OBLI1,Fonds,11250.03,11250.03,11250.03,11250.03,0,0
20161118,DK-OBLI1,Fonds,11251.62,11251.62,11251.62,11251.62,0,0
20161117,DK-OBLI1,Fonds,11247.70,11247.70,11247.70,11247.70,0,0
20161116,DK-OBLI1,Fonds,11245.98,11245.98,11245.98,11245.98,0,0
20161115,DK-OBLI1,Fonds,11247.57,11247.57,11247.57,11247.57,0,0
20161114,DK-OBLI1,Fonds,11239.95,11239.95,11239.95,11239.95,0,0
20161111,DK-OBLI1,Fonds,11248.60,11248.60,11248.60,11248.60,0,0
20161110,DK-OBLI1,Fonds,11255.37,11255.37,11255.37,11255.37,0,0
20161109,DK-OBLI1,Fonds,11276.70,11276.70,11276.70,11276.70,0,0
20161108,DK-OBLI1,Fonds,11284.76,11284.76,11284.76,11284.76,0,0
20161107,DK-OBLI1,Fonds,11282.56,11282.56,11282.56,11282.56,0,0
20161104,DK-OBLI1,Fonds,11279.00,11279.00,11279.00,11279.00,0,0
20161103,DK-OBLI1,Fonds,11277.15,11277.15,11277.15,11277.15,0,0
20161102,DK-OBLI1,Fonds,11281.18,11281.18,11281.18,11281.18,0,0
20161101,DK-OBLI1,Fonds,11277.86,11277.86,11277.86,11277.86,0,0
20161031,DK-OBLI1,Fonds,11276.49,11276.49,11276.49,11276.49,0,0
