quote_date,paper,exch,open,high,low,close,volume,value
20151230,FI-IBEUR,Fonds,69.37,69.37,69.37,69.37,0,0
20151229,FI-IBEUR,Fonds,69.46,69.46,69.46,69.46,0,0
20151228,FI-IBEUR,Fonds,68.51,68.51,68.51,68.51,0,0
20151223,FI-IBEUR,Fonds,68.68,68.68,68.68,68.68,0,0
20151222,FI-IBEUR,Fonds,67.49,67.49,67.49,67.49,0,0
20151221,FI-IBEUR,Fonds,67.41,67.41,67.41,67.41,0,0
20151218,FI-IBEUR,Fonds,69.04,69.04,69.04,69.04,0,0
20151217,FI-IBEUR,Fonds,69.90,69.90,69.90,69.90,0,0
20151216,FI-IBEUR,Fonds,68.95,68.95,68.95,68.95,0,0
20151215,FI-IBEUR,Fonds,68.97,68.97,68.97,68.97,0,0
20151214,FI-IBEUR,Fonds,67.14,67.14,67.14,67.14,0,0
20151211,FI-IBEUR,Fonds,67.92,67.92,67.92,67.92,0,0
20151210,FI-IBEUR,Fonds,68.56,68.56,68.56,68.56,0,0
20151209,FI-IBEUR,Fonds,69.10,69.10,69.10,69.10,0,0
20151208,FI-IBEUR,Fonds,69.38,69.38,69.38,69.38,0,0
20151207,FI-IBEUR,Fonds,70.41,70.41,70.41,70.41,0,0
20151204,FI-IBEUR,Fonds,70.35,70.35,70.35,70.35,0,0
20151203,FI-IBEUR,Fonds,70.12,70.12,70.12,70.12,0,0
20151202,FI-IBEUR,Fonds,71.39,71.39,71.39,71.39,0,0
20151201,FI-IBEUR,Fonds,71.23,71.23,71.23,71.23,0,0
20151130,FI-IBEUR,Fonds,70.97,70.97,70.97,70.97,0,0
20151127,FI-IBEUR,Fonds,70.49,70.49,70.49,70.49,0,0
20151126,FI-IBEUR,Fonds,70.31,70.31,70.31,70.31,0,0
20151125,FI-IBEUR,Fonds,69.73,69.73,69.73,69.73,0,0
20151124,FI-IBEUR,Fonds,69.27,69.27,69.27,69.27,0,0
20151123,FI-IBEUR,Fonds,69.97,69.97,69.97,69.97,0,0
20151120,FI-IBEUR,Fonds,69.85,69.85,69.85,69.85,0,0
20151119,FI-IBEUR,Fonds,70.20,70.20,70.20,70.20,0,0
20151118,FI-IBEUR,Fonds,70.01,70.01,70.01,70.01,0,0
20151117,FI-IBEUR,Fonds,70.40,70.40,70.40,70.40,0,0
20151116,FI-IBEUR,Fonds,69.18,69.18,69.18,69.18,0,0
20151113,FI-IBEUR,Fonds,69.01,69.01,69.01,69.01,0,0
20151112,FI-IBEUR,Fonds,69.06,69.06,69.06,69.06,0,0
20151111,FI-IBEUR,Fonds,70.04,70.04,70.04,70.04,0,0
20151110,FI-IBEUR,Fonds,69.77,69.77,69.77,69.77,0,0
20151109,FI-IBEUR,Fonds,69.79,69.79,69.79,69.79,0,0
20151106,FI-IBEUR,Fonds,70.62,70.62,70.62,70.62,0,0
20151105,FI-IBEUR,Fonds,70.27,70.27,70.27,70.27,0,0
20151104,FI-IBEUR,Fonds,70.33,70.33,70.33,70.33,0,0
20151103,FI-IBEUR,Fonds,70.42,70.42,70.42,70.42,0,0
