quote_date,paper,exch,open,high,low,close,volume,value
20170510,FV-TRNDR,Fonds,209.35,209.35,209.35,209.35,0,0
20170509,FV-TRNDR,Fonds,210.21,210.21,210.21,210.21,0,0
20170508,FV-TRNDR,Fonds,207.43,207.43,207.43,207.43,0,0
20170505,FV-TRNDR,Fonds,207.65,207.65,207.65,207.65,0,0
20170504,FV-TRNDR,Fonds,205.51,205.51,205.51,205.51,0,0
20170503,FV-TRNDR,Fonds,206.70,206.70,206.70,206.70,0,0
20170502,FV-TRNDR,Fonds,207.47,207.47,207.47,207.47,0,0
20170428,FV-TRNDR,Fonds,203.38,203.38,203.38,203.38,0,0
20170427,FV-TRNDR,Fonds,202.00,202.00,202.00,202.00,0,0
20170426,FV-TRNDR,Fonds,201.73,201.73,201.73,201.73,0,0
20170425,FV-TRNDR,Fonds,200.18,200.18,200.18,200.18,0,0
20170424,FV-TRNDR,Fonds,195.85,195.85,195.85,195.85,0,0
20170421,FV-TRNDR,Fonds,193.01,193.01,193.01,193.01,0,0
20170420,FV-TRNDR,Fonds,192.82,192.82,192.82,192.82,0,0
20170419,FV-TRNDR,Fonds,192.15,192.15,192.15,192.15,0,0
20170418,FV-TRNDR,Fonds,193.52,193.52,193.52,193.52,0,0
20170412,FV-TRNDR,Fonds,194.05,194.05,194.05,194.05,0,0
20170411,FV-TRNDR,Fonds,192.64,192.64,192.64,192.64,0,0
20170407,FV-TRNDR,Fonds,193.73,193.73,193.73,193.73,0,0
20170406,FV-TRNDR,Fonds,192.14,192.14,192.14,192.14,0,0
20170405,FV-TRNDR,Fonds,192.49,192.49,192.49,192.49,0,0
20170404,FV-TRNDR,Fonds,189.81,189.81,189.81,189.81,0,0
20170403,FV-TRNDR,Fonds,190.49,190.49,190.49,190.49,0,0
20170331,FV-TRNDR,Fonds,190.80,190.80,190.80,190.80,0,0
20170330,FV-TRNDR,Fonds,194.35,194.35,194.35,194.35,0,0
20170329,FV-TRNDR,Fonds,192.50,192.50,192.50,192.50,0,0
20170328,FV-TRNDR,Fonds,193.68,193.68,193.68,193.68,0,0
20170327,FV-TRNDR,Fonds,192.26,192.26,192.26,192.26,0,0
20170324,FV-TRNDR,Fonds,197.59,197.59,197.59,197.59,0,0
20170323,FV-TRNDR,Fonds,198.61,198.61,198.61,198.61,0,0
20170322,FV-TRNDR,Fonds,199.28,199.28,199.28,199.28,0,0
20170321,FV-TRNDR,Fonds,202.01,202.01,202.01,202.01,0,0
20170320,FV-TRNDR,Fonds,202.75,202.75,202.75,202.75,0,0
20170317,FV-TRNDR,Fonds,202.75,202.75,202.75,202.75,0,0
20170316,FV-TRNDR,Fonds,202.67,202.67,202.67,202.67,0,0
20170315,FV-TRNDR,Fonds,202.04,202.04,202.04,202.04,0,0
20170314,FV-TRNDR,Fonds,203.02,203.02,203.02,203.02,0,0
20170313,FV-TRNDR,Fonds,204.57,204.57,204.57,204.57,0,0
20170310,FV-TRNDR,Fonds,204.25,204.25,204.25,204.25,0,0
20170309,FV-TRNDR,Fonds,203.71,203.71,203.71,203.71,0,0
20170308,FV-TRNDR,Fonds,204.69,204.69,204.69,204.69,0,0
20170307,FV-TRNDR,Fonds,205.33,205.33,205.33,205.33,0,0
20170306,FV-TRNDR,Fonds,204.26,204.26,204.26,204.26,0,0
20170303,FV-TRNDR,Fonds,207.18,207.18,207.18,207.18,0,0
20170302,FV-TRNDR,Fonds,209.61,209.61,209.61,209.61,0,0
20170301,FV-TRNDR,Fonds,210.12,210.12,210.12,210.12,0,0
20170228,FV-TRNDR,Fonds,209.20,209.20,209.20,209.20,0,0
20170227,FV-TRNDR,Fonds,209.73,209.73,209.73,209.73,0,0
20170224,FV-TRNDR,Fonds,209.79,209.79,209.79,209.79,0,0
20170223,FV-TRNDR,Fonds,211.38,211.38,211.38,211.38,0,0
20170222,FV-TRNDR,Fonds,212.85,212.85,212.85,212.85,0,0
20170221,FV-TRNDR,Fonds,213.26,213.26,213.26,213.26,0,0
20170220,FV-TRNDR,Fonds,211.16,211.16,211.16,211.16,0,0
20170217,FV-TRNDR,Fonds,210.55,210.55,210.55,210.55,0,0
20170216,FV-TRNDR,Fonds,213.04,213.04,213.04,213.04,0,0
