quote_date,paper,exch,open,high,low,close,volume,value
20170510,GA-GAMB,Fonds,26592.33,26592.33,26592.33,26592.33,0,0
20170509,GA-GAMB,Fonds,26744.46,26744.46,26744.46,26744.46,0,0
20170508,GA-GAMB,Fonds,26555.45,26555.45,26555.45,26555.45,0,0
20170505,GA-GAMB,Fonds,26553.65,26553.65,26553.65,26553.65,0,0
20170504,GA-GAMB,Fonds,26277.42,26277.42,26277.42,26277.42,0,0
20170503,GA-GAMB,Fonds,26439.50,26439.50,26439.50,26439.50,0,0
20170502,GA-GAMB,Fonds,26706.14,26706.14,26706.14,26706.14,0,0
20170428,GA-GAMB,Fonds,26377.65,26377.65,26377.65,26377.65,0,0
20170427,GA-GAMB,Fonds,26292.54,26292.54,26292.54,26292.54,0,0
20170426,GA-GAMB,Fonds,26098.10,26098.10,26098.10,26098.10,0,0
20170425,GA-GAMB,Fonds,26096.76,26096.76,26096.76,26096.76,0,0
20170424,GA-GAMB,Fonds,25664.25,25664.25,25664.25,25664.25,0,0
20170421,GA-GAMB,Fonds,25431.33,25431.33,25431.33,25431.33,0,0
20170420,GA-GAMB,Fonds,25422.73,25422.73,25422.73,25422.73,0,0
20170419,GA-GAMB,Fonds,25481.35,25481.35,25481.35,25481.35,0,0
20170418,GA-GAMB,Fonds,25617.42,25617.42,25617.42,25617.42,0,0
20170412,GA-GAMB,Fonds,25926.26,25926.26,25926.26,25926.26,0,0
20170411,GA-GAMB,Fonds,25774.14,25774.14,25774.14,25774.14,0,0
20170410,GA-GAMB,Fonds,25825.09,25825.09,25825.09,25825.09,0,0
20170407,GA-GAMB,Fonds,25879.45,25879.45,25879.45,25879.45,0,0
20170406,GA-GAMB,Fonds,25848.47,25848.47,25848.47,25848.47,0,0
20170405,GA-GAMB,Fonds,25742.85,25742.85,25742.85,25742.85,0,0
20170404,GA-GAMB,Fonds,25383.86,25383.86,25383.86,25383.86,0,0
20170403,GA-GAMB,Fonds,25481.83,25481.83,25481.83,25481.83,0,0
20170331,GA-GAMB,Fonds,25276.75,25276.75,25276.75,25276.75,0,0
