quote_date,paper,exch,open,high,low,close,volume,value
20170510,HO-TRITO,Fonds,129.56,129.56,129.56,129.56,0,0
20170509,HO-TRITO,Fonds,131.02,131.02,131.02,131.02,0,0
20170508,HO-TRITO,Fonds,131.41,131.41,131.41,131.41,0,0
20170502,HO-TRITO,Fonds,130.02,130.02,130.02,130.02,0,0
20170428,HO-TRITO,Fonds,129.24,129.24,129.24,129.24,0,0
20170427,HO-TRITO,Fonds,129.00,129.00,129.00,129.00,0,0
20170426,HO-TRITO,Fonds,128.39,128.39,128.39,128.39,0,0
20170425,HO-TRITO,Fonds,128.10,128.10,128.10,128.10,0,0
20170424,HO-TRITO,Fonds,126.73,126.73,126.73,126.73,0,0
20170421,HO-TRITO,Fonds,127.95,127.95,127.95,127.95,0,0
20170420,HO-TRITO,Fonds,127.44,127.44,127.44,127.44,0,0
20170419,HO-TRITO,Fonds,127.08,127.08,127.08,127.08,0,0
20170418,HO-TRITO,Fonds,126.96,126.96,126.96,126.96,0,0
20170412,HO-TRITO,Fonds,127.54,127.54,127.54,127.54,0,0
20170411,HO-TRITO,Fonds,127.66,127.66,127.66,127.66,0,0
20170410,HO-TRITO,Fonds,127.64,127.64,127.64,127.64,0,0
20170407,HO-TRITO,Fonds,128.11,128.11,128.11,128.11,0,0
20170406,HO-TRITO,Fonds,127.44,127.44,127.44,127.44,0,0
20170405,HO-TRITO,Fonds,127.39,127.39,127.39,127.39,0,0
20170404,HO-TRITO,Fonds,127.03,127.03,127.03,127.03,0,0
20170403,HO-TRITO,Fonds,127.44,127.44,127.44,127.44,0,0
20170331,HO-TRITO,Fonds,127.69,127.69,127.69,127.69,0,0
20170330,HO-TRITO,Fonds,128.23,128.23,128.23,128.23,0,0
20170329,HO-TRITO,Fonds,128.77,128.77,128.77,128.77,0,0
20170328,HO-TRITO,Fonds,129.46,129.46,129.46,129.46,0,0
20170327,HO-TRITO,Fonds,129.21,129.21,129.21,129.21,0,0
20170324,HO-TRITO,Fonds,129.45,129.45,129.45,129.45,0,0
20170323,HO-TRITO,Fonds,130.03,130.03,130.03,130.03,0,0
20170322,HO-TRITO,Fonds,129.95,129.95,129.95,129.95,0,0
20170321,HO-TRITO,Fonds,130.29,130.29,130.29,130.29,0,0
20170320,HO-TRITO,Fonds,130.08,130.08,130.08,130.08,0,0
20170317,HO-TRITO,Fonds,129.89,129.89,129.89,129.89,0,0
20170316,HO-TRITO,Fonds,130.23,130.23,130.23,130.23,0,0
20170315,HO-TRITO,Fonds,129.90,129.90,129.90,129.90,0,0
20170314,HO-TRITO,Fonds,130.21,130.21,130.21,130.21,0,0
20170313,HO-TRITO,Fonds,130.39,130.39,130.39,130.39,0,0
20170310,HO-TRITO,Fonds,129.79,129.79,129.79,129.79,0,0
20170309,HO-TRITO,Fonds,129.40,129.40,129.40,129.40,0,0
20170308,HO-TRITO,Fonds,129.45,129.45,129.45,129.45,0,0
20170307,HO-TRITO,Fonds,129.17,129.17,129.17,129.17,0,0
20170306,HO-TRITO,Fonds,129.62,129.62,129.62,129.62,0,0
20170303,HO-TRITO,Fonds,128.99,128.99,128.99,128.99,0,0
20170302,HO-TRITO,Fonds,130.64,130.64,130.64,130.64,0,0
20170301,HO-TRITO,Fonds,129.54,129.54,129.54,129.54,0,0
20170228,HO-TRITO,Fonds,129.09,129.09,129.09,129.09,0,0
20170227,HO-TRITO,Fonds,129.64,129.64,129.64,129.64,0,0
20170224,HO-TRITO,Fonds,129.55,129.55,129.55,129.55,0,0
20170223,HO-TRITO,Fonds,129.45,129.45,129.45,129.45,0,0
20170222,HO-TRITO,Fonds,129.58,129.58,129.58,129.58,0,0
20170221,HO-TRITO,Fonds,129.40,129.40,129.40,129.40,0,0
20170220,HO-TRITO,Fonds,129.86,129.86,129.86,129.86,0,0
20170217,HO-TRITO,Fonds,129.62,129.62,129.62,129.62,0,0
20170215,HO-TRITO,Fonds,129.65,129.65,129.65,129.65,0,0
20170214,HO-TRITO,Fonds,130.99,130.99,130.99,130.99,0,0
20170213,HO-TRITO,Fonds,131.11,131.11,131.11,131.11,0,0
20170210,HO-TRITO,Fonds,130.70,130.70,130.70,130.70,0,0
20170209,HO-TRITO,Fonds,130.53,130.53,130.53,130.53,0,0
20170208,HO-TRITO,Fonds,130.46,130.46,130.46,130.46,0,0
20170207,HO-TRITO,Fonds,130.21,130.21,130.21,130.21,0,0
20170206,HO-TRITO,Fonds,129.10,129.10,129.10,129.10,0,0
