quote_date,paper,exch,open,high,low,close,volume,value
20150924,ML-FINAN,Fonds,19.10,19.10,19.10,19.10,0,0
20150923,ML-FINAN,Fonds,19.40,19.40,19.40,19.40,0,0
20150922,ML-FINAN,Fonds,19.45,19.45,19.45,19.45,0,0
20150921,ML-FINAN,Fonds,19.81,19.81,19.81,19.81,0,0
20150918,ML-FINAN,Fonds,19.77,19.77,19.77,19.77,0,0
20150917,ML-FINAN,Fonds,20.33,20.33,20.33,20.33,0,0
20150916,ML-FINAN,Fonds,20.24,20.24,20.24,20.24,0,0
20150915,ML-FINAN,Fonds,20.08,20.08,20.08,20.08,0,0
20150914,ML-FINAN,Fonds,19.92,19.92,19.92,19.92,0,0
20150911,ML-FINAN,Fonds,19.99,19.99,19.99,19.99,0,0
20150910,ML-FINAN,Fonds,19.99,19.99,19.99,19.99,0,0
20150909,ML-FINAN,Fonds,20.48,20.48,20.48,20.48,0,0
20150908,ML-FINAN,Fonds,20.02,20.02,20.02,20.02,0,0
20150907,ML-FINAN,Fonds,19.63,19.63,19.63,19.63,0,0
20150904,ML-FINAN,Fonds,19.66,19.66,19.66,19.66,0,0
20150903,ML-FINAN,Fonds,20.10,20.10,20.10,20.10,0,0
20150902,ML-FINAN,Fonds,19.98,19.98,19.98,19.98,0,0
20150901,ML-FINAN,Fonds,19.94,19.94,19.94,19.94,0,0
20150831,ML-FINAN,Fonds,20.45,20.45,20.45,20.45,0,0
20150828,ML-FINAN,Fonds,20.57,20.57,20.57,20.57,0,0
20150827,ML-FINAN,Fonds,20.57,20.57,20.57,20.57,0,0
20150826,ML-FINAN,Fonds,20.06,20.06,20.06,20.06,0,0
20150825,ML-FINAN,Fonds,20.26,20.26,20.26,20.26,0,0
20150824,ML-FINAN,Fonds,19.74,19.74,19.74,19.74,0,0
20150821,ML-FINAN,Fonds,20.93,20.93,20.93,20.93,0,0
20150820,ML-FINAN,Fonds,21.38,21.38,21.38,21.38,0,0
20150819,ML-FINAN,Fonds,21.69,21.69,21.69,21.69,0,0
20150818,ML-FINAN,Fonds,21.93,21.93,21.93,21.93,0,0
