quote_date,paper,exch,open,high,low,close,volume,value
20150924,ML-INDIA,Fonds,27.53,27.53,27.53,27.53,0,0
20150923,ML-INDIA,Fonds,27.49,27.49,27.49,27.49,0,0
20150922,ML-INDIA,Fonds,27.40,27.40,27.40,27.40,0,0
20150921,ML-INDIA,Fonds,27.96,27.96,27.96,27.96,0,0
20150918,ML-INDIA,Fonds,27.92,27.92,27.92,27.92,0,0
20150917,ML-INDIA,Fonds,27.48,27.48,27.48,27.48,0,0
20150916,ML-INDIA,Fonds,27.58,27.58,27.58,27.58,0,0
20150915,ML-INDIA,Fonds,27.62,27.62,27.62,27.62,0,0
20150914,ML-INDIA,Fonds,27.75,27.75,27.75,27.75,0,0
20150911,ML-INDIA,Fonds,27.35,27.35,27.35,27.35,0,0
20150910,ML-INDIA,Fonds,27.32,27.32,27.32,27.32,0,0
20150909,ML-INDIA,Fonds,27.45,27.45,27.45,27.45,0,0
20150908,ML-INDIA,Fonds,26.95,26.95,26.95,26.95,0,0
20150907,ML-INDIA,Fonds,26.65,26.65,26.65,26.65,0,0
20150904,ML-INDIA,Fonds,27.26,27.26,27.26,27.26,0,0
20150903,ML-INDIA,Fonds,27.92,27.92,27.92,27.92,0,0
20150902,ML-INDIA,Fonds,27.60,27.60,27.60,27.60,0,0
20150901,ML-INDIA,Fonds,27.70,27.70,27.70,27.70,0,0
20150831,ML-INDIA,Fonds,28.11,28.11,28.11,28.11,0,0
20150828,ML-INDIA,Fonds,28.34,28.34,28.34,28.34,0,0
20150827,ML-INDIA,Fonds,28.23,28.23,28.23,28.23,0,0
20150826,ML-INDIA,Fonds,27.51,27.51,27.51,27.51,0,0
20150825,ML-INDIA,Fonds,27.92,27.92,27.92,27.92,0,0
20150824,ML-INDIA,Fonds,26.95,26.95,26.95,26.95,0,0
20150821,ML-INDIA,Fonds,29.57,29.57,29.57,29.57,0,0
20150820,ML-INDIA,Fonds,29.99,29.99,29.99,29.99,0,0
20150819,ML-INDIA,Fonds,30.68,30.68,30.68,30.68,0,0
20150818,ML-INDIA,Fonds,30.59,30.59,30.59,30.59,0,0
20150817,ML-INDIA,Fonds,30.30,30.30,30.30,30.30,0,0
20150814,ML-INDIA,Fonds,30.53,30.53,30.53,30.53,0,0
20150813,ML-INDIA,Fonds,30.01,30.01,30.01,30.01,0,0
20150812,ML-INDIA,Fonds,30.17,30.17,30.17,30.17,0,0
20150811,ML-INDIA,Fonds,30.94,30.94,30.94,30.94,0,0
20150810,ML-INDIA,Fonds,31.23,31.23,31.23,31.23,0,0
20150807,ML-INDIA,Fonds,31.31,31.31,31.31,31.31,0,0
20150806,ML-INDIA,Fonds,31.38,31.38,31.38,31.38,0,0
20150805,ML-INDIA,Fonds,31.36,31.36,31.36,31.36,0,0
20150804,ML-INDIA,Fonds,31.08,31.08,31.08,31.08,0,0
20150803,ML-INDIA,Fonds,30.91,30.91,30.91,30.91,0,0
20150731,ML-INDIA,Fonds,30.90,30.90,30.90,30.90,0,0
20150730,ML-INDIA,Fonds,30.69,30.69,30.69,30.69,0,0
20150729,ML-INDIA,Fonds,30.60,30.60,30.60,30.60,0,0
20150728,ML-INDIA,Fonds,30.40,30.40,30.40,30.40,0,0
20150727,ML-INDIA,Fonds,30.31,30.31,30.31,30.31,0,0
20150724,ML-INDIA,Fonds,30.84,30.84,30.84,30.84,0,0
20150723,ML-INDIA,Fonds,31.09,31.09,31.09,31.09,0,0
20150722,ML-INDIA,Fonds,31.22,31.22,31.22,31.22,0,0
20150721,ML-INDIA,Fonds,30.93,30.93,30.93,30.93,0,0
20150720,ML-INDIA,Fonds,31.11,31.11,31.11,31.11,0,0
20150717,ML-INDIA,Fonds,31.10,31.10,31.10,31.10,0,0
20150716,ML-INDIA,Fonds,30.98,30.98,30.98,30.98,0,0
20150715,ML-INDIA,Fonds,30.71,30.71,30.71,30.71,0,0
20150714,ML-INDIA,Fonds,30.45,30.45,30.45,30.45,0,0
20150713,ML-INDIA,Fonds,30.35,30.35,30.35,30.35,0,0
20150710,ML-INDIA,Fonds,30.01,30.01,30.01,30.01,0,0
20150709,ML-INDIA,Fonds,29.86,29.86,29.86,29.86,0,0
20150708,ML-INDIA,Fonds,30.02,30.02,30.02,30.02,0,0
20150707,ML-INDIA,Fonds,30.53,30.53,30.53,30.53,0,0
20150706,ML-INDIA,Fonds,30.50,30.50,30.50,30.50,0,0
20150703,ML-INDIA,Fonds,30.29,30.29,30.29,30.29,0,0
20150702,ML-INDIA,Fonds,30.17,30.17,30.17,30.17,0,0
20150701,ML-INDIA,Fonds,30.07,30.07,30.07,30.07,0,0
20150630,ML-INDIA,Fonds,29.74,29.74,29.74,29.74,0,0
20150629,ML-INDIA,Fonds,29.40,29.40,29.40,29.40,0,0
20150626,ML-INDIA,Fonds,29.78,29.78,29.78,29.78,0,0
20150625,ML-INDIA,Fonds,29.75,29.75,29.75,29.75,0,0
20150624,ML-INDIA,Fonds,29.59,29.59,29.59,29.59,0,0
20150622,ML-INDIA,Fonds,29.66,29.66,29.66,29.66,0,0
20150619,ML-INDIA,Fonds,29.28,29.28,29.28,29.28,0,0
20150618,ML-INDIA,Fonds,28.99,28.99,28.99,28.99,0,0
20150617,ML-INDIA,Fonds,28.52,28.52,28.52,28.52,0,0
20150616,ML-INDIA,Fonds,28.23,28.23,28.23,28.23,0,0
20150615,ML-INDIA,Fonds,28.22,28.22,28.22,28.22,0,0
20150612,ML-INDIA,Fonds,28.17,28.17,28.17,28.17,0,0
20150611,ML-INDIA,Fonds,28.26,28.26,28.26,28.26,0,0
20150610,ML-INDIA,Fonds,28.72,28.72,28.72,28.72,0,0
20150609,ML-INDIA,Fonds,28.34,28.34,28.34,28.34,0,0
20150608,ML-INDIA,Fonds,28.32,28.32,28.32,28.32,0,0
20150604,ML-INDIA,Fonds,28.73,28.73,28.73,28.73,0,0
20150603,ML-INDIA,Fonds,28.69,28.69,28.69,28.69,0,0
20150602,ML-INDIA,Fonds,28.96,28.96,28.96,28.96,0,0
20150601,ML-INDIA,Fonds,29.61,29.61,29.61,29.61,0,0
20150529,ML-INDIA,Fonds,29.49,29.49,29.49,29.49,0,0
20150528,ML-INDIA,Fonds,29.09,29.09,29.09,29.09,0,0
20150527,ML-INDIA,Fonds,28.96,28.96,28.96,28.96,0,0
20150526,ML-INDIA,Fonds,29.02,29.02,29.02,29.02,0,0
20150522,ML-INDIA,Fonds,29.51,29.51,29.51,29.51,0,0
20150521,ML-INDIA,Fonds,29.37,29.37,29.37,29.37,0,0
20150520,ML-INDIA,Fonds,29.34,29.34,29.34,29.34,0,0
20150519,ML-INDIA,Fonds,29.32,29.32,29.32,29.32,0,0
20150518,ML-INDIA,Fonds,29.31,29.31,29.31,29.31,0,0
20150515,ML-INDIA,Fonds,29.09,29.09,29.09,29.09,0,0
20150513,ML-INDIA,Fonds,28.57,28.57,28.57,28.57,0,0
20150512,ML-INDIA,Fonds,28.07,28.07,28.07,28.07,0,0
20150511,ML-INDIA,Fonds,28.69,28.69,28.69,28.69,0,0
