quote_date,paper,exch,open,high,low,close,volume,value
20150924,ML-SMCAP,Fonds,82.50,82.50,82.50,82.50,0,0
20150923,ML-SMCAP,Fonds,83.68,83.68,83.68,83.68,0,0
20150922,ML-SMCAP,Fonds,84.07,84.07,84.07,84.07,0,0
20150921,ML-SMCAP,Fonds,85.52,85.52,85.52,85.52,0,0
20150918,ML-SMCAP,Fonds,85.61,85.61,85.61,85.61,0,0
20150917,ML-SMCAP,Fonds,86.09,86.09,86.09,86.09,0,0
20150916,ML-SMCAP,Fonds,85.46,85.46,85.46,85.46,0,0
20150915,ML-SMCAP,Fonds,84.85,84.85,84.85,84.85,0,0
20150914,ML-SMCAP,Fonds,84.97,84.97,84.97,84.97,0,0
20150911,ML-SMCAP,Fonds,85.00,85.00,85.00,85.00,0,0
20150910,ML-SMCAP,Fonds,85.22,85.22,85.22,85.22,0,0
20150909,ML-SMCAP,Fonds,86.38,86.38,86.38,86.38,0,0
20150908,ML-SMCAP,Fonds,85.13,85.13,85.13,85.13,0,0
20150907,ML-SMCAP,Fonds,83.99,83.99,83.99,83.99,0,0
20150904,ML-SMCAP,Fonds,84.05,84.05,84.05,84.05,0,0
20150903,ML-SMCAP,Fonds,85.19,85.19,85.19,85.19,0,0
20150902,ML-SMCAP,Fonds,84.44,84.44,84.44,84.44,0,0
20150901,ML-SMCAP,Fonds,85.02,85.02,85.02,85.02,0,0
20150831,ML-SMCAP,Fonds,85.85,85.85,85.85,85.85,0,0
20150828,ML-SMCAP,Fonds,85.87,85.87,85.87,85.87,0,0
20150827,ML-SMCAP,Fonds,84.74,84.74,84.74,84.74,0,0
20150826,ML-SMCAP,Fonds,83.40,83.40,83.40,83.40,0,0
20150825,ML-SMCAP,Fonds,83.96,83.96,83.96,83.96,0,0
20150824,ML-SMCAP,Fonds,82.67,82.67,82.67,82.67,0,0
20150821,ML-SMCAP,Fonds,87.06,87.06,87.06,87.06,0,0
20150820,ML-SMCAP,Fonds,88.60,88.60,88.60,88.60,0,0
20150819,ML-SMCAP,Fonds,89.63,89.63,89.63,89.63,0,0
20150818,ML-SMCAP,Fonds,90.54,90.54,90.54,90.54,0,0
20150817,ML-SMCAP,Fonds,90.17,90.17,90.17,90.17,0,0
20150814,ML-SMCAP,Fonds,90.19,90.19,90.19,90.19,0,0
20150813,ML-SMCAP,Fonds,89.88,89.88,89.88,89.88,0,0
20150812,ML-SMCAP,Fonds,89.53,89.53,89.53,89.53,0,0
20150811,ML-SMCAP,Fonds,90.63,90.63,90.63,90.63,0,0
20150810,ML-SMCAP,Fonds,90.82,90.82,90.82,90.82,0,0
20150807,ML-SMCAP,Fonds,90.17,90.17,90.17,90.17,0,0
20150806,ML-SMCAP,Fonds,90.79,90.79,90.79,90.79,0,0
20150805,ML-SMCAP,Fonds,91.70,91.70,91.70,91.70,0,0
20150804,ML-SMCAP,Fonds,91.12,91.12,91.12,91.12,0,0
20150803,ML-SMCAP,Fonds,91.02,91.02,91.02,91.02,0,0
20150731,ML-SMCAP,Fonds,91.16,91.16,91.16,91.16,0,0
20150730,ML-SMCAP,Fonds,90.15,90.15,90.15,90.15,0,0
20150729,ML-SMCAP,Fonds,90.18,90.18,90.18,90.18,0,0
20150728,ML-SMCAP,Fonds,89.15,89.15,89.15,89.15,0,0
20150727,ML-SMCAP,Fonds,89.40,89.40,89.40,89.40,0,0
20150724,ML-SMCAP,Fonds,90.35,90.35,90.35,90.35,0,0
20150723,ML-SMCAP,Fonds,91.13,91.13,91.13,91.13,0,0
20150722,ML-SMCAP,Fonds,91.03,91.03,91.03,91.03,0,0
20150721,ML-SMCAP,Fonds,91.16,91.16,91.16,91.16,0,0
20150720,ML-SMCAP,Fonds,91.05,91.05,91.05,91.05,0,0
20150717,ML-SMCAP,Fonds,91.31,91.31,91.31,91.31,0,0
20150716,ML-SMCAP,Fonds,91.79,91.79,91.79,91.79,0,0
20150715,ML-SMCAP,Fonds,91.42,91.42,91.42,91.42,0,0
20150714,ML-SMCAP,Fonds,91.60,91.60,91.60,91.60,0,0
20150713,ML-SMCAP,Fonds,91.10,91.10,91.10,91.10,0,0
20150710,ML-SMCAP,Fonds,90.39,90.39,90.39,90.39,0,0
20150709,ML-SMCAP,Fonds,89.63,89.63,89.63,89.63,0,0
20150708,ML-SMCAP,Fonds,89.31,89.31,89.31,89.31,0,0
20150707,ML-SMCAP,Fonds,89.66,89.66,89.66,89.66,0,0
20150706,ML-SMCAP,Fonds,90.45,90.45,90.45,90.45,0,0
20150703,ML-SMCAP,Fonds,91.53,91.53,91.53,91.53,0,0
20150702,ML-SMCAP,Fonds,91.99,91.99,91.99,91.99,0,0
20150701,ML-SMCAP,Fonds,92.50,92.50,92.50,92.50,0,0
20150630,ML-SMCAP,Fonds,91.92,91.92,91.92,91.92,0,0
20150629,ML-SMCAP,Fonds,92.47,92.47,92.47,92.47,0,0
20150626,ML-SMCAP,Fonds,93.67,93.67,93.67,93.67,0,0
20150625,ML-SMCAP,Fonds,93.82,93.82,93.82,93.82,0,0
20150624,ML-SMCAP,Fonds,94.01,94.01,94.01,94.01,0,0
20150622,ML-SMCAP,Fonds,93.93,93.93,93.93,93.93,0,0
20150619,ML-SMCAP,Fonds,93.34,93.34,93.34,93.34,0,0
20150618,ML-SMCAP,Fonds,93.01,93.01,93.01,93.01,0,0
20150617,ML-SMCAP,Fonds,92.70,92.70,92.70,92.70,0,0
20150616,ML-SMCAP,Fonds,92.23,92.23,92.23,92.23,0,0
20150615,ML-SMCAP,Fonds,91.74,91.74,91.74,91.74,0,0
20150612,ML-SMCAP,Fonds,92.81,92.81,92.81,92.81,0,0
20150611,ML-SMCAP,Fonds,93.50,93.50,93.50,93.50,0,0
20150610,ML-SMCAP,Fonds,93.17,93.17,93.17,93.17,0,0
20150609,ML-SMCAP,Fonds,92.19,92.19,92.19,92.19,0,0
20150608,ML-SMCAP,Fonds,92.96,92.96,92.96,92.96,0,0
20150604,ML-SMCAP,Fonds,93.78,93.78,93.78,93.78,0,0
20150603,ML-SMCAP,Fonds,93.79,93.79,93.79,93.79,0,0
20150602,ML-SMCAP,Fonds,93.19,93.19,93.19,93.19,0,0
20150601,ML-SMCAP,Fonds,92.91,92.91,92.91,92.91,0,0
20150529,ML-SMCAP,Fonds,93.17,93.17,93.17,93.17,0,0
20150528,ML-SMCAP,Fonds,92.72,92.72,92.72,92.72,0,0
20150527,ML-SMCAP,Fonds,92.93,92.93,92.93,92.93,0,0
20150526,ML-SMCAP,Fonds,92.90,92.90,92.90,92.90,0,0
20150522,ML-SMCAP,Fonds,94.07,94.07,94.07,94.07,0,0
20150521,ML-SMCAP,Fonds,93.78,93.78,93.78,93.78,0,0
20150520,ML-SMCAP,Fonds,93.46,93.46,93.46,93.46,0,0
20150519,ML-SMCAP,Fonds,93.68,93.68,93.68,93.68,0,0
20150518,ML-SMCAP,Fonds,93.68,93.68,93.68,93.68,0,0
20150515,ML-SMCAP,Fonds,93.57,93.57,93.57,93.57,0,0
20150513,ML-SMCAP,Fonds,93.17,93.17,93.17,93.17,0,0
20150512,ML-SMCAP,Fonds,92.08,92.08,92.08,92.08,0,0
20150511,ML-SMCAP,Fonds,93.03,93.03,93.03,93.03,0,0
20150508,ML-SMCAP,Fonds,92.61,92.61,92.61,92.61,0,0
20150507,ML-SMCAP,Fonds,91.27,91.27,91.27,91.27,0,0
20150506,ML-SMCAP,Fonds,91.90,91.90,91.90,91.90,0,0
20150505,ML-SMCAP,Fonds,92.46,92.46,92.46,92.46,0,0
20150504,ML-SMCAP,Fonds,92.72,92.72,92.72,92.72,0,0
20150430,ML-SMCAP,Fonds,92.41,92.41,92.41,92.41,0,0
20150429,ML-SMCAP,Fonds,92.88,92.88,92.88,92.88,0,0
20150428,ML-SMCAP,Fonds,92.93,92.93,92.93,92.93,0,0
20150427,ML-SMCAP,Fonds,93.28,93.28,93.28,93.28,0,0
20150424,ML-SMCAP,Fonds,93.00,93.00,93.00,93.00,0,0
20150423,ML-SMCAP,Fonds,92.50,92.50,92.50,92.50,0,0
20150422,ML-SMCAP,Fonds,91.94,91.94,91.94,91.94,0,0
20150421,ML-SMCAP,Fonds,92.11,92.11,92.11,92.11,0,0
20150420,ML-SMCAP,Fonds,92.01,92.01,92.01,92.01,0,0
20150417,ML-SMCAP,Fonds,92.08,92.08,92.08,92.08,0,0
20150416,ML-SMCAP,Fonds,92.86,92.86,92.86,92.86,0,0
20150415,ML-SMCAP,Fonds,92.59,92.59,92.59,92.59,0,0
20150414,ML-SMCAP,Fonds,92.13,92.13,92.13,92.13,0,0
20150413,ML-SMCAP,Fonds,92.42,92.42,92.42,92.42,0,0
20150410,ML-SMCAP,Fonds,92.04,92.04,92.04,92.04,0,0
20150409,ML-SMCAP,Fonds,91.89,91.89,91.89,91.89,0,0
20150408,ML-SMCAP,Fonds,92.11,92.11,92.11,92.11,0,0
20150407,ML-SMCAP,Fonds,91.62,91.62,91.62,91.62,0,0
20150401,ML-SMCAP,Fonds,89.68,89.68,89.68,89.68,0,0
20150331,ML-SMCAP,Fonds,89.84,89.84,89.84,89.84,0,0
20150330,ML-SMCAP,Fonds,90.10,90.10,90.10,90.10,0,0
20150327,ML-SMCAP,Fonds,89.55,89.55,89.55,89.55,0,0
20150326,ML-SMCAP,Fonds,89.38,89.38,89.38,89.38,0,0
20150325,ML-SMCAP,Fonds,90.82,90.82,90.82,90.82,0,0
20150324,ML-SMCAP,Fonds,90.78,90.78,90.78,90.78,0,0
20150323,ML-SMCAP,Fonds,90.81,90.81,90.81,90.81,0,0
20150320,ML-SMCAP,Fonds,90.20,90.20,90.20,90.20,0,0
20150319,ML-SMCAP,Fonds,89.41,89.41,89.41,89.41,0,0
20150318,ML-SMCAP,Fonds,88.57,88.57,88.57,88.57,0,0
20150317,ML-SMCAP,Fonds,88.31,88.31,88.31,88.31,0,0
20150316,ML-SMCAP,Fonds,88.23,88.23,88.23,88.23,0,0
20150313,ML-SMCAP,Fonds,87.71,87.71,87.71,87.71,0,0
20150312,ML-SMCAP,Fonds,88.34,88.34,88.34,88.34,0,0
20150311,ML-SMCAP,Fonds,87.40,87.40,87.40,87.40,0,0
20150310,ML-SMCAP,Fonds,87.97,87.97,87.97,87.97,0,0
20150309,ML-SMCAP,Fonds,88.88,88.88,88.88,88.88,0,0
20150306,ML-SMCAP,Fonds,89.59,89.59,89.59,89.59,0,0
20150305,ML-SMCAP,Fonds,90.02,90.02,90.02,90.02,0,0
20150304,ML-SMCAP,Fonds,89.54,89.54,89.54,89.54,0,0
20150303,ML-SMCAP,Fonds,90.55,90.55,90.55,90.55,0,0
20150302,ML-SMCAP,Fonds,90.74,90.74,90.74,90.74,0,0
20150227,ML-SMCAP,Fonds,90.93,90.93,90.93,90.93,0,0
20150226,ML-SMCAP,Fonds,90.84,90.84,90.84,90.84,0,0
20150225,ML-SMCAP,Fonds,90.80,90.80,90.80,90.80,0,0
20150224,ML-SMCAP,Fonds,90.43,90.43,90.43,90.43,0,0
20150223,ML-SMCAP,Fonds,90.03,90.03,90.03,90.03,0,0
20150220,ML-SMCAP,Fonds,89.66,89.66,89.66,89.66,0,0
20150219,ML-SMCAP,Fonds,89.80,89.80,89.80,89.80,0,0
20150218,ML-SMCAP,Fonds,89.68,89.68,89.68,89.68,0,0
20150217,ML-SMCAP,Fonds,89.20,89.20,89.20,89.20,0,0
20150216,ML-SMCAP,Fonds,89.40,89.40,89.40,89.40,0,0
20150213,ML-SMCAP,Fonds,89.34,89.34,89.34,89.34,0,0
20150212,ML-SMCAP,Fonds,88.51,88.51,88.51,88.51,0,0
20150211,ML-SMCAP,Fonds,87.19,87.19,87.19,87.19,0,0
20150210,ML-SMCAP,Fonds,87.25,87.25,87.25,87.25,0,0
20150209,ML-SMCAP,Fonds,87.56,87.56,87.56,87.56,0,0
20150206,ML-SMCAP,Fonds,87.78,87.78,87.78,87.78,0,0
20150205,ML-SMCAP,Fonds,87.67,87.67,87.67,87.67,0,0
20150204,ML-SMCAP,Fonds,86.65,86.65,86.65,86.65,0,0
20150203,ML-SMCAP,Fonds,86.58,86.58,86.58,86.58,0,0
20150202,ML-SMCAP,Fonds,84.81,84.81,84.81,84.81,0,0
20150130,ML-SMCAP,Fonds,85.19,85.19,85.19,85.19,0,0
20150129,ML-SMCAP,Fonds,85.18,85.18,85.18,85.18,0,0
20150128,ML-SMCAP,Fonds,86.35,86.35,86.35,86.35,0,0
20150127,ML-SMCAP,Fonds,86.09,86.09,86.09,86.09,0,0
20150126,ML-SMCAP,Fonds,85.87,85.87,85.87,85.87,0,0
20150123,ML-SMCAP,Fonds,86.09,86.09,86.09,86.09,0,0
20150122,ML-SMCAP,Fonds,85.55,85.55,85.55,85.55,0,0
20150121,ML-SMCAP,Fonds,85.50,85.50,85.50,85.50,0,0
20150120,ML-SMCAP,Fonds,85.32,85.32,85.32,85.32,0,0
20150119,ML-SMCAP,Fonds,85.57,85.57,85.57,85.57,0,0
20150116,ML-SMCAP,Fonds,84.76,84.76,84.76,84.76,0,0
20150115,ML-SMCAP,Fonds,85.23,85.23,85.23,85.23,0,0
20150114,ML-SMCAP,Fonds,85.32,85.32,85.32,85.32,0,0
20150113,ML-SMCAP,Fonds,87.02,87.02,87.02,87.02,0,0
20150112,ML-SMCAP,Fonds,86.35,86.35,86.35,86.35,0,0
20150109,ML-SMCAP,Fonds,86.92,86.92,86.92,86.92,0,0
20150108,ML-SMCAP,Fonds,86.76,86.76,86.76,86.76,0,0
20150107,ML-SMCAP,Fonds,85.95,85.95,85.95,85.95,0,0
20150106,ML-SMCAP,Fonds,86.21,86.21,86.21,86.21,0,0
20150105,ML-SMCAP,Fonds,87.06,87.06,87.06,87.06,0,0
20150102,ML-SMCAP,Fonds,88.13,88.13,88.13,88.13,0,0
20141230,ML-SMCAP,Fonds,88.53,88.53,88.53,88.53,0,0
20141229,ML-SMCAP,Fonds,88.45,88.45,88.45,88.45,0,0
20141223,ML-SMCAP,Fonds,87.77,87.77,87.77,87.77,0,0
20141222,ML-SMCAP,Fonds,87.55,87.55,87.55,87.55,0,0
20141219,ML-SMCAP,Fonds,87.12,87.12,87.12,87.12,0,0
20141218,ML-SMCAP,Fonds,86.20,86.20,86.20,86.20,0,0
20141217,ML-SMCAP,Fonds,83.95,83.95,83.95,83.95,0,0
20141216,ML-SMCAP,Fonds,83.52,83.52,83.52,83.52,0,0
20141215,ML-SMCAP,Fonds,84.84,84.84,84.84,84.84,0,0
20141212,ML-SMCAP,Fonds,85.08,85.08,85.08,85.08,0,0
20141211,ML-SMCAP,Fonds,86.24,86.24,86.24,86.24,0,0
20141210,ML-SMCAP,Fonds,87.03,87.03,87.03,87.03,0,0
20141209,ML-SMCAP,Fonds,86.57,86.57,86.57,86.57,0,0
20141208,ML-SMCAP,Fonds,87.47,87.47,87.47,87.47,0,0
20141205,ML-SMCAP,Fonds,87.50,87.50,87.50,87.50,0,0
20141204,ML-SMCAP,Fonds,87.45,87.45,87.45,87.45,0,0
20141203,ML-SMCAP,Fonds,87.33,87.33,87.33,87.33,0,0
20141202,ML-SMCAP,Fonds,86.72,86.72,86.72,86.72,0,0
20141201,ML-SMCAP,Fonds,87.09,87.09,87.09,87.09,0,0
20141128,ML-SMCAP,Fonds,88.42,88.42,88.42,88.42,0,0
20141127,ML-SMCAP,Fonds,89.30,89.30,89.30,89.30,0,0
20141126,ML-SMCAP,Fonds,89.36,89.36,89.36,89.36,0,0
20141125,ML-SMCAP,Fonds,89.57,89.57,89.57,89.57,0,0
20141124,ML-SMCAP,Fonds,89.09,89.09,89.09,89.09,0,0
20141121,ML-SMCAP,Fonds,89.22,89.22,89.22,89.22,0,0
20141120,ML-SMCAP,Fonds,87.75,87.75,87.75,87.75,0,0
20141119,ML-SMCAP,Fonds,88.07,88.07,88.07,88.07,0,0
20141118,ML-SMCAP,Fonds,88.60,88.60,88.60,88.60,0,0
20141117,ML-SMCAP,Fonds,88.04,88.04,88.04,88.04,0,0
20141114,ML-SMCAP,Fonds,87.78,87.78,87.78,87.78,0,0
