quote_date,paper,exch,open,high,low,close,volume,value
20111230,MS-AMFAH,Fonds,23.68,23.68,23.68,23.68,0,0
20111229,MS-AMFAH,Fonds,23.56,23.56,23.56,23.56,0,0
20111228,MS-AMFAH,Fonds,23.65,23.65,23.65,23.65,0,0
20111227,MS-AMFAH,Fonds,23.75,23.75,23.75,23.75,0,0
20111223,MS-AMFAH,Fonds,23.54,23.54,23.54,23.54,0,0
20111222,MS-AMFAH,Fonds,23.51,23.51,23.51,23.51,0,0
20111221,MS-AMFAH,Fonds,23.46,23.46,23.46,23.46,0,0
20111220,MS-AMFAH,Fonds,23.47,23.47,23.47,23.47,0,0
20111219,MS-AMFAH,Fonds,23.25,23.25,23.25,23.25,0,0
20111216,MS-AMFAH,Fonds,23.27,23.27,23.27,23.27,0,0
20111215,MS-AMFAH,Fonds,23.23,23.23,23.23,23.23,0,0
20111214,MS-AMFAH,Fonds,23.13,23.13,23.13,23.13,0,0
20111213,MS-AMFAH,Fonds,23.70,23.70,23.70,23.70,0,0
20111212,MS-AMFAH,Fonds,23.52,23.52,23.52,23.52,0,0
20111209,MS-AMFAH,Fonds,23.70,23.70,23.70,23.70,0,0
20111208,MS-AMFAH,Fonds,23.81,23.81,23.81,23.81,0,0
20111207,MS-AMFAH,Fonds,23.75,23.75,23.75,23.75,0,0
20111206,MS-AMFAH,Fonds,23.91,23.91,23.91,23.91,0,0
20111205,MS-AMFAH,Fonds,24.03,24.03,24.03,24.03,0,0
20111202,MS-AMFAH,Fonds,23.95,23.95,23.95,23.95,0,0
20111201,MS-AMFAH,Fonds,23.88,23.88,23.88,23.88,0,0
20111130,MS-AMFAH,Fonds,23.67,23.67,23.67,23.67,0,0
20111129,MS-AMFAH,Fonds,23.16,23.16,23.16,23.16,0,0
20111128,MS-AMFAH,Fonds,22.99,22.99,22.99,22.99,0,0
20111125,MS-AMFAH,Fonds,22.48,22.48,22.48,22.48,0,0
20111124,MS-AMFAH,Fonds,22.47,22.47,22.47,22.47,0,0
20111123,MS-AMFAH,Fonds,22.59,22.59,22.59,22.59,0,0
20111122,MS-AMFAH,Fonds,22.89,22.89,22.89,22.89,0,0
20111121,MS-AMFAH,Fonds,22.75,22.75,22.75,22.75,0,0
20111118,MS-AMFAH,Fonds,23.27,23.27,23.27,23.27,0,0
20111117,MS-AMFAH,Fonds,23.39,23.39,23.39,23.39,0,0
20111116,MS-AMFAH,Fonds,23.74,23.74,23.74,23.74,0,0
20111115,MS-AMFAH,Fonds,23.78,23.78,23.78,23.78,0,0
20111114,MS-AMFAH,Fonds,23.84,23.84,23.84,23.84,0,0
20111111,MS-AMFAH,Fonds,23.80,23.80,23.80,23.80,0,0
20111110,MS-AMFAH,Fonds,23.50,23.50,23.50,23.50,0,0
20111109,MS-AMFAH,Fonds,23.64,23.64,23.64,23.64,0,0
20111108,MS-AMFAH,Fonds,24.10,24.10,24.10,24.10,0,0
20111107,MS-AMFAH,Fonds,23.93,23.93,23.93,23.93,0,0
20111104,MS-AMFAH,Fonds,23.80,23.80,23.80,23.80,0,0
20111103,MS-AMFAH,Fonds,23.76,23.76,23.76,23.76,0,0
20111102,MS-AMFAH,Fonds,23.65,23.65,23.65,23.65,0,0
20111031,MS-AMFAH,Fonds,24.25,24.25,24.25,24.25,0,0
20111028,MS-AMFAH,Fonds,24.29,24.29,24.29,24.29,0,0
20111027,MS-AMFAH,Fonds,24.05,24.05,24.05,24.05,0,0
20111026,MS-AMFAH,Fonds,23.63,23.63,23.63,23.63,0,0
20111025,MS-AMFAH,Fonds,23.84,23.84,23.84,23.84,0,0
20111024,MS-AMFAH,Fonds,23.90,23.90,23.90,23.90,0,0
20111021,MS-AMFAH,Fonds,23.75,23.75,23.75,23.75,0,0
20111020,MS-AMFAH,Fonds,23.38,23.38,23.38,23.38,0,0
20111019,MS-AMFAH,Fonds,23.60,23.60,23.60,23.60,0,0
20111018,MS-AMFAH,Fonds,23.30,23.30,23.30,23.30,0,0
20111017,MS-AMFAH,Fonds,23.64,23.64,23.64,23.64,0,0
20111014,MS-AMFAH,Fonds,23.72,23.72,23.72,23.72,0,0
20111013,MS-AMFAH,Fonds,23.32,23.32,23.32,23.32,0,0
20111012,MS-AMFAH,Fonds,23.40,23.40,23.40,23.40,0,0
20111011,MS-AMFAH,Fonds,23.00,23.00,23.00,23.00,0,0
20111010,MS-AMFAH,Fonds,22.81,22.81,22.81,22.81,0,0
20111007,MS-AMFAH,Fonds,22.51,22.51,22.51,22.51,0,0
20111006,MS-AMFAH,Fonds,22.09,22.09,22.09,22.09,0,0
20111005,MS-AMFAH,Fonds,21.76,21.76,21.76,21.76,0,0
20111004,MS-AMFAH,Fonds,21.21,21.21,21.21,21.21,0,0
20111003,MS-AMFAH,Fonds,22.07,22.07,22.07,22.07,0,0
20110930,MS-AMFAH,Fonds,22.39,22.39,22.39,22.39,0,0
20110929,MS-AMFAH,Fonds,23.26,23.26,23.26,23.26,0,0
20110928,MS-AMFAH,Fonds,23.47,23.47,23.47,23.47,0,0
20110927,MS-AMFAH,Fonds,23.53,23.53,23.53,23.53,0,0
20110926,MS-AMFAH,Fonds,22.76,22.76,22.76,22.76,0,0
20110923,MS-AMFAH,Fonds,22.59,22.59,22.59,22.59,0,0
20110922,MS-AMFAH,Fonds,22.41,22.41,22.41,22.41,0,0
20110921,MS-AMFAH,Fonds,23.85,23.85,23.85,23.85,0,0
20110920,MS-AMFAH,Fonds,23.76,23.76,23.76,23.76,0,0
20110919,MS-AMFAH,Fonds,23.42,23.42,23.42,23.42,0,0
20110916,MS-AMFAH,Fonds,23.84,23.84,23.84,23.84,0,0
20110915,MS-AMFAH,Fonds,23.52,23.52,23.52,23.52,0,0
20110914,MS-AMFAH,Fonds,23.06,23.06,23.06,23.06,0,0
20110913,MS-AMFAH,Fonds,22.92,22.92,22.92,22.92,0,0
20110912,MS-AMFAH,Fonds,22.68,22.68,22.68,22.68,0,0
20110909,MS-AMFAH,Fonds,22.98,22.98,22.98,22.98,0,0
20110908,MS-AMFAH,Fonds,23.33,23.33,23.33,23.33,0,0
20110907,MS-AMFAH,Fonds,23.22,23.22,23.22,23.22,0,0
20110906,MS-AMFAH,Fonds,22.69,22.69,22.69,22.69,0,0
20110905,MS-AMFAH,Fonds,23.04,23.04,23.04,23.04,0,0
20110902,MS-AMFAH,Fonds,23.25,23.25,23.25,23.25,0,0
20110901,MS-AMFAH,Fonds,23.78,23.78,23.78,23.78,0,0
20110831,MS-AMFAH,Fonds,23.34,23.34,23.34,23.34,0,0
20110830,MS-AMFAH,Fonds,23.29,23.29,23.29,23.29,0,0
20110829,MS-AMFAH,Fonds,22.51,22.51,22.51,22.51,0,0
20110826,MS-AMFAH,Fonds,22.79,22.79,22.79,22.79,0,0
20110825,MS-AMFAH,Fonds,22.93,22.93,22.93,22.93,0,0
20110824,MS-AMFAH,Fonds,22.14,22.14,22.14,22.14,0,0
20110823,MS-AMFAH,Fonds,22.23,22.23,22.23,22.23,0,0
20110822,MS-AMFAH,Fonds,22.31,22.31,22.31,22.31,0,0
20110819,MS-AMFAH,Fonds,22.57,22.57,22.57,22.57,0,0
20110818,MS-AMFAH,Fonds,23.50,23.50,23.50,23.50,0,0
20110817,MS-AMFAH,Fonds,23.10,23.10,23.10,23.10,0,0
20110815,MS-AMFAH,Fonds,22.95,22.95,22.95,22.95,0,0
20110812,MS-AMFAH,Fonds,22.16,22.16,22.16,22.16,0,0
20110811,MS-AMFAH,Fonds,22.45,22.45,22.45,22.45,0,0
20110810,MS-AMFAH,Fonds,22.20,22.20,22.20,22.20,0,0
20110809,MS-AMFAH,Fonds,22.57,22.57,22.57,22.57,0,0
20110808,MS-AMFAH,Fonds,22.84,22.84,22.84,22.84,0,0
20110805,MS-AMFAH,Fonds,23.64,23.64,23.64,23.64,0,0
