quote_date,paper,exch,open,high,low,close,volume,value
20181108,OD-EMERC,Fonds,269.60,269.60,269.60,269.60,0,0
20181107,OD-EMERC,Fonds,270.22,270.22,270.22,270.22,0,0
20181106,OD-EMERC,Fonds,267.86,267.86,267.86,267.86,0,0
20181105,OD-EMERC,Fonds,268.06,268.06,268.06,268.06,0,0
20181102,OD-EMERC,Fonds,267.61,267.61,267.61,267.61,0,0
20181101,OD-EMERC,Fonds,262.50,262.50,262.50,262.50,0,0
20181031,OD-EMERC,Fonds,260.31,260.31,260.31,260.31,0,0
20181030,OD-EMERC,Fonds,256.21,256.21,256.21,256.21,0,0
20181029,OD-EMERC,Fonds,257.02,257.02,257.02,257.02,0,0
20181026,OD-EMERC,Fonds,255.39,255.39,255.39,255.39,0,0
20181025,OD-EMERC,Fonds,257.19,257.19,257.19,257.19,0,0
20181024,OD-EMERC,Fonds,259.33,259.33,259.33,259.33,0,0
20181023,OD-EMERC,Fonds,258.22,258.22,258.22,258.22,0,0
20181022,OD-EMERC,Fonds,261.04,261.04,261.04,261.04,0,0
20181019,OD-EMERC,Fonds,259.65,259.65,259.65,259.65,0,0
20181018,OD-EMERC,Fonds,261.77,261.77,261.77,261.77,0,0
20181017,OD-EMERC,Fonds,261.77,261.77,261.77,261.77,0,0
20181016,OD-EMERC,Fonds,261.31,261.31,261.31,261.31,0,0
20181015,OD-EMERC,Fonds,259.72,259.72,259.72,259.72,0,0
20181012,OD-EMERC,Fonds,260.23,260.23,260.23,260.23,0,0
20181011,OD-EMERC,Fonds,256.92,256.92,256.92,256.92,0,0
20181010,OD-EMERC,Fonds,261.09,261.09,261.09,261.09,0,0
20181009,OD-EMERC,Fonds,264.34,264.34,264.34,264.34,0,0
20181008,OD-EMERC,Fonds,264.08,264.08,264.08,264.08,0,0
20181005,OD-EMERC,Fonds,266.43,266.43,266.43,266.43,0,0
20181004,OD-EMERC,Fonds,267.84,267.84,267.84,267.84,0,0
20181003,OD-EMERC,Fonds,272.77,272.77,272.77,272.77,0,0
20181002,OD-EMERC,Fonds,272.80,272.80,272.80,272.80,0,0
20181001,OD-EMERC,Fonds,274.50,274.50,274.50,274.50,0,0
20180928,OD-EMERC,Fonds,274.23,274.23,274.23,274.23,0,0
20180927,OD-EMERC,Fonds,274.17,274.17,274.17,274.17,0,0
20180926,OD-EMERC,Fonds,272.32,272.32,272.32,272.32,0,0
20180925,OD-EMERC,Fonds,271.41,271.41,271.41,271.41,0,0
20180924,OD-EMERC,Fonds,274.04,274.04,274.04,274.04,0,0
20180921,OD-EMERC,Fonds,277.29,277.29,277.29,277.29,0,0
20180920,OD-EMERC,Fonds,278.08,278.08,278.08,278.08,0,0
20180919,OD-EMERC,Fonds,275.14,275.14,275.14,275.14,0,0
20180918,OD-EMERC,Fonds,274.01,274.01,274.01,274.01,0,0
20180917,OD-EMERC,Fonds,275.13,275.13,275.13,275.13,0,0
20180914,OD-EMERC,Fonds,279.41,279.41,279.41,279.41,0,0
20180913,OD-EMERC,Fonds,277.61,277.61,277.61,277.61,0,0
20180912,OD-EMERC,Fonds,276.37,276.37,276.37,276.37,0,0
20180911,OD-EMERC,Fonds,278.48,278.48,278.48,278.48,0,0
20180910,OD-EMERC,Fonds,281.77,281.77,281.77,281.77,0,0
20180907,OD-EMERC,Fonds,285.82,285.82,285.82,285.82,0,0
20180906,OD-EMERC,Fonds,283.86,283.86,283.86,283.86,0,0
20180905,OD-EMERC,Fonds,284.80,284.80,284.80,284.80,0,0
20180904,OD-EMERC,Fonds,287.94,287.94,287.94,287.94,0,0
20180903,OD-EMERC,Fonds,290.49,290.49,290.49,290.49,0,0
20180831,OD-EMERC,Fonds,292.94,292.94,292.94,292.94,0,0
20180830,OD-EMERC,Fonds,291.02,291.02,291.02,291.02,0,0
20180829,OD-EMERC,Fonds,294.13,294.13,294.13,294.13,0,0
20180828,OD-EMERC,Fonds,296.98,296.98,296.98,296.98,0,0
20180827,OD-EMERC,Fonds,295.79,295.79,295.79,295.79,0,0
20180824,OD-EMERC,Fonds,293.59,293.59,293.59,293.59,0,0
20180823,OD-EMERC,Fonds,293.56,293.56,293.56,293.56,0,0
20180821,OD-EMERC,Fonds,294.75,294.75,294.75,294.75,0,0
20180820,OD-EMERC,Fonds,293.41,293.41,293.41,293.41,0,0
20180817,OD-EMERC,Fonds,290.67,290.67,290.67,290.67,0,0
20180816,OD-EMERC,Fonds,289.52,289.52,289.52,289.52,0,0
20180815,OD-EMERC,Fonds,288.52,288.52,288.52,288.52,0,0
20180814,OD-EMERC,Fonds,290.07,290.07,290.07,290.07,0,0
20180813,OD-EMERC,Fonds,289.18,289.18,289.18,289.18,0,0
20180810,OD-EMERC,Fonds,291.31,291.31,291.31,291.31,0,0
20180809,OD-EMERC,Fonds,292.49,292.49,292.49,292.49,0,0
20180808,OD-EMERC,Fonds,291.86,291.86,291.86,291.86,0,0
20180807,OD-EMERC,Fonds,290.35,290.35,290.35,290.35,0,0
20180806,OD-EMERC,Fonds,289.99,289.99,289.99,289.99,0,0
20180803,OD-EMERC,Fonds,291.28,291.28,291.28,291.28,0,0
20180802,OD-EMERC,Fonds,289.62,289.62,289.62,289.62,0,0
20180801,OD-EMERC,Fonds,290.62,290.62,290.62,290.62,0,0
20180731,OD-EMERC,Fonds,289.91,289.91,289.91,289.91,0,0
20180730,OD-EMERC,Fonds,291.15,291.15,291.15,291.15,0,0
20180727,OD-EMERC,Fonds,294.33,294.33,294.33,294.33,0,0
20180726,OD-EMERC,Fonds,292.75,292.75,292.75,292.75,0,0
20180725,OD-EMERC,Fonds,292.69,292.69,292.69,292.69,0,0
20180724,OD-EMERC,Fonds,291.21,291.21,291.21,291.21,0,0
20180723,OD-EMERC,Fonds,289.55,289.55,289.55,289.55,0,0
20180720,OD-EMERC,Fonds,291.45,291.45,291.45,291.45,0,0
20180719,OD-EMERC,Fonds,291.31,291.31,291.31,291.31,0,0
20180718,OD-EMERC,Fonds,289.91,289.91,289.91,289.91,0,0
20180717,OD-EMERC,Fonds,287.85,287.85,287.85,287.85,0,0
20180716,OD-EMERC,Fonds,286.95,286.95,286.95,286.95,0,0
20180713,OD-EMERC,Fonds,288.44,288.44,288.44,288.44,0,0
20180712,OD-EMERC,Fonds,286.89,286.89,286.89,286.89,0,0
20180711,OD-EMERC,Fonds,283.44,283.44,283.44,283.44,0,0
20180710,OD-EMERC,Fonds,284.11,284.11,284.11,284.11,0,0
20180709,OD-EMERC,Fonds,282.05,282.05,282.05,282.05,0,0
20180706,OD-EMERC,Fonds,279.72,279.72,279.72,279.72,0,0
20180705,OD-EMERC,Fonds,280.21,280.21,280.21,280.21,0,0
20180704,OD-EMERC,Fonds,282.84,282.84,282.84,282.84,0,0
20180703,OD-EMERC,Fonds,283.85,283.85,283.85,283.85,0,0
20180702,OD-EMERC,Fonds,284.74,284.74,284.74,284.74,0,0
20180629,OD-EMERC,Fonds,285.17,285.17,285.17,285.17,0,0
20180628,OD-EMERC,Fonds,281.36,281.36,281.36,281.36,0,0
20180627,OD-EMERC,Fonds,282.44,282.44,282.44,282.44,0,0
20180626,OD-EMERC,Fonds,284.03,284.03,284.03,284.03,0,0
20180625,OD-EMERC,Fonds,284.49,284.49,284.49,284.49,0,0
20180622,OD-EMERC,Fonds,285.68,285.68,285.68,285.68,0,0
20180621,OD-EMERC,Fonds,283.69,283.69,283.69,283.69,0,0
