quote_date,paper,exch,open,high,low,close,volume,value
20181108,OD-NORDC,Fonds,2285.50,2285.50,2285.50,2285.50,0,0
20181107,OD-NORDC,Fonds,2285.72,2285.72,2285.72,2285.72,0,0
20181106,OD-NORDC,Fonds,2265.82,2265.82,2265.82,2265.82,0,0
20181105,OD-NORDC,Fonds,2256.41,2256.41,2256.41,2256.41,0,0
20181102,OD-NORDC,Fonds,2286.14,2286.14,2286.14,2286.14,0,0
20181101,OD-NORDC,Fonds,2253.38,2253.38,2253.38,2253.38,0,0
20181031,OD-NORDC,Fonds,2240.50,2240.50,2240.50,2240.50,0,0
20181030,OD-NORDC,Fonds,2195.60,2195.60,2195.60,2195.60,0,0
20181029,OD-NORDC,Fonds,2214.41,2214.41,2214.41,2214.41,0,0
20181026,OD-NORDC,Fonds,2162.19,2162.19,2162.19,2162.19,0,0
20181025,OD-NORDC,Fonds,2178.14,2178.14,2178.14,2178.14,0,0
20181024,OD-NORDC,Fonds,2197.14,2197.14,2197.14,2197.14,0,0
20181023,OD-NORDC,Fonds,2192.05,2192.05,2192.05,2192.05,0,0
20181022,OD-NORDC,Fonds,2243.24,2243.24,2243.24,2243.24,0,0
20181019,OD-NORDC,Fonds,2245.22,2245.22,2245.22,2245.22,0,0
20181018,OD-NORDC,Fonds,2280.76,2280.76,2280.76,2280.76,0,0
20181017,OD-NORDC,Fonds,2284.27,2284.27,2284.27,2284.27,0,0
20181016,OD-NORDC,Fonds,2281.91,2281.91,2281.91,2281.91,0,0
20181015,OD-NORDC,Fonds,2242.00,2242.00,2242.00,2242.00,0,0
20181012,OD-NORDC,Fonds,2266.74,2266.74,2266.74,2266.74,0,0
20181011,OD-NORDC,Fonds,2270.60,2270.60,2270.60,2270.60,0,0
20181010,OD-NORDC,Fonds,2287.35,2287.35,2287.35,2287.35,0,0
20181009,OD-NORDC,Fonds,2343.12,2343.12,2343.12,2343.12,0,0
20181008,OD-NORDC,Fonds,2362.03,2362.03,2362.03,2362.03,0,0
20181005,OD-NORDC,Fonds,2394.16,2394.16,2394.16,2394.16,0,0
20181004,OD-NORDC,Fonds,2407.43,2407.43,2407.43,2407.43,0,0
20181003,OD-NORDC,Fonds,2452.43,2452.43,2452.43,2452.43,0,0
20181002,OD-NORDC,Fonds,2433.87,2433.87,2433.87,2433.87,0,0
20181001,OD-NORDC,Fonds,2451.37,2451.37,2451.37,2451.37,0,0
20180928,OD-NORDC,Fonds,2456.87,2456.87,2456.87,2456.87,0,0
20180927,OD-NORDC,Fonds,2479.94,2479.94,2479.94,2479.94,0,0
20180926,OD-NORDC,Fonds,2467.28,2467.28,2467.28,2467.28,0,0
20180925,OD-NORDC,Fonds,2475.99,2475.99,2475.99,2475.99,0,0
20180924,OD-NORDC,Fonds,2476.52,2476.52,2476.52,2476.52,0,0
20180921,OD-NORDC,Fonds,2493.98,2493.98,2493.98,2493.98,0,0
20180920,OD-NORDC,Fonds,2492.81,2492.81,2492.81,2492.81,0,0
20180919,OD-NORDC,Fonds,2458.81,2458.81,2458.81,2458.81,0,0
20180918,OD-NORDC,Fonds,2453.29,2453.29,2453.29,2453.29,0,0
20180917,OD-NORDC,Fonds,2460.14,2460.14,2460.14,2460.14,0,0
20180914,OD-NORDC,Fonds,2465.96,2465.96,2465.96,2465.96,0,0
20180913,OD-NORDC,Fonds,2454.76,2454.76,2454.76,2454.76,0,0
20180912,OD-NORDC,Fonds,2448.42,2448.42,2448.42,2448.42,0,0
20180911,OD-NORDC,Fonds,2455.61,2455.61,2455.61,2455.61,0,0
20180910,OD-NORDC,Fonds,2477.83,2477.83,2477.83,2477.83,0,0
20180907,OD-NORDC,Fonds,2480.86,2480.86,2480.86,2480.86,0,0
20180906,OD-NORDC,Fonds,2483.44,2483.44,2483.44,2483.44,0,0
20180905,OD-NORDC,Fonds,2488.67,2488.67,2488.67,2488.67,0,0
20180904,OD-NORDC,Fonds,2504.70,2504.70,2504.70,2504.70,0,0
20180903,OD-NORDC,Fonds,2521.29,2521.29,2521.29,2521.29,0,0
20180831,OD-NORDC,Fonds,2526.08,2526.08,2526.08,2526.08,0,0
20180830,OD-NORDC,Fonds,2534.86,2534.86,2534.86,2534.86,0,0
20180829,OD-NORDC,Fonds,2537.77,2537.77,2537.77,2537.77,0,0
20180828,OD-NORDC,Fonds,2538.66,2538.66,2538.66,2538.66,0,0
20180827,OD-NORDC,Fonds,2527.92,2527.92,2527.92,2527.92,0,0
20180824,OD-NORDC,Fonds,2501.64,2501.64,2501.64,2501.64,0,0
20180823,OD-NORDC,Fonds,2496.44,2496.44,2496.44,2496.44,0,0
20180822,OD-NORDC,Fonds,2502.08,2502.08,2502.08,2502.08,0,0
20180821,OD-NORDC,Fonds,2514.20,2514.20,2514.20,2514.20,0,0
20180820,OD-NORDC,Fonds,2518.87,2518.87,2518.87,2518.87,0,0
20180817,OD-NORDC,Fonds,2482.08,2482.08,2482.08,2482.08,0,0
20180816,OD-NORDC,Fonds,2468.60,2468.60,2468.60,2468.60,0,0
20180815,OD-NORDC,Fonds,2451.39,2451.39,2451.39,2451.39,0,0
20180814,OD-NORDC,Fonds,2465.42,2465.42,2465.42,2465.42,0,0
20180813,OD-NORDC,Fonds,2482.34,2482.34,2482.34,2482.34,0,0
20180810,OD-NORDC,Fonds,2480.89,2480.89,2480.89,2480.89,0,0
20180809,OD-NORDC,Fonds,2509.04,2509.04,2509.04,2509.04,0,0
20180808,OD-NORDC,Fonds,2490.43,2490.43,2490.43,2490.43,0,0
20180807,OD-NORDC,Fonds,2491.94,2491.94,2491.94,2491.94,0,0
20180806,OD-NORDC,Fonds,2498.17,2498.17,2498.17,2498.17,0,0
20180803,OD-NORDC,Fonds,2507.28,2507.28,2507.28,2507.28,0,0
20180802,OD-NORDC,Fonds,2505.06,2505.06,2505.06,2505.06,0,0
20180801,OD-NORDC,Fonds,2512.95,2512.95,2512.95,2512.95,0,0
20180731,OD-NORDC,Fonds,2518.08,2518.08,2518.08,2518.08,0,0
20180730,OD-NORDC,Fonds,2513.87,2513.87,2513.87,2513.87,0,0
20180727,OD-NORDC,Fonds,2504.13,2504.13,2504.13,2504.13,0,0
20180726,OD-NORDC,Fonds,2492.79,2492.79,2492.79,2492.79,0,0
20180725,OD-NORDC,Fonds,2483.13,2483.13,2483.13,2483.13,0,0
20180724,OD-NORDC,Fonds,2480.71,2480.71,2480.71,2480.71,0,0
20180723,OD-NORDC,Fonds,2437.24,2437.24,2437.24,2437.24,0,0
20180720,OD-NORDC,Fonds,2433.41,2433.41,2433.41,2433.41,0,0
20180719,OD-NORDC,Fonds,2454.16,2454.16,2454.16,2454.16,0,0
20180718,OD-NORDC,Fonds,2438.11,2438.11,2438.11,2438.11,0,0
20180717,OD-NORDC,Fonds,2432.58,2432.58,2432.58,2432.58,0,0
20180716,OD-NORDC,Fonds,2419.44,2419.44,2419.44,2419.44,0,0
20180713,OD-NORDC,Fonds,2411.79,2411.79,2411.79,2411.79,0,0
20180712,OD-NORDC,Fonds,2417.82,2417.82,2417.82,2417.82,0,0
20180711,OD-NORDC,Fonds,2403.31,2403.31,2403.31,2403.31,0,0
20180710,OD-NORDC,Fonds,2419.75,2419.75,2419.75,2419.75,0,0
20180709,OD-NORDC,Fonds,2393.31,2393.31,2393.31,2393.31,0,0
20180706,OD-NORDC,Fonds,2370.50,2370.50,2370.50,2370.50,0,0
20180705,OD-NORDC,Fonds,2374.94,2374.94,2374.94,2374.94,0,0
20180704,OD-NORDC,Fonds,2386.37,2386.37,2386.37,2386.37,0,0
20180703,OD-NORDC,Fonds,2409.21,2409.21,2409.21,2409.21,0,0
20180702,OD-NORDC,Fonds,2400.38,2400.38,2400.38,2400.38,0,0
20180629,OD-NORDC,Fonds,2410.60,2410.60,2410.60,2410.60,0,0
20180628,OD-NORDC,Fonds,2366.13,2366.13,2366.13,2366.13,0,0
20180627,OD-NORDC,Fonds,2410.55,2410.55,2410.55,2410.55,0,0
20180626,OD-NORDC,Fonds,2407.75,2407.75,2407.75,2407.75,0,0
20180625,OD-NORDC,Fonds,2425.71,2425.71,2425.71,2425.71,0,0
20180621,OD-NORDC,Fonds,2422.72,2422.72,2422.72,2422.72,0,0
20180620,OD-NORDC,Fonds,2450.97,2450.97,2450.97,2450.97,0,0
20180619,OD-NORDC,Fonds,2449.47,2449.47,2449.47,2449.47,0,0
20180618,OD-NORDC,Fonds,2465.60,2465.60,2465.60,2465.60,0,0
