quote_date,paper,exch,open,high,low,close,volume,value
20181210,ST-FOCUA,Fonds,112.0447,112.0447,112.0447,112.0447,0,0
20181207,ST-FOCUA,Fonds,114.4446,114.4446,114.4446,114.4446,0,0
20181206,ST-FOCUA,Fonds,114.4448,114.4448,114.4448,114.4448,0,0
20181205,ST-FOCUA,Fonds,117.3236,117.3236,117.3236,117.3236,0,0
20181204,ST-FOCUA,Fonds,118.4773,118.4773,118.4773,118.4773,0,0
20181203,ST-FOCUA,Fonds,120.5361,120.5361,120.5361,120.5361,0,0
20181130,ST-FOCUA,Fonds,119.7442,119.7442,119.7442,119.7442,0,0
20181129,ST-FOCUA,Fonds,119.2133,119.2133,119.2133,119.2133,0,0
20181128,ST-FOCUA,Fonds,118.3439,118.3439,118.3439,118.3439,0,0
20181127,ST-FOCUA,Fonds,117.8773,117.8773,117.8773,117.8773,0,0
20181126,ST-FOCUA,Fonds,117.7551,117.7551,117.7551,117.7551,0,0
20181123,ST-FOCUA,Fonds,116.8319,116.8319,116.8319,116.8319,0,0
20181122,ST-FOCUA,Fonds,116.8523,116.8523,116.8523,116.8523,0,0
20181121,ST-FOCUA,Fonds,117.005,117.005,117.005,117.005,0,0
20181120,ST-FOCUA,Fonds,116.8593,116.8593,116.8593,116.8593,0,0
20181119,ST-FOCUA,Fonds,117.6554,117.6554,117.6554,117.6554,0,0
20181116,ST-FOCUA,Fonds,116.785,116.785,116.785,116.785,0,0
20181115,ST-FOCUA,Fonds,116.3018,116.3018,116.3018,116.3018,0,0
20181114,ST-FOCUA,Fonds,117.7158,117.7158,117.7158,117.7158,0,0
20181113,ST-FOCUA,Fonds,117.0754,117.0754,117.0754,117.0754,0,0
20181112,ST-FOCUA,Fonds,117.5444,117.5444,117.5444,117.5444,0,0
20181109,ST-FOCUA,Fonds,117.4888,117.4888,117.4888,117.4888,0,0
20181108,ST-FOCUA,Fonds,118.4903,118.4903,118.4903,118.4903,0,0
20181107,ST-FOCUA,Fonds,117.4619,117.4619,117.4619,117.4619,0,0
20181106,ST-FOCUA,Fonds,117.6549,117.6549,117.6549,117.6549,0,0
20181105,ST-FOCUA,Fonds,117.3252,117.3252,117.3252,117.3252,0,0
20181102,ST-FOCUA,Fonds,117.313,117.313,117.313,117.313,0,0
20181101,ST-FOCUA,Fonds,116.5216,116.5216,116.5216,116.5216,0,0
20181031,ST-FOCUA,Fonds,116.1294,116.1294,116.1294,116.1294,0,0
20181030,ST-FOCUA,Fonds,113.7595,113.7595,113.7595,113.7595,0,0
20181029,ST-FOCUA,Fonds,114.2972,114.2972,114.2972,114.2972,0,0
20181026,ST-FOCUA,Fonds,112.4265,112.4265,112.4265,112.4265,0,0
20181025,ST-FOCUA,Fonds,113.604,113.604,113.604,113.604,0,0
20181024,ST-FOCUA,Fonds,115.7906,115.7906,115.7906,115.7906,0,0
20181023,ST-FOCUA,Fonds,115.7096,115.7096,115.7096,115.7096,0,0
20181022,ST-FOCUA,Fonds,117.8665,117.8665,117.8665,117.8665,0,0
20181019,ST-FOCUA,Fonds,118.3105,118.3105,118.3105,118.3105,0,0
20181018,ST-FOCUA,Fonds,119.6886,119.6886,119.6886,119.6886,0,0
20181017,ST-FOCUA,Fonds,118.7878,118.7878,118.7878,118.7878,0,0
20181016,ST-FOCUA,Fonds,117.8734,117.8734,117.8734,117.8734,0,0
20181015,ST-FOCUA,Fonds,117.3927,117.3927,117.3927,117.3927,0,0
20181012,ST-FOCUA,Fonds,117.9398,117.9398,117.9398,117.9398,0,0
20181011,ST-FOCUA,Fonds,118.7867,118.7867,118.7867,118.7867,0,0
20181010,ST-FOCUA,Fonds,121.3919,121.3919,121.3919,121.3919,0,0
20181009,ST-FOCUA,Fonds,123.8127,123.8127,123.8127,123.8127,0,0
20181008,ST-FOCUA,Fonds,125.0455,125.0455,125.0455,125.0455,0,0
20181005,ST-FOCUA,Fonds,125.575,125.575,125.575,125.575,0,0
20181004,ST-FOCUA,Fonds,125.7705,125.7705,125.7705,125.7705,0,0
20181003,ST-FOCUA,Fonds,125.0274,125.0274,125.0274,125.0274,0,0
20181002,ST-FOCUA,Fonds,124.9512,124.9512,124.9512,124.9512,0,0
20181001,ST-FOCUA,Fonds,125.2448,125.2448,125.2448,125.2448,0,0
20180928,ST-FOCUA,Fonds,125.269,125.269,125.269,125.269,0,0
20180927,ST-FOCUA,Fonds,125.4268,125.4268,125.4268,125.4268,0,0
20180926,ST-FOCUA,Fonds,125.5212,125.5212,125.5212,125.5212,0,0
20180925,ST-FOCUA,Fonds,125.7443,125.7443,125.7443,125.7443,0,0
20180924,ST-FOCUA,Fonds,126.4034,126.4034,126.4034,126.4034,0,0
20180921,ST-FOCUA,Fonds,126.9165,126.9165,126.9165,126.9165,0,0
20180920,ST-FOCUA,Fonds,126.2437,126.2437,126.2437,126.2437,0,0
20180919,ST-FOCUA,Fonds,125.0471,125.0471,125.0471,125.0471,0,0
20180918,ST-FOCUA,Fonds,123.5549,123.5549,123.5549,123.5549,0,0
20180917,ST-FOCUA,Fonds,123.5775,123.5775,123.5775,123.5775,0,0
20180914,ST-FOCUA,Fonds,124.1425,124.1425,124.1425,124.1425,0,0
20180913,ST-FOCUA,Fonds,122.9837,122.9837,122.9837,122.9837,0,0
20180912,ST-FOCUA,Fonds,122.555,122.555,122.555,122.555,0,0
20180911,ST-FOCUA,Fonds,123.4339,123.4339,123.4339,123.4339,0,0
20180910,ST-FOCUA,Fonds,124.4338,124.4338,124.4338,124.4338,0,0
20180907,ST-FOCUA,Fonds,125.0301,125.0301,125.0301,125.0301,0,0
20180906,ST-FOCUA,Fonds,125.0182,125.0182,125.0182,125.0182,0,0
20180905,ST-FOCUA,Fonds,124.9618,124.9618,124.9618,124.9618,0,0
20180904,ST-FOCUA,Fonds,125.0755,125.0755,125.0755,125.0755,0,0
20180903,ST-FOCUA,Fonds,125.6206,125.6206,125.6206,125.6206,0,0
