quote_date,paper,exch,open,high,low,close,volume,value
20140214,TG-BRICU,Fonds,14.12,14.12,14.12,14.12,0,0
20140213,TG-BRICU,Fonds,13.95,13.95,13.95,13.95,0,0
20140212,TG-BRICU,Fonds,14.04,14.04,14.04,14.04,0,0
20140210,TG-BRICU,Fonds,13.90,13.90,13.90,13.90,0,0
20140207,TG-BRICU,Fonds,13.88,13.88,13.88,13.88,0,0
20140206,TG-BRICU,Fonds,13.74,13.74,13.74,13.74,0,0
20140205,TG-BRICU,Fonds,13.57,13.57,13.57,13.57,0,0
20140204,TG-BRICU,Fonds,13.58,13.58,13.58,13.58,0,0
20140203,TG-BRICU,Fonds,13.48,13.48,13.48,13.48,0,0
20140131,TG-BRICU,Fonds,13.79,13.79,13.79,13.79,0,0
20140129,TG-BRICU,Fonds,13.75,13.75,13.75,13.75,0,0
20140124,TG-BRICU,Fonds,13.96,13.96,13.96,13.96,0,0
20140123,TG-BRICU,Fonds,14.18,14.18,14.18,14.18,0,0
20140122,TG-BRICU,Fonds,14.38,14.38,14.38,14.38,0,0
20140121,TG-BRICU,Fonds,14.31,14.31,14.31,14.31,0,0
20140120,TG-BRICU,Fonds,14.31,14.31,14.31,14.31,0,0
20140117,TG-BRICU,Fonds,14.39,14.39,14.39,14.39,0,0
20140116,TG-BRICU,Fonds,14.40,14.40,14.40,14.40,0,0
20140115,TG-BRICU,Fonds,14.43,14.43,14.43,14.43,0,0
20140114,TG-BRICU,Fonds,14.39,14.39,14.39,14.39,0,0
20140110,TG-BRICU,Fonds,14.42,14.42,14.42,14.42,0,0
20140109,TG-BRICU,Fonds,14.39,14.39,14.39,14.39,0,0
20140108,TG-BRICU,Fonds,14.48,14.48,14.48,14.48,0,0
20140107,TG-BRICU,Fonds,14.41,14.41,14.41,14.41,0,0
20140106,TG-BRICU,Fonds,14.45,14.45,14.45,14.45,0,0
20140103,TG-BRICU,Fonds,14.54,14.54,14.54,14.54,0,0
20140102,TG-BRICU,Fonds,14.63,14.63,14.63,14.63,0,0
20131230,TG-BRICU,Fonds,14.77,14.77,14.77,14.77,0,0
20131227,TG-BRICU,Fonds,14.77,14.77,14.77,14.77,0,0
20131223,TG-BRICU,Fonds,14.63,14.63,14.63,14.63,0,0
20131220,TG-BRICU,Fonds,14.54,14.54,14.54,14.54,0,0
20131219,TG-BRICU,Fonds,14.59,14.59,14.59,14.59,0,0
20131218,TG-BRICU,Fonds,14.59,14.59,14.59,14.59,0,0
20131217,TG-BRICU,Fonds,14.50,14.50,14.50,14.50,0,0
20131216,TG-BRICU,Fonds,14.50,14.50,14.50,14.50,0,0
20131213,TG-BRICU,Fonds,14.46,14.46,14.46,14.46,0,0
20131212,TG-BRICU,Fonds,14.49,14.49,14.49,14.49,0,0
20131211,TG-BRICU,Fonds,14.60,14.60,14.60,14.60,0,0
20131210,TG-BRICU,Fonds,14.81,14.81,14.81,14.81,0,0
20131209,TG-BRICU,Fonds,14.81,14.81,14.81,14.81,0,0
20131206,TG-BRICU,Fonds,14.69,14.69,14.69,14.69,0,0
20131205,TG-BRICU,Fonds,14.58,14.58,14.58,14.58,0,0
20131204,TG-BRICU,Fonds,14.49,14.49,14.49,14.49,0,0
20131203,TG-BRICU,Fonds,14.57,14.57,14.57,14.57,0,0
20131202,TG-BRICU,Fonds,14.71,14.71,14.71,14.71,0,0
20131129,TG-BRICU,Fonds,14.75,14.75,14.75,14.75,0,0
20131128,TG-BRICU,Fonds,14.65,14.65,14.65,14.65,0,0
20131127,TG-BRICU,Fonds,14.65,14.65,14.65,14.65,0,0
20131126,TG-BRICU,Fonds,14.60,14.60,14.60,14.60,0,0
20131125,TG-BRICU,Fonds,14.71,14.71,14.71,14.71,0,0
20131122,TG-BRICU,Fonds,14.72,14.72,14.72,14.72,0,0
20131121,TG-BRICU,Fonds,14.64,14.64,14.64,14.64,0,0
20131120,TG-BRICU,Fonds,14.80,14.80,14.80,14.80,0,0
20131119,TG-BRICU,Fonds,14.86,14.86,14.86,14.86,0,0
20131118,TG-BRICU,Fonds,14.93,14.93,14.93,14.93,0,0
20131115,TG-BRICU,Fonds,14.56,14.56,14.56,14.56,0,0
20131114,TG-BRICU,Fonds,14.39,14.39,14.39,14.39,0,0
20131113,TG-BRICU,Fonds,14.17,14.17,14.17,14.17,0,0
20131112,TG-BRICU,Fonds,14.27,14.27,14.27,14.27,0,0
20131111,TG-BRICU,Fonds,14.42,14.42,14.42,14.42,0,0
20131108,TG-BRICU,Fonds,14.42,14.42,14.42,14.42,0,0
20131107,TG-BRICU,Fonds,14.59,14.59,14.59,14.59,0,0
20131106,TG-BRICU,Fonds,14.73,14.73,14.73,14.73,0,0
20131105,TG-BRICU,Fonds,14.76,14.76,14.76,14.76,0,0
20131104,TG-BRICU,Fonds,14.94,14.94,14.94,14.94,0,0
20131030,TG-BRICU,Fonds,14.98,14.98,14.98,14.98,0,0
20131029,TG-BRICU,Fonds,14.91,14.91,14.91,14.91,0,0
20131028,TG-BRICU,Fonds,14.86,14.86,14.86,14.86,0,0
20131025,TG-BRICU,Fonds,14.84,14.84,14.84,14.84,0,0
20131024,TG-BRICU,Fonds,14.85,14.85,14.85,14.85,0,0
20131023,TG-BRICU,Fonds,14.91,14.91,14.91,14.91,0,0
20131022,TG-BRICU,Fonds,15.17,15.17,15.17,15.17,0,0
20131021,TG-BRICU,Fonds,15.14,15.14,15.14,15.14,0,0
20131018,TG-BRICU,Fonds,15.09,15.09,15.09,15.09,0,0
20131017,TG-BRICU,Fonds,14.93,14.93,14.93,14.93,0,0
20131016,TG-BRICU,Fonds,14.88,14.88,14.88,14.88,0,0
20131015,TG-BRICU,Fonds,14.85,14.85,14.85,14.85,0,0
20131014,TG-BRICU,Fonds,14.82,14.82,14.82,14.82,0,0
20131010,TG-BRICU,Fonds,14.66,14.66,14.66,14.66,0,0
20131009,TG-BRICU,Fonds,14.43,14.43,14.43,14.43,0,0
20131008,TG-BRICU,Fonds,14.40,14.40,14.40,14.40,0,0
20131007,TG-BRICU,Fonds,14.33,14.33,14.33,14.33,0,0
20131004,TG-BRICU,Fonds,14.41,14.41,14.41,14.41,0,0
20131003,TG-BRICU,Fonds,14.36,14.36,14.36,14.36,0,0
20131002,TG-BRICU,Fonds,14.26,14.26,14.26,14.26,0,0
20130930,TG-BRICU,Fonds,14.18,14.18,14.18,14.18,0,0
20130927,TG-BRICU,Fonds,14.30,14.30,14.30,14.30,0,0
20130926,TG-BRICU,Fonds,14.34,14.34,14.34,14.34,0,0
20130925,TG-BRICU,Fonds,14.36,14.36,14.36,14.36,0,0
20130924,TG-BRICU,Fonds,14.35,14.35,14.35,14.35,0,0
20130923,TG-BRICU,Fonds,14.45,14.45,14.45,14.45,0,0
20130920,TG-BRICU,Fonds,14.46,14.46,14.46,14.46,0,0
20130919,TG-BRICU,Fonds,14.57,14.57,14.57,14.57,0,0
20130918,TG-BRICU,Fonds,14.53,14.53,14.53,14.53,0,0
20130917,TG-BRICU,Fonds,14.25,14.25,14.25,14.25,0,0
20130916,TG-BRICU,Fonds,14.19,14.19,14.19,14.19,0,0
20130913,TG-BRICU,Fonds,14.09,14.09,14.09,14.09,0,0
20130912,TG-BRICU,Fonds,14.11,14.11,14.11,14.11,0,0
20130911,TG-BRICU,Fonds,14.16,14.16,14.16,14.16,0,0
20130910,TG-BRICU,Fonds,14.18,14.18,14.18,14.18,0,0
20130909,TG-BRICU,Fonds,14.02,14.02,14.02,14.02,0,0
20130905,TG-BRICU,Fonds,13.62,13.62,13.62,13.62,0,0
20130904,TG-BRICU,Fonds,13.42,13.42,13.42,13.42,0,0
20130903,TG-BRICU,Fonds,13.27,13.27,13.27,13.27,0,0
20130902,TG-BRICU,Fonds,13.35,13.35,13.35,13.35,0,0
20130830,TG-BRICU,Fonds,13.19,13.19,13.19,13.19,0,0
20130829,TG-BRICU,Fonds,13.19,13.19,13.19,13.19,0,0
20130828,TG-BRICU,Fonds,13.07,13.07,13.07,13.07,0,0
20130827,TG-BRICU,Fonds,13.18,13.18,13.18,13.18,0,0
20130826,TG-BRICU,Fonds,13.38,13.38,13.38,13.38,0,0
20130823,TG-BRICU,Fonds,13.45,13.45,13.45,13.45,0,0
20130822,TG-BRICU,Fonds,13.27,13.27,13.27,13.27,0,0
20130821,TG-BRICU,Fonds,13.16,13.16,13.16,13.16,0,0
20130820,TG-BRICU,Fonds,13.36,13.36,13.36,13.36,0,0
20130819,TG-BRICU,Fonds,13.52,13.52,13.52,13.52,0,0
20130816,TG-BRICU,Fonds,13.64,13.64,13.64,13.64,0,0
20130815,TG-BRICU,Fonds,13.84,13.84,13.84,13.84,0,0
20130813,TG-BRICU,Fonds,13.88,13.88,13.88,13.88,0,0
20130812,TG-BRICU,Fonds,13.76,13.76,13.76,13.76,0,0
20130809,TG-BRICU,Fonds,13.65,13.65,13.65,13.65,0,0
