quote_date,paper,exch,open,high,low,close,volume,value
20140214,TG-INDIA,Fonds,21.63,21.63,21.63,21.63,0,0
20140213,TG-INDIA,Fonds,21.30,21.30,21.30,21.30,0,0
20140212,TG-INDIA,Fonds,21.65,21.65,21.65,21.65,0,0
20140210,TG-INDIA,Fonds,21.35,21.35,21.35,21.35,0,0
20140207,TG-INDIA,Fonds,21.47,21.47,21.47,21.47,0,0
20140206,TG-INDIA,Fonds,21.37,21.37,21.37,21.37,0,0
20140205,TG-INDIA,Fonds,21.28,21.28,21.28,21.28,0,0
20140204,TG-INDIA,Fonds,21.37,21.37,21.37,21.37,0,0
20140203,TG-INDIA,Fonds,21.08,21.08,21.08,21.08,0,0
20140131,TG-INDIA,Fonds,21.38,21.38,21.38,21.38,0,0
20140129,TG-INDIA,Fonds,21.40,21.40,21.40,21.40,0,0
20140124,TG-INDIA,Fonds,21.87,21.87,21.87,21.87,0,0
20140123,TG-INDIA,Fonds,22.35,22.35,22.35,22.35,0,0
20140122,TG-INDIA,Fonds,22.38,22.38,22.38,22.38,0,0
20140121,TG-INDIA,Fonds,22.23,22.23,22.23,22.23,0,0
20140120,TG-INDIA,Fonds,22.29,22.29,22.29,22.29,0,0
20140117,TG-INDIA,Fonds,22.24,22.24,22.24,22.24,0,0
20140116,TG-INDIA,Fonds,22.44,22.44,22.44,22.44,0,0
20140115,TG-INDIA,Fonds,22.51,22.51,22.51,22.51,0,0
20140114,TG-INDIA,Fonds,22.36,22.36,22.36,22.36,0,0
20140110,TG-INDIA,Fonds,22.01,22.01,22.01,22.01,0,0
20140109,TG-INDIA,Fonds,21.98,21.98,21.98,21.98,0,0
20140108,TG-INDIA,Fonds,21.98,21.98,21.98,21.98,0,0
20140107,TG-INDIA,Fonds,21.88,21.88,21.88,21.88,0,0
20140106,TG-INDIA,Fonds,21.92,21.92,21.92,21.92,0,0
20140103,TG-INDIA,Fonds,22.02,22.02,22.02,22.02,0,0
20140102,TG-INDIA,Fonds,21.95,21.95,21.95,21.95,0,0
20131230,TG-INDIA,Fonds,22.44,22.44,22.44,22.44,0,0
