quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-EGUSA,Fonds,1879.45,1879.45,1879.45,1879.45,0,0
20160323,AI-EGUSA,Fonds,1930.02,1930.02,1930.02,1930.02,0,0
20160216,AI-EGUSA,Fonds,1838.93,1838.93,1838.93,1838.93,0,0
20151230,AI-EGUSA,Fonds,2102.67,2102.67,2102.67,2102.67,0,0
20141230,AI-EGUSA,Fonds,1759.74,1759.74,1759.74,1759.74,0,0
20140416,AI-EGUSA,Fonds,1270.50,1270.50,1270.50,1270.50,0,0
20140226,AI-EGUSA,Fonds,1303.97,1303.97,1303.97,1303.97,0,0
20130327,AI-EGUSA,Fonds,1050.31,1050.31,1050.31,1050.31,0,0
20130304,AI-EGUSA,Fonds,1004.71,1004.71,1004.71,1004.71,0,0
20130301,AI-EGUSA,Fonds,1010.02,1010.02,1010.02,1010.02,0,0
20130228,AI-EGUSA,Fonds,999.49,999.49,999.49,999.49,0,0
20130225,AI-EGUSA,Fonds,972.54,972.54,972.54,972.54,0,0
20130222,AI-EGUSA,Fonds,993.66,993.66,993.66,993.66,0,0
20130221,AI-EGUSA,Fonds,979.34,979.34,979.34,979.34,0,0
20130220,AI-EGUSA,Fonds,970.33,970.33,970.33,970.33,0,0
20130219,AI-EGUSA,Fonds,984.13,984.13,984.13,984.13,0,0
20130215,AI-EGUSA,Fonds,979.35,979.35,979.35,979.35,0,0
20130214,AI-EGUSA,Fonds,972.07,972.07,972.07,972.07,0,0
20130213,AI-EGUSA,Fonds,967.01,967.01,967.01,967.01,0,0
20130212,AI-EGUSA,Fonds,966.97,966.97,966.97,966.97,0,0
20130211,AI-EGUSA,Fonds,974.75,974.75,974.75,974.75,0,0
20130208,AI-EGUSA,Fonds,980.18,980.18,980.18,980.18,0,0
20130207,AI-EGUSA,Fonds,973.10,973.10,973.10,973.10,0,0
20130206,AI-EGUSA,Fonds,965.17,965.17,965.17,965.17,0,0
20130205,AI-EGUSA,Fonds,965.99,965.99,965.99,965.99,0,0
20130204,AI-EGUSA,Fonds,949.96,949.96,949.96,949.96,0,0
20130131,AI-EGUSA,Fonds,952.33,952.33,952.33,952.33,0,0
20130130,AI-EGUSA,Fonds,954.41,954.41,954.41,954.41,0,0
