quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-EGUSI,Fonds,1875.92,1875.92,1875.92,1875.92,0,0
20160323,AI-EGUSI,Fonds,1923.65,1923.65,1923.65,1923.65,0,0
20160216,AI-EGUSI,Fonds,1831.01,1831.01,1831.01,1831.01,0,0
20151230,AI-EGUSI,Fonds,2090.84,2090.84,2090.84,2090.84,0,0
20141230,AI-EGUSI,Fonds,1732.25,1732.25,1732.25,1732.25,0,0
20140416,AI-EGUSI,Fonds,124168.61,124168.61,124168.61,124168.61,0,0
20130327,AI-EGUSI,Fonds,101504.92,101504.92,101504.92,101504.92,0,0
20130304,AI-EGUSI,Fonds,97036.26,97036.26,97036.26,97036.26,0,0
20130301,AI-EGUSI,Fonds,97541.69,97541.69,97541.69,97541.69,0,0
20130228,AI-EGUSI,Fonds,96520.24,96520.24,96520.24,96520.24,0,0
20130225,AI-EGUSI,Fonds,93911.19,93911.19,93911.19,93911.19,0,0
20130222,AI-EGUSI,Fonds,95940.19,95940.19,95940.19,95940.19,0,0
20130221,AI-EGUSI,Fonds,94555.80,94555.80,94555.80,94555.80,0,0
20130220,AI-EGUSI,Fonds,93687.26,93687.26,93687.26,93687.26,0,0
20130219,AI-EGUSI,Fonds,95013.00,95013.00,95013.00,95013.00,0,0
20130215,AI-EGUSI,Fonds,94540.94,94540.94,94540.94,94540.94,0,0
20130214,AI-EGUSI,Fonds,93835.90,93835.90,93835.90,93835.90,0,0
20130213,AI-EGUSI,Fonds,93347.32,93347.32,93347.32,93347.32,0,0
20130212,AI-EGUSI,Fonds,93338.95,93338.95,93338.95,93338.95,0,0
20130211,AI-EGUSI,Fonds,94089.40,94089.40,94089.40,94089.40,0,0
20130208,AI-EGUSI,Fonds,94601.13,94601.13,94601.13,94601.13,0,0
20130207,AI-EGUSI,Fonds,93919.85,93919.85,93919.85,93919.85,0,0
20130206,AI-EGUSI,Fonds,93148.75,93148.75,93148.75,93148.75,0,0
20130205,AI-EGUSI,Fonds,93227.28,93227.28,93227.28,93227.28,0,0
20130204,AI-EGUSI,Fonds,91676.34,91676.34,91676.34,91676.34,0,0
20130131,AI-EGUSI,Fonds,91893.34,91893.34,91893.34,91893.34,0,0
20130130,AI-EGUSI,Fonds,92094.63,92094.63,92094.63,92094.63,0,0
20130129,AI-EGUSI,Fonds,92726.32,92726.32,92726.32,92726.32,0,0
20130128,AI-EGUSI,Fonds,93310.29,93310.29,93310.29,93310.29,0,0
20130125,AI-EGUSI,Fonds,93470.56,93470.56,93470.56,93470.56,0,0
20130124,AI-EGUSI,Fonds,93191.93,93191.93,93191.93,93191.93,0,0
20130123,AI-EGUSI,Fonds,93975.92,93975.92,93975.92,93975.92,0,0
20130122,AI-EGUSI,Fonds,94108.79,94108.79,94108.79,94108.79,0,0
20130118,AI-EGUSI,Fonds,94539.10,94539.10,94539.10,94539.10,0,0
20130117,AI-EGUSI,Fonds,93237.96,93237.96,93237.96,93237.96,0,0
20130116,AI-EGUSI,Fonds,92807.20,92807.20,92807.20,92807.20,0,0
20130115,AI-EGUSI,Fonds,92654.32,92654.32,92654.32,92654.32,0,0
20130114,AI-EGUSI,Fonds,91687.78,91687.78,91687.78,91687.78,0,0
20130111,AI-EGUSI,Fonds,92093.87,92093.87,92093.87,92093.87,0,0
20130110,AI-EGUSI,Fonds,92233.72,92233.72,92233.72,92233.72,0,0
20130109,AI-EGUSI,Fonds,92705.79,92705.79,92705.79,92705.79,0,0
20130108,AI-EGUSI,Fonds,92360.98,92360.98,92360.98,92360.98,0,0
20130107,AI-EGUSI,Fonds,92278.16,92278.16,92278.16,92278.16,0,0
20130104,AI-EGUSI,Fonds,92680.12,92680.12,92680.12,92680.12,0,0
20130103,AI-EGUSI,Fonds,91752.99,91752.99,91752.99,91752.99,0,0
20130102,AI-EGUSI,Fonds,91038.29,91038.29,91038.29,91038.29,0,0
20121231,AI-EGUSI,Fonds,89314.77,89314.77,89314.77,89314.77,0,0
20121228,AI-EGUSI,Fonds,87956.08,87956.08,87956.08,87956.08,0,0
20121227,AI-EGUSI,Fonds,88797.33,88797.33,88797.33,88797.33,0,0
20121221,AI-EGUSI,Fonds,89564.63,89564.63,89564.63,89564.63,0,0
20121220,AI-EGUSI,Fonds,90295.13,90295.13,90295.13,90295.13,0,0
20121219,AI-EGUSI,Fonds,89817.80,89817.80,89817.80,89817.80,0,0
20121218,AI-EGUSI,Fonds,91078.81,91078.81,91078.81,91078.81,0,0
20121217,AI-EGUSI,Fonds,90166.00,90166.00,90166.00,90166.00,0,0
20121214,AI-EGUSI,Fonds,89403.40,89403.40,89403.40,89403.40,0,0
20121213,AI-EGUSI,Fonds,89739.22,89739.22,89739.22,89739.22,0,0
20121212,AI-EGUSI,Fonds,90408.49,90408.49,90408.49,90408.49,0,0
20121211,AI-EGUSI,Fonds,90916.84,90916.84,90916.84,90916.84,0,0
20121207,AI-EGUSI,Fonds,90533.27,90533.27,90533.27,90533.27,0,0
20121206,AI-EGUSI,Fonds,89996.45,89996.45,89996.45,89996.45,0,0
20121205,AI-EGUSI,Fonds,89483.26,89483.26,89483.26,89483.26,0,0
20121204,AI-EGUSI,Fonds,89714.92,89714.92,89714.92,89714.92,0,0
20121203,AI-EGUSI,Fonds,90270.14,90270.14,90270.14,90270.14,0,0
20121130,AI-EGUSI,Fonds,91238.79,91238.79,91238.79,91238.79,0,0
20121129,AI-EGUSI,Fonds,91549.45,91549.45,91549.45,91549.45,0,0
20121128,AI-EGUSI,Fonds,91052.80,91052.80,91052.80,91052.80,0,0
20121127,AI-EGUSI,Fonds,90270.88,90270.88,90270.88,90270.88,0,0
20121126,AI-EGUSI,Fonds,89754.59,89754.59,89754.59,89754.59,0,0
20121123,AI-EGUSI,Fonds,89896.93,89896.93,89896.93,89896.93,0,0
20121121,AI-EGUSI,Fonds,89598.31,89598.31,89598.31,89598.31,0,0
20121120,AI-EGUSI,Fonds,89613.50,89613.50,89613.50,89613.50,0,0
20121119,AI-EGUSI,Fonds,89508.72,89508.72,89508.72,89508.72,0,0
20121116,AI-EGUSI,Fonds,88334.11,88334.11,88334.11,88334.11,0,0
20121115,AI-EGUSI,Fonds,87006.46,87006.46,87006.46,87006.46,0,0
20121114,AI-EGUSI,Fonds,87255.66,87255.66,87255.66,87255.66,0,0
20121113,AI-EGUSI,Fonds,88786.82,88786.82,88786.82,88786.82,0,0
20121112,AI-EGUSI,Fonds,88737.14,88737.14,88737.14,88737.14,0,0
20121109,AI-EGUSI,Fonds,88824.49,88824.49,88824.49,88824.49,0,0
20121108,AI-EGUSI,Fonds,88444.94,88444.94,88444.94,88444.94,0,0
20121107,AI-EGUSI,Fonds,90040.83,90040.83,90040.83,90040.83,0,0
20121106,AI-EGUSI,Fonds,91553.31,91553.31,91553.31,91553.31,0,0
20121105,AI-EGUSI,Fonds,91234.72,91234.72,91234.72,91234.72,0,0
20121102,AI-EGUSI,Fonds,90704.23,90704.23,90704.23,90704.23,0,0
20121031,AI-EGUSI,Fonds,90454.96,90454.96,90454.96,90454.96,0,0
20121026,AI-EGUSI,Fonds,91502.93,91502.93,91502.93,91502.93,0,0
20121025,AI-EGUSI,Fonds,91223.16,91223.16,91223.16,91223.16,0,0
20121024,AI-EGUSI,Fonds,90732.91,90732.91,90732.91,90732.91,0,0
20121023,AI-EGUSI,Fonds,91139.09,91139.09,91139.09,91139.09,0,0
20121022,AI-EGUSI,Fonds,91212.31,91212.31,91212.31,91212.31,0,0
20121019,AI-EGUSI,Fonds,90795.84,90795.84,90795.84,90795.84,0,0
20121018,AI-EGUSI,Fonds,91912.74,91912.74,91912.74,91912.74,0,0
20121017,AI-EGUSI,Fonds,92710.45,92710.45,92710.45,92710.45,0,0
20121016,AI-EGUSI,Fonds,93491.83,93491.83,93491.83,93491.83,0,0
20121015,AI-EGUSI,Fonds,93097.88,93097.88,93097.88,93097.88,0,0
20121012,AI-EGUSI,Fonds,92159.48,92159.48,92159.48,92159.48,0,0
20121011,AI-EGUSI,Fonds,91991.87,91991.87,91991.87,91991.87,0,0
20121010,AI-EGUSI,Fonds,92847.43,92847.43,92847.43,92847.43,0,0
20121009,AI-EGUSI,Fonds,93218.72,93218.72,93218.72,93218.72,0,0
20121008,AI-EGUSI,Fonds,94158.26,94158.26,94158.26,94158.26,0,0
