quote_date,paper,exch,open,high,low,close,volume,value
20140528,AI-RYSSL,Fonds,307.51,307.51,307.51,307.51,0,0
20140430,AI-RYSSL,Fonds,276.59,276.59,276.59,276.59,0,0
20130430,AI-RYSSL,Fonds,301.00,301.00,301.00,301.00,0,0
20130304,AI-RYSSL,Fonds,321.49,321.49,321.49,321.49,0,0
20130301,AI-RYSSL,Fonds,325.98,325.98,325.98,325.98,0,0
20130228,AI-RYSSL,Fonds,328.40,328.40,328.40,328.40,0,0
20130222,AI-RYSSL,Fonds,327.21,327.21,327.21,327.21,0,0
20130221,AI-RYSSL,Fonds,326.45,326.45,326.45,326.45,0,0
20130220,AI-RYSSL,Fonds,328.18,328.18,328.18,328.18,0,0
20130219,AI-RYSSL,Fonds,329.83,329.83,329.83,329.83,0,0
20130215,AI-RYSSL,Fonds,329.01,329.01,329.01,329.01,0,0
20130214,AI-RYSSL,Fonds,328.22,328.22,328.22,328.22,0,0
20130213,AI-RYSSL,Fonds,328.15,328.15,328.15,328.15,0,0
20130208,AI-RYSSL,Fonds,326.72,326.72,326.72,326.72,0,0
20130207,AI-RYSSL,Fonds,324.18,324.18,324.18,324.18,0,0
20130206,AI-RYSSL,Fonds,325.75,325.75,325.75,325.75,0,0
20130204,AI-RYSSL,Fonds,325.68,325.68,325.68,325.68,0,0
20130131,AI-RYSSL,Fonds,324.56,324.56,324.56,324.56,0,0
20130130,AI-RYSSL,Fonds,324.03,324.03,324.03,324.03,0,0
20130128,AI-RYSSL,Fonds,328.72,328.72,328.72,328.72,0,0
20130125,AI-RYSSL,Fonds,325.83,325.83,325.83,325.83,0,0
20130124,AI-RYSSL,Fonds,323.70,323.70,323.70,323.70,0,0
20130123,AI-RYSSL,Fonds,323.25,323.25,323.25,323.25,0,0
20130121,AI-RYSSL,Fonds,324.80,324.80,324.80,324.80,0,0
20130118,AI-RYSSL,Fonds,324.91,324.91,324.91,324.91,0,0
20130116,AI-RYSSL,Fonds,318.47,318.47,318.47,318.47,0,0
20130114,AI-RYSSL,Fonds,316.53,316.53,316.53,316.53,0,0
20130110,AI-RYSSL,Fonds,317.77,317.77,317.77,317.77,0,0
20130109,AI-RYSSL,Fonds,319.56,319.56,319.56,319.56,0,0
20130108,AI-RYSSL,Fonds,320.69,320.69,320.69,320.69,0,0
20121228,AI-RYSSL,Fonds,311.56,311.56,311.56,311.56,0,0
20121227,AI-RYSSL,Fonds,312.06,312.06,312.06,312.06,0,0
20121221,AI-RYSSL,Fonds,305.87,305.87,305.87,305.87,0,0
20121220,AI-RYSSL,Fonds,309.62,309.62,309.62,309.62,0,0
