quote_date,paper,exch,open,high,low,close,volume,value
20170504,DI-BARNE,Fonds,398.76,398.76,398.76,398.76,0,0
20170503,DI-BARNE,Fonds,401.41,401.41,401.41,401.41,0,0
20170502,DI-BARNE,Fonds,402.71,402.71,402.71,402.71,0,0
20170428,DI-BARNE,Fonds,398.66,398.66,398.66,398.66,0,0
20170427,DI-BARNE,Fonds,398.83,398.83,398.83,398.83,0,0
20170426,DI-BARNE,Fonds,396.97,396.97,396.97,396.97,0,0
20170425,DI-BARNE,Fonds,396.98,396.98,396.98,396.98,0,0
20170424,DI-BARNE,Fonds,392.91,392.91,392.91,392.91,0,0
20170421,DI-BARNE,Fonds,389.35,389.35,389.35,389.35,0,0
20170420,DI-BARNE,Fonds,390.06,390.06,390.06,390.06,0,0
20170419,DI-BARNE,Fonds,389.35,389.35,389.35,389.35,0,0
20170418,DI-BARNE,Fonds,390.35,390.35,390.35,390.35,0,0
20170412,DI-BARNE,Fonds,395.00,395.00,395.00,395.00,0,0
20170411,DI-BARNE,Fonds,393.24,393.24,393.24,393.24,0,0
20170410,DI-BARNE,Fonds,394.75,394.75,394.75,394.75,0,0
20170407,DI-BARNE,Fonds,393.88,393.88,393.88,393.88,0,0
20170406,DI-BARNE,Fonds,393.29,393.29,393.29,393.29,0,0
20170405,DI-BARNE,Fonds,392.76,392.76,392.76,392.76,0,0
20170404,DI-BARNE,Fonds,389.39,389.39,389.39,389.39,0,0
20170403,DI-BARNE,Fonds,390.78,390.78,390.78,390.78,0,0
20170331,DI-BARNE,Fonds,389.90,389.90,389.90,389.90,0,0
20170330,DI-BARNE,Fonds,391.82,391.82,391.82,391.82,0,0
20170329,DI-BARNE,Fonds,389.27,389.27,389.27,389.27,0,0
20170328,DI-BARNE,Fonds,388.96,388.96,388.96,388.96,0,0
20170327,DI-BARNE,Fonds,385.31,385.31,385.31,385.31,0,0
20170324,DI-BARNE,Fonds,392.31,392.31,392.31,392.31,0,0
20170323,DI-BARNE,Fonds,392.69,392.69,392.69,392.69,0,0
20170322,DI-BARNE,Fonds,391.71,391.71,391.71,391.71,0,0
20170321,DI-BARNE,Fonds,396.40,396.40,396.40,396.40,0,0
20170320,DI-BARNE,Fonds,396.97,396.97,396.97,396.97,0,0
20170317,DI-BARNE,Fonds,395.50,395.50,395.50,395.50,0,0
20170316,DI-BARNE,Fonds,396.27,396.27,396.27,396.27,0,0
20170315,DI-BARNE,Fonds,394.35,394.35,394.35,394.35,0,0
20170314,DI-BARNE,Fonds,392.60,392.60,392.60,392.60,0,0
20170313,DI-BARNE,Fonds,394.81,394.81,394.81,394.81,0,0
