quote_date,paper,exch,open,high,low,close,volume,value
20170504,DK-AKAKS,Fonds,255.59,255.59,255.59,255.59,0,0
20170503,DK-AKAKS,Fonds,254.59,254.59,254.59,254.59,0,0
20170502,DK-AKAKS,Fonds,254.61,254.61,254.61,254.61,0,0
20170428,DK-AKAKS,Fonds,252.18,252.18,252.18,252.18,0,0
20170427,DK-AKAKS,Fonds,252.95,252.95,252.95,252.95,0,0
20170426,DK-AKAKS,Fonds,252.69,252.69,252.69,252.69,0,0
20170425,DK-AKAKS,Fonds,251.70,251.70,251.70,251.70,0,0
20170424,DK-AKAKS,Fonds,249.84,249.84,249.84,249.84,0,0
20170421,DK-AKAKS,Fonds,248.77,248.77,248.77,248.77,0,0
20170420,DK-AKAKS,Fonds,247.91,247.91,247.91,247.91,0,0
20170419,DK-AKAKS,Fonds,245.90,245.90,245.90,245.90,0,0
20170418,DK-AKAKS,Fonds,245.10,245.10,245.10,245.10,0,0
20170412,DK-AKAKS,Fonds,247.80,247.80,247.80,247.80,0,0
20170411,DK-AKAKS,Fonds,248.07,248.07,248.07,248.07,0,0
20170410,DK-AKAKS,Fonds,249.22,249.22,249.22,249.22,0,0
20170407,DK-AKAKS,Fonds,249.11,249.11,249.11,249.11,0,0
20170406,DK-AKAKS,Fonds,248.74,248.74,248.74,248.74,0,0
20170405,DK-AKAKS,Fonds,248.16,248.16,248.16,248.16,0,0
20170404,DK-AKAKS,Fonds,248.15,248.15,248.15,248.15,0,0
20170403,DK-AKAKS,Fonds,248.28,248.28,248.28,248.28,0,0
20170331,DK-AKAKS,Fonds,248.39,248.39,248.39,248.39,0,0
20170330,DK-AKAKS,Fonds,248.00,248.00,248.00,248.00,0,0
20170329,DK-AKAKS,Fonds,246.58,246.58,246.58,246.58,0,0
20170328,DK-AKAKS,Fonds,245.78,245.78,245.78,245.78,0,0
20170327,DK-AKAKS,Fonds,243.72,243.72,243.72,243.72,0,0
20170324,DK-AKAKS,Fonds,245.14,245.14,245.14,245.14,0,0
20170323,DK-AKAKS,Fonds,245.00,245.00,245.00,245.00,0,0
20170322,DK-AKAKS,Fonds,244.31,244.31,244.31,244.31,0,0
20170321,DK-AKAKS,Fonds,245.51,245.51,245.51,245.51,0,0
20170320,DK-AKAKS,Fonds,247.07,247.07,247.07,247.07,0,0
20170317,DK-AKAKS,Fonds,247.33,247.33,247.33,247.33,0,0
20170316,DK-AKAKS,Fonds,248.76,248.76,248.76,248.76,0,0
20170315,DK-AKAKS,Fonds,248.85,248.85,248.85,248.85,0,0
20170314,DK-AKAKS,Fonds,247.68,247.68,247.68,247.68,0,0
20170313,DK-AKAKS,Fonds,247.60,247.60,247.60,247.60,0,0
20170310,DK-AKAKS,Fonds,248.27,248.27,248.27,248.27,0,0
20170309,DK-AKAKS,Fonds,245.96,245.96,245.96,245.96,0,0
20170308,DK-AKAKS,Fonds,244.22,244.22,244.22,244.22,0,0
20170307,DK-AKAKS,Fonds,243.74,243.74,243.74,243.74,0,0
20170306,DK-AKAKS,Fonds,244.40,244.40,244.40,244.40,0,0
20170303,DK-AKAKS,Fonds,244.76,244.76,244.76,244.76,0,0
20170302,DK-AKAKS,Fonds,245.13,245.13,245.13,245.13,0,0
20170301,DK-AKAKS,Fonds,244.14,244.14,244.14,244.14,0,0
20170228,DK-AKAKS,Fonds,240.84,240.84,240.84,240.84,0,0
20170227,DK-AKAKS,Fonds,240.62,240.62,240.62,240.62,0,0
20170224,DK-AKAKS,Fonds,240.29,240.29,240.29,240.29,0,0
20170223,DK-AKAKS,Fonds,241.13,241.13,241.13,241.13,0,0
20170222,DK-AKAKS,Fonds,241.80,241.80,241.80,241.80,0,0
20170221,DK-AKAKS,Fonds,241.86,241.86,241.86,241.86,0,0
20170217,DK-AKAKS,Fonds,239.32,239.32,239.32,239.32,0,0
20170216,DK-AKAKS,Fonds,239.83,239.83,239.83,239.83,0,0
20170215,DK-AKAKS,Fonds,240.61,240.61,240.61,240.61,0,0
20170214,DK-AKAKS,Fonds,241.32,241.32,241.32,241.32,0,0
20170213,DK-AKAKS,Fonds,240.37,240.37,240.37,240.37,0,0
20170210,DK-AKAKS,Fonds,239.20,239.20,239.20,239.20,0,0
20170209,DK-AKAKS,Fonds,237.38,237.38,237.38,237.38,0,0
20170208,DK-AKAKS,Fonds,235.68,235.68,235.68,235.68,0,0
20170207,DK-AKAKS,Fonds,235.90,235.90,235.90,235.90,0,0
20170206,DK-AKAKS,Fonds,235.40,235.40,235.40,235.40,0,0
20170203,DK-AKAKS,Fonds,235.01,235.01,235.01,235.01,0,0
20170202,DK-AKAKS,Fonds,233.58,233.58,233.58,233.58,0,0
20170201,DK-AKAKS,Fonds,234.82,234.82,234.82,234.82,0,0
20170131,DK-AKAKS,Fonds,233.80,233.80,233.80,233.80,0,0
20170130,DK-AKAKS,Fonds,235.60,235.60,235.60,235.60,0,0
20170127,DK-AKAKS,Fonds,237.81,237.81,237.81,237.81,0,0
20170126,DK-AKAKS,Fonds,238.81,238.81,238.81,238.81,0,0
20170125,DK-AKAKS,Fonds,238.06,238.06,238.06,238.06,0,0
20170124,DK-AKAKS,Fonds,235.97,235.97,235.97,235.97,0,0
20170123,DK-AKAKS,Fonds,235.69,235.69,235.69,235.69,0,0
20170120,DK-AKAKS,Fonds,237.51,237.51,237.51,237.51,0,0
20170119,DK-AKAKS,Fonds,237.67,237.67,237.67,237.67,0,0
20170118,DK-AKAKS,Fonds,237.62,237.62,237.62,237.62,0,0
20170117,DK-AKAKS,Fonds,237.68,237.68,237.68,237.68,0,0
20170113,DK-AKAKS,Fonds,239.72,239.72,239.72,239.72,0,0
20170112,DK-AKAKS,Fonds,238.93,238.93,238.93,238.93,0,0
20170111,DK-AKAKS,Fonds,241.27,241.27,241.27,241.27,0,0
20170110,DK-AKAKS,Fonds,239.73,239.73,239.73,239.73,0,0
20170109,DK-AKAKS,Fonds,238.60,238.60,238.60,238.60,0,0
20170106,DK-AKAKS,Fonds,238.75,238.75,238.75,238.75,0,0
20170105,DK-AKAKS,Fonds,238.76,238.76,238.76,238.76,0,0
20170104,DK-AKAKS,Fonds,239.68,239.68,239.68,239.68,0,0
20170103,DK-AKAKS,Fonds,239.68,239.68,239.68,239.68,0,0
20161230,DK-AKAKS,Fonds,236.79,236.79,236.79,236.79,0,0
20161229,DK-AKAKS,Fonds,237.87,237.87,237.87,237.87,0,0
20161228,DK-AKAKS,Fonds,239.18,239.18,239.18,239.18,0,0
20161227,DK-AKAKS,Fonds,239.03,239.03,239.03,239.03,0,0
20161223,DK-AKAKS,Fonds,238.03,238.03,238.03,238.03,0,0
20161222,DK-AKAKS,Fonds,237.76,237.76,237.76,237.76,0,0
20161221,DK-AKAKS,Fonds,237.29,237.29,237.29,237.29,0,0
20161220,DK-AKAKS,Fonds,238.24,238.24,238.24,238.24,0,0
20161219,DK-AKAKS,Fonds,237.22,237.22,237.22,237.22,0,0
20161216,DK-AKAKS,Fonds,238.00,238.00,238.00,238.00,0,0
20161215,DK-AKAKS,Fonds,237.00,237.00,237.00,237.00,0,0
20161214,DK-AKAKS,Fonds,234.07,234.07,234.07,234.07,0,0
20161213,DK-AKAKS,Fonds,234.03,234.03,234.03,234.03,0,0
20161212,DK-AKAKS,Fonds,233.62,233.62,233.62,233.62,0,0
20161209,DK-AKAKS,Fonds,235.00,235.00,235.00,235.00,0,0
20161208,DK-AKAKS,Fonds,232.51,232.51,232.51,232.51,0,0
20161207,DK-AKAKS,Fonds,229.59,229.59,229.59,229.59,0,0
20161206,DK-AKAKS,Fonds,227.41,227.41,227.41,227.41,0,0
20161205,DK-AKAKS,Fonds,226.85,226.85,226.85,226.85,0,0
20161202,DK-AKAKS,Fonds,225.69,225.69,225.69,225.69,0,0
20161201,DK-AKAKS,Fonds,227.27,227.27,227.27,227.27,0,0
20161130,DK-AKAKS,Fonds,228.23,228.23,228.23,228.23,0,0
20161129,DK-AKAKS,Fonds,227.57,227.57,227.57,227.57,0,0
20161128,DK-AKAKS,Fonds,228.21,228.21,228.21,228.21,0,0
20161125,DK-AKAKS,Fonds,229.27,229.27,229.27,229.27,0,0
20161123,DK-AKAKS,Fonds,229.18,229.18,229.18,229.18,0,0
20161122,DK-AKAKS,Fonds,227.85,227.85,227.85,227.85,0,0
20161121,DK-AKAKS,Fonds,227.68,227.68,227.68,227.68,0,0
20161118,DK-AKAKS,Fonds,227.29,227.29,227.29,227.29,0,0
20161117,DK-AKAKS,Fonds,226.09,226.09,226.09,226.09,0,0
20161116,DK-AKAKS,Fonds,225.04,225.04,225.04,225.04,0,0
20161115,DK-AKAKS,Fonds,224.11,224.11,224.11,224.11,0,0
20161114,DK-AKAKS,Fonds,223.73,223.73,223.73,223.73,0,0
20161111,DK-AKAKS,Fonds,222.66,222.66,222.66,222.66,0,0
20161110,DK-AKAKS,Fonds,224.02,224.02,224.02,224.02,0,0
20161109,DK-AKAKS,Fonds,221.50,221.50,221.50,221.50,0,0
20161108,DK-AKAKS,Fonds,219.14,219.14,219.14,219.14,0,0
20161107,DK-AKAKS,Fonds,218.76,218.76,218.76,218.76,0,0
20161104,DK-AKAKS,Fonds,214.36,214.36,214.36,214.36,0,0
20161103,DK-AKAKS,Fonds,215.05,215.05,215.05,215.05,0,0
20161102,DK-AKAKS,Fonds,216.10,216.10,216.10,216.10,0,0
20161101,DK-AKAKS,Fonds,218.91,218.91,218.91,218.91,0,0
20161031,DK-AKAKS,Fonds,220.37,220.37,220.37,220.37,0,0
20161028,DK-AKAKS,Fonds,221.25,221.25,221.25,221.25,0,0
20161027,DK-AKAKS,Fonds,221.42,221.42,221.42,221.42,0,0
20161026,DK-AKAKS,Fonds,221.52,221.52,221.52,221.52,0,0
20161025,DK-AKAKS,Fonds,223.14,223.14,223.14,223.14,0,0
20161024,DK-AKAKS,Fonds,222.64,222.64,222.64,222.64,0,0
20161021,DK-AKAKS,Fonds,222.60,222.60,222.60,222.60,0,0
20161020,DK-AKAKS,Fonds,221.68,221.68,221.68,221.68,0,0
20161019,DK-AKAKS,Fonds,220.56,220.56,220.56,220.56,0,0
20161018,DK-AKAKS,Fonds,220.11,220.11,220.11,220.11,0,0
20161017,DK-AKAKS,Fonds,219.19,219.19,219.19,219.19,0,0
20161014,DK-AKAKS,Fonds,220.77,220.77,220.77,220.77,0,0
20161013,DK-AKAKS,Fonds,220.15,220.15,220.15,220.15,0,0
20161012,DK-AKAKS,Fonds,221.64,221.64,221.64,221.64,0,0
20161011,DK-AKAKS,Fonds,221.49,221.49,221.49,221.49,0,0
20161010,DK-AKAKS,Fonds,221.57,221.57,221.57,221.57,0,0
20161007,DK-AKAKS,Fonds,220.54,220.54,220.54,220.54,0,0
20161006,DK-AKAKS,Fonds,220.66,220.66,220.66,220.66,0,0
20161005,DK-AKAKS,Fonds,220.13,220.13,220.13,220.13,0,0
20161004,DK-AKAKS,Fonds,218.92,218.92,218.92,218.92,0,0
20161003,DK-AKAKS,Fonds,217.57,217.57,217.57,217.57,0,0
20160930,DK-AKAKS,Fonds,217.60,217.60,217.60,217.60,0,0
20160929,DK-AKAKS,Fonds,217.89,217.89,217.89,217.89,0,0
