quote_date,paper,exch,open,high,low,close,volume,value
20120202,FI-LYEUR,Fonds,8.16,8.16,8.16,8.16,0,0
20120201,FI-LYEUR,Fonds,8.07,8.07,8.07,8.07,0,0
20120131,FI-LYEUR,Fonds,7.93,7.93,7.93,7.93,0,0
20120130,FI-LYEUR,Fonds,7.92,7.92,7.92,7.92,0,0
20120127,FI-LYEUR,Fonds,8.06,8.06,8.06,8.06,0,0
20120126,FI-LYEUR,Fonds,8.09,8.09,8.09,8.09,0,0
20120125,FI-LYEUR,Fonds,7.98,7.98,7.98,7.98,0,0
20120124,FI-LYEUR,Fonds,8.00,8.00,8.00,8.00,0,0
20120123,FI-LYEUR,Fonds,8.00,8.00,8.00,8.00,0,0
20120120,FI-LYEUR,Fonds,7.94,7.94,7.94,7.94,0,0
20120119,FI-LYEUR,Fonds,7.95,7.95,7.95,7.95,0,0
20120118,FI-LYEUR,Fonds,7.86,7.86,7.86,7.86,0,0
20120117,FI-LYEUR,Fonds,7.88,7.88,7.88,7.88,0,0
20120116,FI-LYEUR,Fonds,7.84,7.84,7.84,7.84,0,0
20120113,FI-LYEUR,Fonds,7.84,7.84,7.84,7.84,0,0
20120112,FI-LYEUR,Fonds,7.84,7.84,7.84,7.84,0,0
20120111,FI-LYEUR,Fonds,7.80,7.80,7.80,7.80,0,0
20120110,FI-LYEUR,Fonds,7.80,7.80,7.80,7.80,0,0
20120109,FI-LYEUR,Fonds,7.70,7.70,7.70,7.70,0,0
20120106,FI-LYEUR,Fonds,7.71,7.71,7.71,7.71,0,0
20120105,FI-LYEUR,Fonds,7.69,7.69,7.69,7.69,0,0
20120104,FI-LYEUR,Fonds,7.84,7.84,7.84,7.84,0,0
20120103,FI-LYEUR,Fonds,7.93,7.93,7.93,7.93,0,0
20120102,FI-LYEUR,Fonds,7.89,7.89,7.89,7.89,0,0
20111230,FI-LYEUR,Fonds,7.75,7.75,7.75,7.75,0,0
20111229,FI-LYEUR,Fonds,7.71,7.71,7.71,7.71,0,0
20111228,FI-LYEUR,Fonds,7.66,7.66,7.66,7.66,0,0
