quote_date,paper,exch,open,high,low,close,volume,value
20190103,OBX,Fonds,748.822493,748.822493,748.822493,748.822493,0,0
20190102,OBX,Fonds,742.034835,742.034835,742.034835,742.034835,0,0
20181228,OBX,Fonds,739.424992,739.424992,739.424992,739.424992,0,0
20181227,OBX,Fonds,726.332036,726.332036,726.332036,726.332036,0,0
20181221,OBX,Fonds,745.927412,745.927412,745.927412,745.927412,0,0
20181220,OBX,Fonds,746.554356,746.554356,746.554356,746.554356,0,0
20181219,OBX,Fonds,765.549203,765.549203,765.549203,765.549203,0,0
20181218,OBX,Fonds,756.321861,756.321861,756.321861,756.321861,0,0
20181217,OBX,Fonds,759.096586,759.096586,759.096586,759.096586,0,0
20181214,OBX,Fonds,768.560755,768.560755,768.560755,768.560755,0,0
20181213,OBX,Fonds,775.521677,775.521677,775.521677,775.521677,0,0
20181212,OBX,Fonds,781.476126,781.476126,781.476126,781.476126,0,0
20181211,OBX,Fonds,773.273991,773.273991,773.273991,773.273991,0,0
20181210,OBX,Fonds,763.22185,763.22185,763.22185,763.22185,0,0
20181207,OBX,Fonds,782.028664,782.028664,782.028664,782.028664,0,0
20181206,OBX,Fonds,764.603808,764.603808,764.603808,764.603808,0,0
20181205,OBX,Fonds,792.640938,792.640938,792.640938,792.640938,0,0
20181204,OBX,Fonds,803.92602,803.92602,803.92602,803.92602,0,0
20181203,OBX,Fonds,806.99232,806.99232,806.99232,806.99232,0,0
20181130,OBX,Fonds,790.907681,790.907681,790.907681,790.907681,0,0
20181129,OBX,Fonds,792.5194,792.5194,792.5194,792.5194,0,0
20181128,OBX,Fonds,786.871696,786.871696,786.871696,786.871696,0,0
20181127,OBX,Fonds,789.356369,789.356369,789.356369,789.356369,0,0
20181126,OBX,Fonds,787.102776,787.102776,787.102776,787.102776,0,0
20181123,OBX,Fonds,772.416758,772.416758,772.416758,772.416758,0,0
20181122,OBX,Fonds,784.379566,784.379566,784.379566,784.379566,0,0
20181121,OBX,Fonds,791.234847,791.234847,791.234847,791.234847,0,0
20181120,OBX,Fonds,777.35753,777.35753,777.35753,777.35753,0,0
20181119,OBX,Fonds,797.397227,797.397227,797.397227,797.397227,0,0
20181116,OBX,Fonds,804.766331,804.766331,804.766331,804.766331,0,0
20181115,OBX,Fonds,798.754212,798.754212,798.754212,798.754212,0,0
20181114,OBX,Fonds,804.391025,804.391025,804.391025,804.391025,0,0
20181113,OBX,Fonds,810.649381,810.649381,810.649381,810.649381,0,0
20181112,OBX,Fonds,822.433731,822.433731,822.433731,822.433731,0,0
20181109,OBX,Fonds,819.225875,819.225875,819.225875,819.225875,0,0
20181108,OBX,Fonds,824.596425,824.596425,824.596425,824.596425,0,0
