quote_date,paper,exch,open,high,low,close,volume,value
20181108,OD-ODUSC,Fonds,138.35,138.35,138.35,138.35,0,0
20181107,OD-ODUSC,Fonds,136.97,136.97,136.97,136.97,0,0
20181106,OD-ODUSC,Fonds,135.21,135.21,135.21,135.21,0,0
20181105,OD-ODUSC,Fonds,134.35,134.35,134.35,134.35,0,0
20181102,OD-ODUSC,Fonds,135.00,135.00,135.00,135.00,0,0
20181101,OD-ODUSC,Fonds,135.00,135.00,135.00,135.00,0,0
20181031,OD-ODUSC,Fonds,134.45,134.45,134.45,134.45,0,0
20181030,OD-ODUSC,Fonds,130.68,130.68,130.68,130.68,0,0
20181029,OD-ODUSC,Fonds,131.48,131.48,131.48,131.48,0,0
20181026,OD-ODUSC,Fonds,127.97,127.97,127.97,127.97,0,0
20181025,OD-ODUSC,Fonds,129.63,129.63,129.63,129.63,0,0
20181024,OD-ODUSC,Fonds,132.30,132.30,132.30,132.30,0,0
20181023,OD-ODUSC,Fonds,130.09,130.09,130.09,130.09,0,0
20181022,OD-ODUSC,Fonds,132.52,132.52,132.52,132.52,0,0
20181019,OD-ODUSC,Fonds,133.57,133.57,133.57,133.57,0,0
20181018,OD-ODUSC,Fonds,134.67,134.67,134.67,134.67,0,0
20181017,OD-ODUSC,Fonds,133.79,133.79,133.79,133.79,0,0
20181016,OD-ODUSC,Fonds,132.59,132.59,132.59,132.59,0,0
20181015,OD-ODUSC,Fonds,131.61,131.61,131.61,131.61,0,0
20181012,OD-ODUSC,Fonds,132.17,132.17,132.17,132.17,0,0
20181011,OD-ODUSC,Fonds,132.78,132.78,132.78,132.78,0,0
20181010,OD-ODUSC,Fonds,135.13,135.13,135.13,135.13,0,0
20181009,OD-ODUSC,Fonds,139.10,139.10,139.10,139.10,0,0
20181008,OD-ODUSC,Fonds,139.33,139.33,139.33,139.33,0,0
20181005,OD-ODUSC,Fonds,140.32,140.32,140.32,140.32,0,0
20181004,OD-ODUSC,Fonds,139.87,139.87,139.87,139.87,0,0
20181003,OD-ODUSC,Fonds,140.89,140.89,140.89,140.89,0,0
20181002,OD-ODUSC,Fonds,140.47,140.47,140.47,140.47,0,0
20181001,OD-ODUSC,Fonds,141.74,141.74,141.74,141.74,0,0
20180928,OD-ODUSC,Fonds,140.92,140.92,140.92,140.92,0,0
20180927,OD-ODUSC,Fonds,141.03,141.03,141.03,141.03,0,0
20180926,OD-ODUSC,Fonds,141.02,141.02,141.02,141.02,0,0
20180925,OD-ODUSC,Fonds,141.12,141.12,141.12,141.12,0,0
20180924,OD-ODUSC,Fonds,141.13,141.13,141.13,141.13,0,0
20180921,OD-ODUSC,Fonds,142.76,142.76,142.76,142.76,0,0
20180920,OD-ODUSC,Fonds,143.09,143.09,143.09,143.09,0,0
20180919,OD-ODUSC,Fonds,142.15,142.15,142.15,142.15,0,0
20180918,OD-ODUSC,Fonds,141.42,141.42,141.42,141.42,0,0
20180917,OD-ODUSC,Fonds,142.12,142.12,142.12,142.12,0,0
20180914,OD-ODUSC,Fonds,143.97,143.97,143.97,143.97,0,0
20180913,OD-ODUSC,Fonds,142.96,142.96,142.96,142.96,0,0
20180912,OD-ODUSC,Fonds,142.73,142.73,142.73,142.73,0,0
20180911,OD-ODUSC,Fonds,144.61,144.61,144.61,144.61,0,0
20180910,OD-ODUSC,Fonds,145.20,145.20,145.20,145.20,0,0
20180907,OD-ODUSC,Fonds,145.64,145.64,145.64,145.64,0,0
20180906,OD-ODUSC,Fonds,144.73,144.73,144.73,144.73,0,0
20180905,OD-ODUSC,Fonds,144.21,144.21,144.21,144.21,0,0
20180904,OD-ODUSC,Fonds,145.18,145.18,145.18,145.18,0,0
20180831,OD-ODUSC,Fonds,144.63,144.63,144.63,144.63,0,0
20180830,OD-ODUSC,Fonds,144.77,144.77,144.77,144.77,0,0
20180829,OD-ODUSC,Fonds,145.11,145.11,145.11,145.11,0,0
20180828,OD-ODUSC,Fonds,144.48,144.48,144.48,144.48,0,0
20180827,OD-ODUSC,Fonds,144.15,144.15,144.15,144.15,0,0
20180824,OD-ODUSC,Fonds,143.33,143.33,143.33,143.33,0,0
20180823,OD-ODUSC,Fonds,143.61,143.61,143.61,143.61,0,0
20180822,OD-ODUSC,Fonds,143.47,143.47,143.47,143.47,0,0
20180821,OD-ODUSC,Fonds,144.70,144.70,144.70,144.70,0,0
20180820,OD-ODUSC,Fonds,144.39,144.39,144.39,144.39,0,0
20180817,OD-ODUSC,Fonds,143.75,143.75,143.75,143.75,0,0
20180816,OD-ODUSC,Fonds,143.53,143.53,143.53,143.53,0,0
20180815,OD-ODUSC,Fonds,142.22,142.22,142.22,142.22,0,0
20180814,OD-ODUSC,Fonds,141.72,141.72,141.72,141.72,0,0
20180813,OD-ODUSC,Fonds,142.07,142.07,142.07,142.07,0,0
20180810,OD-ODUSC,Fonds,141.67,141.67,141.67,141.67,0,0
20180809,OD-ODUSC,Fonds,141.76,141.76,141.76,141.76,0,0
20180808,OD-ODUSC,Fonds,141.07,141.07,141.07,141.07,0,0
20180807,OD-ODUSC,Fonds,141.28,141.28,141.28,141.28,0,0
20180806,OD-ODUSC,Fonds,141.14,141.14,141.14,141.14,0,0
20180803,OD-ODUSC,Fonds,140.11,140.11,140.11,140.11,0,0
20180802,OD-ODUSC,Fonds,138.78,138.78,138.78,138.78,0,0
20180801,OD-ODUSC,Fonds,138.92,138.92,138.92,138.92,0,0
20180731,OD-ODUSC,Fonds,138.16,138.16,138.16,138.16,0,0
20180730,OD-ODUSC,Fonds,138.31,138.31,138.31,138.31,0,0
