quote_date,paper,exch,open,high,low,close,volume,value
20170504,SK-GRONT,Fonds,1379.89,1379.89,1379.89,1379.89,0,0
20170503,SK-GRONT,Fonds,1368.98,1368.98,1368.98,1368.98,0,0
20170502,SK-GRONT,Fonds,1364.75,1364.75,1364.75,1364.75,0,0
20170428,SK-GRONT,Fonds,1344.18,1344.18,1344.18,1344.18,0,0
20170427,SK-GRONT,Fonds,1342.25,1342.25,1342.25,1342.25,0,0
20170426,SK-GRONT,Fonds,1342.14,1342.14,1342.14,1342.14,0,0
20170425,SK-GRONT,Fonds,1335.28,1335.28,1335.28,1335.28,0,0
20170424,SK-GRONT,Fonds,1316.16,1316.16,1316.16,1316.16,0,0
20170421,SK-GRONT,Fonds,1292.22,1292.22,1292.22,1292.22,0,0
20170420,SK-GRONT,Fonds,1293.73,1293.73,1293.73,1293.73,0,0
20170419,SK-GRONT,Fonds,1279.93,1279.93,1279.93,1279.93,0,0
20170418,SK-GRONT,Fonds,1268.75,1268.75,1268.75,1268.75,0,0
20170412,SK-GRONT,Fonds,1283.77,1283.77,1283.77,1283.77,0,0
20170411,SK-GRONT,Fonds,1278.03,1278.03,1278.03,1278.03,0,0
20170410,SK-GRONT,Fonds,1281.79,1281.79,1281.79,1281.79,0,0
20170407,SK-GRONT,Fonds,1279.90,1279.90,1279.90,1279.90,0,0
20170406,SK-GRONT,Fonds,1280.44,1280.44,1280.44,1280.44,0,0
20170405,SK-GRONT,Fonds,1276.50,1276.50,1276.50,1276.50,0,0
20170404,SK-GRONT,Fonds,1277.94,1277.94,1277.94,1277.94,0,0
20170403,SK-GRONT,Fonds,1274.58,1274.58,1274.58,1274.58,0,0
20170331,SK-GRONT,Fonds,1284.41,1284.41,1284.41,1284.41,0,0
20170330,SK-GRONT,Fonds,1277.28,1277.28,1277.28,1277.28,0,0
20170329,SK-GRONT,Fonds,1272.69,1272.69,1272.69,1272.69,0,0
20170328,SK-GRONT,Fonds,1277.92,1277.92,1277.92,1277.92,0,0
20170327,SK-GRONT,Fonds,1272.02,1272.02,1272.02,1272.02,0,0
20170324,SK-GRONT,Fonds,1276.22,1276.22,1276.22,1276.22,0,0
20170323,SK-GRONT,Fonds,1273.00,1273.00,1273.00,1273.00,0,0
20170322,SK-GRONT,Fonds,1261.13,1261.13,1261.13,1261.13,0,0
20170321,SK-GRONT,Fonds,1271.36,1271.36,1271.36,1271.36,0,0
20170320,SK-GRONT,Fonds,1279.42,1279.42,1279.42,1279.42,0,0
20170317,SK-GRONT,Fonds,1278.99,1278.99,1278.99,1278.99,0,0
20170316,SK-GRONT,Fonds,1282.49,1282.49,1282.49,1282.49,0,0
20170315,SK-GRONT,Fonds,1273.77,1273.77,1273.77,1273.77,0,0
20170314,SK-GRONT,Fonds,1273.59,1273.59,1273.59,1273.59,0,0
20170313,SK-GRONT,Fonds,1270.72,1270.72,1270.72,1270.72,0,0
20170310,SK-GRONT,Fonds,1270.20,1270.20,1270.20,1270.20,0,0
20170309,SK-GRONT,Fonds,1254.76,1254.76,1254.76,1254.76,0,0
20170308,SK-GRONT,Fonds,1240.42,1240.42,1240.42,1240.42,0,0
20170307,SK-GRONT,Fonds,1240.09,1240.09,1240.09,1240.09,0,0
20170306,SK-GRONT,Fonds,1244.38,1244.38,1244.38,1244.38,0,0
20170303,SK-GRONT,Fonds,1245.32,1245.32,1245.32,1245.32,0,0
20170302,SK-GRONT,Fonds,1245.23,1245.23,1245.23,1245.23,0,0
20170301,SK-GRONT,Fonds,1240.67,1240.67,1240.67,1240.67,0,0
20170228,SK-GRONT,Fonds,1228.11,1228.11,1228.11,1228.11,0,0
20170227,SK-GRONT,Fonds,1221.88,1221.88,1221.88,1221.88,0,0
20170224,SK-GRONT,Fonds,1220.30,1220.30,1220.30,1220.30,0,0
20170223,SK-GRONT,Fonds,1230.93,1230.93,1230.93,1230.93,0,0
20170222,SK-GRONT,Fonds,1230.90,1230.90,1230.90,1230.90,0,0
20170221,SK-GRONT,Fonds,1231.51,1231.51,1231.51,1231.51,0,0
20170220,SK-GRONT,Fonds,1221.36,1221.36,1221.36,1221.36,0,0
20170217,SK-GRONT,Fonds,1221.84,1221.84,1221.84,1221.84,0,0
20170216,SK-GRONT,Fonds,1228.39,1228.39,1228.39,1228.39,0,0
20170215,SK-GRONT,Fonds,1221.48,1221.48,1221.48,1221.48,0,0
20170214,SK-GRONT,Fonds,1223.32,1223.32,1223.32,1223.32,0,0
20170213,SK-GRONT,Fonds,1221.44,1221.44,1221.44,1221.44,0,0
20170210,SK-GRONT,Fonds,1215.44,1215.44,1215.44,1215.44,0,0
20170209,SK-GRONT,Fonds,1207.65,1207.65,1207.65,1207.65,0,0
20170208,SK-GRONT,Fonds,1200.10,1200.10,1200.10,1200.10,0,0
20170207,SK-GRONT,Fonds,1200.59,1200.59,1200.59,1200.59,0,0
20170206,SK-GRONT,Fonds,1195.63,1195.63,1195.63,1195.63,0,0
20170203,SK-GRONT,Fonds,1202.65,1202.65,1202.65,1202.65,0,0
20170202,SK-GRONT,Fonds,1205.18,1205.18,1205.18,1205.18,0,0
20170201,SK-GRONT,Fonds,1206.36,1206.36,1206.36,1206.36,0,0
20170131,SK-GRONT,Fonds,1197.02,1197.02,1197.02,1197.02,0,0
20170130,SK-GRONT,Fonds,1199.36,1199.36,1199.36,1199.36,0,0
20170127,SK-GRONT,Fonds,1208.17,1208.17,1208.17,1208.17,0,0
20170126,SK-GRONT,Fonds,1210.19,1210.19,1210.19,1210.19,0,0
20170125,SK-GRONT,Fonds,1203.66,1203.66,1203.66,1203.66,0,0
20170124,SK-GRONT,Fonds,1191.58,1191.58,1191.58,1191.58,0,0
20170123,SK-GRONT,Fonds,1192.44,1192.44,1192.44,1192.44,0,0
20170120,SK-GRONT,Fonds,1204.18,1204.18,1204.18,1204.18,0,0
20170119,SK-GRONT,Fonds,1198.96,1198.96,1198.96,1198.96,0,0
20170118,SK-GRONT,Fonds,1200.08,1200.08,1200.08,1200.08,0,0
20170117,SK-GRONT,Fonds,1196.96,1196.96,1196.96,1196.96,0,0
20170116,SK-GRONT,Fonds,1203.72,1203.72,1203.72,1203.72,0,0
20170113,SK-GRONT,Fonds,1207.87,1207.87,1207.87,1207.87,0,0
20170112,SK-GRONT,Fonds,1195.83,1195.83,1195.83,1195.83,0,0
20170111,SK-GRONT,Fonds,1203.05,1203.05,1203.05,1203.05,0,0
20170110,SK-GRONT,Fonds,1202.34,1202.34,1202.34,1202.34,0,0
20170109,SK-GRONT,Fonds,1195.98,1195.98,1195.98,1195.98,0,0
20170105,SK-GRONT,Fonds,1197.64,1197.64,1197.64,1197.64,0,0
20170104,SK-GRONT,Fonds,1196.54,1196.54,1196.54,1196.54,0,0
20170103,SK-GRONT,Fonds,1198.92,1198.92,1198.92,1198.92,0,0
20170102,SK-GRONT,Fonds,1205.96,1205.96,1205.96,1205.96,0,0
20161230,SK-GRONT,Fonds,1192.00,1192.00,1192.00,1192.00,0,0
20161229,SK-GRONT,Fonds,1193.78,1193.78,1193.78,1193.78,0,0
20161228,SK-GRONT,Fonds,1193.16,1193.16,1193.16,1193.16,0,0
20161227,SK-GRONT,Fonds,1192.65,1192.65,1192.65,1192.65,0,0
20161223,SK-GRONT,Fonds,1185.86,1185.86,1185.86,1185.86,0,0
20161222,SK-GRONT,Fonds,1180.43,1180.43,1180.43,1180.43,0,0
20161221,SK-GRONT,Fonds,1174.91,1174.91,1174.91,1174.91,0,0
20161220,SK-GRONT,Fonds,1171.38,1171.38,1171.38,1171.38,0,0
20161219,SK-GRONT,Fonds,1173.49,1173.49,1173.49,1173.49,0,0
20161216,SK-GRONT,Fonds,1175.66,1175.66,1175.66,1175.66,0,0
20161215,SK-GRONT,Fonds,1171.55,1171.55,1171.55,1171.55,0,0
20161214,SK-GRONT,Fonds,1161.69,1161.69,1161.69,1161.69,0,0
20161213,SK-GRONT,Fonds,1161.69,1161.69,1161.69,1161.69,0,0
20161212,SK-GRONT,Fonds,1152.17,1152.17,1152.17,1152.17,0,0
20161209,SK-GRONT,Fonds,1160.97,1160.97,1160.97,1160.97,0,0
20161208,SK-GRONT,Fonds,1148.34,1148.34,1148.34,1148.34,0,0
20161207,SK-GRONT,Fonds,1141.65,1141.65,1141.65,1141.65,0,0
20161206,SK-GRONT,Fonds,1131.82,1131.82,1131.82,1131.82,0,0
20161205,SK-GRONT,Fonds,1127.49,1127.49,1127.49,1127.49,0,0
20161202,SK-GRONT,Fonds,1118.39,1118.39,1118.39,1118.39,0,0
20161201,SK-GRONT,Fonds,1121.40,1121.40,1121.40,1121.40,0,0
20161130,SK-GRONT,Fonds,1135.07,1135.07,1135.07,1135.07,0,0
20161129,SK-GRONT,Fonds,1136.22,1136.22,1136.22,1136.22,0,0
20161128,SK-GRONT,Fonds,1138.01,1138.01,1138.01,1138.01,0,0
20161125,SK-GRONT,Fonds,1142.87,1142.87,1142.87,1142.87,0,0
20161124,SK-GRONT,Fonds,1134.14,1134.14,1134.14,1134.14,0,0
20161123,SK-GRONT,Fonds,1129.69,1129.69,1129.69,1129.69,0,0
20161122,SK-GRONT,Fonds,1127.02,1127.02,1127.02,1127.02,0,0
20161121,SK-GRONT,Fonds,1128.31,1128.31,1128.31,1128.31,0,0
20161118,SK-GRONT,Fonds,1129.23,1129.23,1129.23,1129.23,0,0
20161117,SK-GRONT,Fonds,1120.30,1120.30,1120.30,1120.30,0,0
20161116,SK-GRONT,Fonds,1112.18,1112.18,1112.18,1112.18,0,0
20161115,SK-GRONT,Fonds,1112.65,1112.65,1112.65,1112.65,0,0
20161114,SK-GRONT,Fonds,1109.38,1109.38,1109.38,1109.38,0,0
20161111,SK-GRONT,Fonds,1110.25,1110.25,1110.25,1110.25,0,0
20161110,SK-GRONT,Fonds,1112.48,1112.48,1112.48,1112.48,0,0
20161109,SK-GRONT,Fonds,1106.93,1106.93,1106.93,1106.93,0,0
20161108,SK-GRONT,Fonds,1101.36,1101.36,1101.36,1101.36,0,0
20161107,SK-GRONT,Fonds,1107.24,1107.24,1107.24,1107.24,0,0
