quote_date,paper,exch,open,high,low,close,volume,value
20180921,SP-DGVAL,Fonds,1121.5524,1121.5524,1121.5524,1121.5524,0,0
20180920,SP-DGVAL,Fonds,1122.4207,1122.4207,1122.4207,1122.4207,0,0
20180919,SP-DGVAL,Fonds,1114.6049,1114.6049,1114.6049,1114.6049,0,0
20180918,SP-DGVAL,Fonds,1114.1735,1114.1735,1114.1735,1114.1735,0,0
20180917,SP-DGVAL,Fonds,1107.3743,1107.3743,1107.3743,1107.3743,0,0
20180914,SP-DGVAL,Fonds,1113.5797,1113.5797,1113.5797,1113.5797,0,0
20180913,SP-DGVAL,Fonds,1109.9853,1109.9853,1109.9853,1109.9853,0,0
20180912,SP-DGVAL,Fonds,1108.0158,1108.0158,1108.0158,1108.0158,0,0
20180911,SP-DGVAL,Fonds,1102.5952,1102.5952,1102.5952,1102.5952,0,0
20180910,SP-DGVAL,Fonds,1097.3455,1097.3455,1097.3455,1097.3455,0,0
20180907,SP-DGVAL,Fonds,1095.3221,1095.3221,1095.3221,1095.3221,0,0
20180906,SP-DGVAL,Fonds,1096.6152,1096.6152,1096.6152,1096.6152,0,0
20180905,SP-DGVAL,Fonds,1101.8266,1101.8266,1101.8266,1101.8266,0,0
20180904,SP-DGVAL,Fonds,1114.4601,1114.4601,1114.4601,1114.4601,0,0
20180903,SP-DGVAL,Fonds,1118.6331,1118.6331,1118.6331,1118.6331,0,0
20180831,SP-DGVAL,Fonds,1118.1531,1118.1531,1118.1531,1118.1531,0,0
20180830,SP-DGVAL,Fonds,1119.6701,1119.6701,1119.6701,1119.6701,0,0
20180829,SP-DGVAL,Fonds,1124.6316,1124.6316,1124.6316,1124.6316,0,0
20180828,SP-DGVAL,Fonds,1119.1893,1119.1893,1119.1893,1119.1893,0,0
20180827,SP-DGVAL,Fonds,1116.4803,1116.4803,1116.4803,1116.4803,0,0
20180824,SP-DGVAL,Fonds,1109.8203,1109.8203,1109.8203,1109.8203,0,0
20180823,SP-DGVAL,Fonds,1104.3749,1104.3749,1104.3749,1104.3749,0,0
20180822,SP-DGVAL,Fonds,1102.8933,1102.8933,1102.8933,1102.8933,0,0
20180821,SP-DGVAL,Fonds,1103.6439,1103.6439,1103.6439,1103.6439,0,0
20180820,SP-DGVAL,Fonds,1096.3067,1096.3067,1096.3067,1096.3067,0,0
20180817,SP-DGVAL,Fonds,1089.1563,1089.1563,1089.1563,1089.1563,0,0
20180816,SP-DGVAL,Fonds,1088.6058,1088.6058,1088.6058,1088.6058,0,0
20180815,SP-DGVAL,Fonds,1087.5779,1087.5779,1087.5779,1087.5779,0,0
20180814,SP-DGVAL,Fonds,1101.3346,1101.3346,1101.3346,1101.3346,0,0
20180813,SP-DGVAL,Fonds,1107.5365,1107.5365,1107.5365,1107.5365,0,0
20180810,SP-DGVAL,Fonds,1110.5301,1110.5301,1110.5301,1110.5301,0,0
20180809,SP-DGVAL,Fonds,1116.7596,1116.7596,1116.7596,1116.7596,0,0
20180808,SP-DGVAL,Fonds,1117.2856,1117.2856,1117.2856,1117.2856,0,0
20180807,SP-DGVAL,Fonds,1119.5407,1119.5407,1119.5407,1119.5407,0,0
20180806,SP-DGVAL,Fonds,1111.571,1111.571,1111.571,1111.571,0,0
20180803,SP-DGVAL,Fonds,1107.8471,1107.8471,1107.8471,1107.8471,0,0
20180802,SP-DGVAL,Fonds,1102.4442,1102.4442,1102.4442,1102.4442,0,0
20180801,SP-DGVAL,Fonds,1105.7528,1105.7528,1105.7528,1105.7528,0,0
20180731,SP-DGVAL,Fonds,1105.6058,1105.6058,1105.6058,1105.6058,0,0
20180730,SP-DGVAL,Fonds,1105.9771,1105.9771,1105.9771,1105.9771,0,0
20180727,SP-DGVAL,Fonds,1112.4365,1112.4365,1112.4365,1112.4365,0,0
20180726,SP-DGVAL,Fonds,1112.2204,1112.2204,1112.2204,1112.2204,0,0
20180725,SP-DGVAL,Fonds,1108.6357,1108.6357,1108.6357,1108.6357,0,0
20180724,SP-DGVAL,Fonds,1111.5916,1111.5916,1111.5916,1111.5916,0,0
20180723,SP-DGVAL,Fonds,1098.9636,1098.9636,1098.9636,1098.9636,0,0
20180720,SP-DGVAL,Fonds,1102.7406,1102.7406,1102.7406,1102.7406,0,0
20180719,SP-DGVAL,Fonds,1107.8826,1107.8826,1107.8826,1107.8826,0,0
20180718,SP-DGVAL,Fonds,1111.2664,1111.2664,1111.2664,1111.2664,0,0
20180717,SP-DGVAL,Fonds,1099.5636,1099.5636,1099.5636,1099.5636,0,0
20180716,SP-DGVAL,Fonds,1100.8854,1100.8854,1100.8854,1100.8854,0,0
20180713,SP-DGVAL,Fonds,1104.512,1104.512,1104.512,1104.512,0,0
20180712,SP-DGVAL,Fonds,1104.7976,1104.7976,1104.7976,1104.7976,0,0
20180711,SP-DGVAL,Fonds,1098.5673,1098.5673,1098.5673,1098.5673,0,0
20180710,SP-DGVAL,Fonds,1111.6588,1111.6588,1111.6588,1111.6588,0,0
20180709,SP-DGVAL,Fonds,1102.1425,1102.1425,1102.1425,1102.1425,0,0
