quote_date,paper,exch,open,high,low,close,volume,value
20180921,SP-SGESG,Fonds,1162.8976,1162.8976,1162.8976,1162.8976,0,0
20180920,SP-SGESG,Fonds,1164.0403,1164.0403,1164.0403,1164.0403,0,0
20180919,SP-SGESG,Fonds,1153.6475,1153.6475,1153.6475,1153.6475,0,0
20180918,SP-SGESG,Fonds,1150.2369,1150.2369,1150.2369,1150.2369,0,0
20180917,SP-SGESG,Fonds,1147.6171,1147.6171,1147.6171,1147.6171,0,0
20180914,SP-SGESG,Fonds,1160.4139,1160.4139,1160.4139,1160.4139,0,0
20180913,SP-SGESG,Fonds,1156.3228,1156.3228,1156.3228,1156.3228,0,0
20180912,SP-SGESG,Fonds,1153.4902,1153.4902,1153.4902,1153.4902,0,0
20180911,SP-SGESG,Fonds,1164.8165,1164.8165,1164.8165,1164.8165,0,0
20180910,SP-SGESG,Fonds,1165.7944,1165.7944,1165.7944,1165.7944,0,0
20180907,SP-SGESG,Fonds,1169.8405,1169.8405,1169.8405,1169.8405,0,0
20180906,SP-SGESG,Fonds,1171.3774,1171.3774,1171.3774,1171.3774,0,0
20180905,SP-SGESG,Fonds,1174.6502,1174.6502,1174.6502,1174.6502,0,0
20180904,SP-SGESG,Fonds,1181.3243,1181.3243,1181.3243,1181.3243,0,0
20180903,SP-SGESG,Fonds,1177.5619,1177.5619,1177.5619,1177.5619,0,0
20180831,SP-SGESG,Fonds,1180.9278,1180.9278,1180.9278,1180.9278,0,0
20180830,SP-SGESG,Fonds,1179.5604,1179.5604,1179.5604,1179.5604,0,0
20180829,SP-SGESG,Fonds,1187.1476,1187.1476,1187.1476,1187.1476,0,0
20180828,SP-SGESG,Fonds,1179.7081,1179.7081,1179.7081,1179.7081,0,0
20180827,SP-SGESG,Fonds,1176.5543,1176.5543,1176.5543,1176.5543,0,0
20180824,SP-SGESG,Fonds,1167.7899,1167.7899,1167.7899,1167.7899,0,0
20180823,SP-SGESG,Fonds,1164.4421,1164.4421,1164.4421,1164.4421,0,0
20180822,SP-SGESG,Fonds,1168.0869,1168.0869,1168.0869,1168.0869,0,0
20180821,SP-SGESG,Fonds,1175.9115,1175.9115,1175.9115,1175.9115,0,0
20180820,SP-SGESG,Fonds,1178.628,1178.628,1178.628,1178.628,0,0
20180817,SP-SGESG,Fonds,1173.5828,1173.5828,1173.5828,1173.5828,0,0
20180816,SP-SGESG,Fonds,1167.1828,1167.1828,1167.1828,1167.1828,0,0
20180815,SP-SGESG,Fonds,1162.6149,1162.6149,1162.6149,1162.6149,0,0
20180814,SP-SGESG,Fonds,1159.9778,1159.9778,1159.9778,1159.9778,0,0
20180813,SP-SGESG,Fonds,1152.3876,1152.3876,1152.3876,1152.3876,0,0
20180810,SP-SGESG,Fonds,1155.3113,1155.3113,1155.3113,1155.3113,0,0
20180809,SP-SGESG,Fonds,1158.5728,1158.5728,1158.5728,1158.5728,0,0
20180808,SP-SGESG,Fonds,1153.249,1153.249,1153.249,1153.249,0,0
20180807,SP-SGESG,Fonds,1150.8423,1150.8423,1150.8423,1150.8423,0,0
20180806,SP-SGESG,Fonds,1152.0131,1152.0131,1152.0131,1152.0131,0,0
20180803,SP-SGESG,Fonds,1150.0036,1150.0036,1150.0036,1150.0036,0,0
20180802,SP-SGESG,Fonds,1144.0804,1144.0804,1144.0804,1144.0804,0,0
20180801,SP-SGESG,Fonds,1136.0333,1136.0333,1136.0333,1136.0333,0,0
20180731,SP-SGESG,Fonds,1134.3287,1134.3287,1134.3287,1134.3287,0,0
20180730,SP-SGESG,Fonds,1130.1287,1130.1287,1130.1287,1130.1287,0,0
20180727,SP-SGESG,Fonds,1140.4984,1140.4984,1140.4984,1140.4984,0,0
20180726,SP-SGESG,Fonds,1143.3924,1143.3924,1143.3924,1143.3924,0,0
20180725,SP-SGESG,Fonds,1144.8592,1144.8592,1144.8592,1144.8592,0,0
20180724,SP-SGESG,Fonds,1136.0901,1136.0901,1136.0901,1136.0901,0,0
20180723,SP-SGESG,Fonds,1131.7765,1131.7765,1131.7765,1131.7765,0,0
20180720,SP-SGESG,Fonds,1133.4372,1133.4372,1133.4372,1133.4372,0,0
20180719,SP-SGESG,Fonds,1138.6898,1138.6898,1138.6898,1138.6898,0,0
20180718,SP-SGESG,Fonds,1132.1124,1132.1124,1132.1124,1132.1124,0,0
20180717,SP-SGESG,Fonds,1123.608,1123.608,1123.608,1123.608,0,0
20180716,SP-SGESG,Fonds,1118.7224,1118.7224,1118.7224,1118.7224,0,0
20180713,SP-SGESG,Fonds,1121.9892,1121.9892,1121.9892,1121.9892,0,0
20180712,SP-SGESG,Fonds,1115.5217,1115.5217,1115.5217,1115.5217,0,0
20180711,SP-SGESG,Fonds,1100.6449,1100.6449,1100.6449,1100.6449,0,0
20180710,SP-SGESG,Fonds,1109.8544,1109.8544,1109.8544,1109.8544,0,0
20180709,SP-SGESG,Fonds,1102.7787,1102.7787,1102.7787,1102.7787,0,0
20180706,SP-SGESG,Fonds,1096.6803,1096.6803,1096.6803,1096.6803,0,0
20180705,SP-SGESG,Fonds,1090.4349,1090.4349,1090.4349,1090.4349,0,0
20180704,SP-SGESG,Fonds,1090.7659,1090.7659,1090.7659,1090.7659,0,0
20180703,SP-SGESG,Fonds,1094.4078,1094.4078,1094.4078,1094.4078,0,0
20180702,SP-SGESG,Fonds,1101.1059,1101.1059,1101.1059,1101.1059,0,0
20180629,SP-SGESG,Fonds,1099.737,1099.737,1099.737,1099.737,0,0
20180628,SP-SGESG,Fonds,1099.6026,1099.6026,1099.6026,1099.6026,0,0
20180627,SP-SGESG,Fonds,1092.7673,1092.7673,1092.7673,1092.7673,0,0
20180626,SP-SGESG,Fonds,1095.3178,1095.3178,1095.3178,1095.3178,0,0
20180625,SP-SGESG,Fonds,1093.5631,1093.5631,1093.5631,1093.5631,0,0
20180622,SP-SGESG,Fonds,1106.2832,1106.2832,1106.2832,1106.2832,0,0
20180621,SP-SGESG,Fonds,1104.4453,1104.4453,1104.4453,1104.4453,0,0
20180620,SP-SGESG,Fonds,1115.2044,1115.2044,1115.2044,1115.2044,0,0
20180619,SP-SGESG,Fonds,1118.6568,1118.6568,1118.6568,1118.6568,0,0
20180618,SP-SGESG,Fonds,1115.8337,1115.8337,1115.8337,1115.8337,0,0
20180615,SP-SGESG,Fonds,1119.6314,1119.6314,1119.6314,1119.6314,0,0
20180614,SP-SGESG,Fonds,1116.418,1116.418,1116.418,1116.418,0,0
20180613,SP-SGESG,Fonds,1106.5902,1106.5902,1106.5902,1106.5902,0,0
20180612,SP-SGESG,Fonds,1109.1277,1109.1277,1109.1277,1109.1277,0,0
20180611,SP-SGESG,Fonds,1110.3321,1110.3321,1110.3321,1110.3321,0,0
20180608,SP-SGESG,Fonds,1110.3831,1110.3831,1110.3831,1110.3831,0,0
20180607,SP-SGESG,Fonds,1107.0203,1107.0203,1107.0203,1107.0203,0,0
20180606,SP-SGESG,Fonds,1112.7374,1112.7374,1112.7374,1112.7374,0,0
20180605,SP-SGESG,Fonds,1111.8155,1111.8155,1111.8155,1111.8155,0,0
20180604,SP-SGESG,Fonds,1110.7322,1110.7322,1110.7322,1110.7322,0,0
20180601,SP-SGESG,Fonds,1110.8768,1110.8768,1110.8768,1110.8768,0,0
20180531,SP-SGESG,Fonds,1102.5938,1102.5938,1102.5938,1102.5938,0,0
20180530,SP-SGESG,Fonds,1108.6354,1108.6354,1108.6354,1108.6354,0,0
20180529,SP-SGESG,Fonds,1109.1207,1109.1207,1109.1207,1109.1207,0,0
20180528,SP-SGESG,Fonds,1111.0007,1111.0007,1111.0007,1111.0007,0,0
20180525,SP-SGESG,Fonds,1106.9279,1106.9279,1106.9279,1106.9279,0,0
20180524,SP-SGESG,Fonds,1102.5915,1102.5915,1102.5915,1102.5915,0,0
20180523,SP-SGESG,Fonds,1107.6117,1107.6117,1107.6117,1107.6117,0,0
20180522,SP-SGESG,Fonds,1104.1912,1104.1912,1104.1912,1104.1912,0,0
20180518,SP-SGESG,Fonds,1107.3175,1107.3175,1107.3175,1107.3175,0,0
20180516,SP-SGESG,Fonds,1107.8749,1107.8749,1107.8749,1107.8749,0,0
20180515,SP-SGESG,Fonds,1106.8296,1106.8296,1106.8296,1106.8296,0,0
20180514,SP-SGESG,Fonds,1099.4305,1099.4305,1099.4305,1099.4305,0,0
20180511,SP-SGESG,Fonds,1096.0125,1096.0125,1096.0125,1096.0125,0,0
20180509,SP-SGESG,Fonds,1095.8967,1095.8967,1095.8967,1095.8967,0,0
20180508,SP-SGESG,Fonds,1097.686,1097.686,1097.686,1097.686,0,0
20180507,SP-SGESG,Fonds,1087.1148,1087.1148,1087.1148,1087.1148,0,0
20180504,SP-SGESG,Fonds,1086.7923,1086.7923,1086.7923,1086.7923,0,0
20180503,SP-SGESG,Fonds,1077.4996,1077.4996,1077.4996,1077.4996,0,0
20180502,SP-SGESG,Fonds,1083.6431,1083.6431,1083.6431,1083.6431,0,0
20180430,SP-SGESG,Fonds,1075.098,1075.098,1075.098,1075.098,0,0
20180427,SP-SGESG,Fonds,1073.3304,1073.3304,1073.3304,1073.3304,0,0
20180426,SP-SGESG,Fonds,1073.9392,1073.9392,1073.9392,1073.9392,0,0
20180425,SP-SGESG,Fonds,1065.1011,1065.1011,1065.1011,1065.1011,0,0
20180424,SP-SGESG,Fonds,1059.1324,1059.1324,1059.1324,1059.1324,0,0
20180423,SP-SGESG,Fonds,1062.3596,1062.3596,1062.3596,1062.3596,0,0
20180420,SP-SGESG,Fonds,1056.2547,1056.2547,1056.2547,1056.2547,0,0
20180419,SP-SGESG,Fonds,1055.805,1055.805,1055.805,1055.805,0,0
20180418,SP-SGESG,Fonds,1057.5245,1057.5245,1057.5245,1057.5245,0,0
20180417,SP-SGESG,Fonds,1057.7939,1057.7939,1057.7939,1057.7939,0,0
20180416,SP-SGESG,Fonds,1051.0928,1051.0928,1051.0928,1051.0928,0,0
20180413,SP-SGESG,Fonds,1043.2765,1043.2765,1043.2765,1043.2765,0,0
20180412,SP-SGESG,Fonds,1048.1637,1048.1637,1048.1637,1048.1637,0,0
20180411,SP-SGESG,Fonds,1038.8691,1038.8691,1038.8691,1038.8691,0,0
20180410,SP-SGESG,Fonds,1049.4455,1049.4455,1049.4455,1049.4455,0,0
20180409,SP-SGESG,Fonds,1031.3093,1031.3093,1031.3093,1031.3093,0,0
20180406,SP-SGESG,Fonds,1032.538,1032.538,1032.538,1032.538,0,0
20180405,SP-SGESG,Fonds,1047.4361,1047.4361,1047.4361,1047.4361,0,0
20180404,SP-SGESG,Fonds,1036.6682,1036.6682,1036.6682,1036.6682,0,0
20180403,SP-SGESG,Fonds,1030.28,1030.28,1030.28,1030.28,0,0
20180328,SP-SGESG,Fonds,1028.4974,1028.4974,1028.4974,1028.4974,0,0
20180327,SP-SGESG,Fonds,1015.8039,1015.8039,1015.8039,1015.8039,0,0
20180326,SP-SGESG,Fonds,1019.7595,1019.7595,1019.7595,1019.7595,0,0
20180323,SP-SGESG,Fonds,1011.4297,1011.4297,1011.4297,1011.4297,0,0
20180322,SP-SGESG,Fonds,1030.4636,1030.4636,1030.4636,1030.4636,0,0
20180321,SP-SGESG,Fonds,1046.6907,1046.6907,1046.6907,1046.6907,0,0
20180320,SP-SGESG,Fonds,1046.3945,1046.3945,1046.3945,1046.3945,0,0
20180319,SP-SGESG,Fonds,1046.0866,1046.0866,1046.0866,1046.0866,0,0
20180316,SP-SGESG,Fonds,1055.3073,1055.3073,1055.3073,1055.3073,0,0
20180315,SP-SGESG,Fonds,1053.7766,1053.7766,1053.7766,1053.7766,0,0
20180314,SP-SGESG,Fonds,1058.0189,1058.0189,1058.0189,1058.0189,0,0
20180313,SP-SGESG,Fonds,1060.6536,1060.6536,1060.6536,1060.6536,0,0
20180312,SP-SGESG,Fonds,1069.6215,1069.6215,1069.6215,1069.6215,0,0
20180309,SP-SGESG,Fonds,1070.9521,1070.9521,1070.9521,1070.9521,0,0
20180308,SP-SGESG,Fonds,1067.7766,1067.7766,1067.7766,1067.7766,0,0
20180307,SP-SGESG,Fonds,1056.955,1056.955,1056.955,1056.955,0,0
20180306,SP-SGESG,Fonds,1054.5054,1054.5054,1054.5054,1054.5054,0,0
20180305,SP-SGESG,Fonds,1054.9134,1054.9134,1054.9134,1054.9134,0,0
20180302,SP-SGESG,Fonds,1045.8627,1045.8627,1045.8627,1045.8627,0,0
20180301,SP-SGESG,Fonds,1056.6691,1056.6691,1056.6691,1056.6691,0,0
