quote_date,paper,exch,open,high,low,close,volume,value
20180921,SP-SGLMV,Fonds,1165.209,1165.209,1165.209,1165.209,0,0
20180920,SP-SGLMV,Fonds,1161.6525,1161.6525,1161.6525,1161.6525,0,0
20180919,SP-SGLMV,Fonds,1154.9256,1154.9256,1154.9256,1154.9256,0,0
20180918,SP-SGLMV,Fonds,1153.9313,1153.9313,1153.9313,1153.9313,0,0
20180917,SP-SGLMV,Fonds,1146.7517,1146.7517,1146.7517,1146.7517,0,0
20180914,SP-SGLMV,Fonds,1151.5782,1151.5782,1151.5782,1151.5782,0,0
20180913,SP-SGLMV,Fonds,1146.114,1146.114,1146.114,1146.114,0,0
20180912,SP-SGLMV,Fonds,1141.4951,1141.4951,1141.4951,1141.4951,0,0
20180911,SP-SGLMV,Fonds,1141.0291,1141.0291,1141.0291,1141.0291,0,0
20180910,SP-SGLMV,Fonds,1139.3764,1139.3764,1139.3764,1139.3764,0,0
20180907,SP-SGLMV,Fonds,1137.8504,1137.8504,1137.8504,1137.8504,0,0
20180906,SP-SGLMV,Fonds,1141.1271,1141.1271,1141.1271,1141.1271,0,0
20180905,SP-SGLMV,Fonds,1149.2165,1149.2165,1149.2165,1149.2165,0,0
20180904,SP-SGLMV,Fonds,1154.5948,1154.5948,1154.5948,1154.5948,0,0
20180903,SP-SGLMV,Fonds,1157.312,1157.312,1157.312,1157.312,0,0
20180831,SP-SGLMV,Fonds,1157.7191,1157.7191,1157.7191,1157.7191,0,0
20180830,SP-SGLMV,Fonds,1159.8419,1159.8419,1159.8419,1159.8419,0,0
20180829,SP-SGLMV,Fonds,1164.7918,1164.7918,1164.7918,1164.7918,0,0
20180828,SP-SGLMV,Fonds,1161.2573,1161.2573,1161.2573,1161.2573,0,0
20180827,SP-SGLMV,Fonds,1161.204,1161.204,1161.204,1161.204,0,0
20180824,SP-SGLMV,Fonds,1155.1045,1155.1045,1155.1045,1155.1045,0,0
20180823,SP-SGLMV,Fonds,1149.8118,1149.8118,1149.8118,1149.8118,0,0
20180822,SP-SGLMV,Fonds,1150.9644,1150.9644,1150.9644,1150.9644,0,0
20180821,SP-SGLMV,Fonds,1149.655,1149.655,1149.655,1149.655,0,0
20180820,SP-SGLMV,Fonds,1144.7251,1144.7251,1144.7251,1144.7251,0,0
20180817,SP-SGLMV,Fonds,1139.9005,1139.9005,1139.9005,1139.9005,0,0
20180816,SP-SGLMV,Fonds,1137.5662,1137.5662,1137.5662,1137.5662,0,0
20180815,SP-SGLMV,Fonds,1131.5844,1131.5844,1131.5844,1131.5844,0,0
20180814,SP-SGLMV,Fonds,1145.3675,1145.3675,1145.3675,1145.3675,0,0
20180813,SP-SGLMV,Fonds,1138.896,1138.896,1138.896,1138.896,0,0
20180810,SP-SGLMV,Fonds,1145.2133,1145.2133,1145.2133,1145.2133,0,0
20180809,SP-SGLMV,Fonds,1154.4371,1154.4371,1154.4371,1154.4371,0,0
20180808,SP-SGLMV,Fonds,1153.4846,1153.4846,1153.4846,1153.4846,0,0
20180807,SP-SGLMV,Fonds,1155.218,1155.218,1155.218,1155.218,0,0
20180806,SP-SGLMV,Fonds,1154.2015,1154.2015,1154.2015,1154.2015,0,0
20180803,SP-SGLMV,Fonds,1152.4656,1152.4656,1152.4656,1152.4656,0,0
20180802,SP-SGLMV,Fonds,1150.5919,1150.5919,1150.5919,1150.5919,0,0
20180801,SP-SGLMV,Fonds,1147.7439,1147.7439,1147.7439,1147.7439,0,0
20180731,SP-SGLMV,Fonds,1153.1961,1153.1961,1153.1961,1153.1961,0,0
20180730,SP-SGLMV,Fonds,1148.8964,1148.8964,1148.8964,1148.8964,0,0
20180727,SP-SGLMV,Fonds,1152.1276,1152.1276,1152.1276,1152.1276,0,0
20180726,SP-SGLMV,Fonds,1154.7146,1154.7146,1154.7146,1154.7146,0,0
20180725,SP-SGLMV,Fonds,1148.2778,1148.2778,1148.2778,1148.2778,0,0
20180724,SP-SGLMV,Fonds,1141.3023,1141.3023,1141.3023,1141.3023,0,0
20180723,SP-SGLMV,Fonds,1140.6887,1140.6887,1140.6887,1140.6887,0,0
20180720,SP-SGLMV,Fonds,1142.232,1142.232,1142.232,1142.232,0,0
20180719,SP-SGLMV,Fonds,1146.7909,1146.7909,1146.7909,1146.7909,0,0
20180718,SP-SGLMV,Fonds,1147.4212,1147.4212,1147.4212,1147.4212,0,0
20180717,SP-SGLMV,Fonds,1144.2456,1144.2456,1144.2456,1144.2456,0,0
20180716,SP-SGLMV,Fonds,1138.2789,1138.2789,1138.2789,1138.2789,0,0
20180713,SP-SGLMV,Fonds,1141.5668,1141.5668,1141.5668,1141.5668,0,0
20180712,SP-SGLMV,Fonds,1139.3198,1139.3198,1139.3198,1139.3198,0,0
