quote_date,paper,exch,open,high,low,close,volume,value
20180921,SP-STGLP,Fonds,1128.2709,1128.2709,1128.2709,1128.2709,0,0
20180920,SP-STGLP,Fonds,1129.8162,1129.8162,1129.8162,1129.8162,0,0
20180919,SP-STGLP,Fonds,1119.2918,1119.2918,1119.2918,1119.2918,0,0
20180918,SP-STGLP,Fonds,1116.2175,1116.2175,1116.2175,1116.2175,0,0
20180917,SP-STGLP,Fonds,1113.56,1113.56,1113.56,1113.56,0,0
20180914,SP-STGLP,Fonds,1126.0037,1126.0037,1126.0037,1126.0037,0,0
20180913,SP-STGLP,Fonds,1122.2954,1122.2954,1122.2954,1122.2954,0,0
20180912,SP-STGLP,Fonds,1119.4505,1119.4505,1119.4505,1119.4505,0,0
20180911,SP-STGLP,Fonds,1130.3709,1130.3709,1130.3709,1130.3709,0,0
20180910,SP-STGLP,Fonds,1131.6889,1131.6889,1131.6889,1131.6889,0,0
20180907,SP-STGLP,Fonds,1135.1854,1135.1854,1135.1854,1135.1854,0,0
20180906,SP-STGLP,Fonds,1136.2467,1136.2467,1136.2467,1136.2467,0,0
20180905,SP-STGLP,Fonds,1138.1278,1138.1278,1138.1278,1138.1278,0,0
20180904,SP-STGLP,Fonds,1144.441,1144.441,1144.441,1144.441,0,0
20180903,SP-STGLP,Fonds,1141.234,1141.234,1141.234,1141.234,0,0
20180831,SP-STGLP,Fonds,1144.9868,1144.9868,1144.9868,1144.9868,0,0
20180830,SP-STGLP,Fonds,1143.4493,1143.4493,1143.4493,1143.4493,0,0
20180829,SP-STGLP,Fonds,1151.0053,1151.0053,1151.0053,1151.0053,0,0
20180828,SP-STGLP,Fonds,1143.9336,1143.9336,1143.9336,1143.9336,0,0
20180827,SP-STGLP,Fonds,1140.7538,1140.7538,1140.7538,1140.7538,0,0
20180824,SP-STGLP,Fonds,1131.9848,1131.9848,1131.9848,1131.9848,0,0
20180823,SP-STGLP,Fonds,1129.1084,1129.1084,1129.1084,1129.1084,0,0
20180822,SP-STGLP,Fonds,1132.6243,1132.6243,1132.6243,1132.6243,0,0
20180821,SP-STGLP,Fonds,1141.1152,1141.1152,1141.1152,1141.1152,0,0
20180820,SP-STGLP,Fonds,1143.6972,1143.6972,1143.6972,1143.6972,0,0
20180817,SP-STGLP,Fonds,1138.7088,1138.7088,1138.7088,1138.7088,0,0
20180816,SP-STGLP,Fonds,1132.1637,1132.1637,1132.1637,1132.1637,0,0
20180815,SP-STGLP,Fonds,1127.9352,1127.9352,1127.9352,1127.9352,0,0
20180814,SP-STGLP,Fonds,1124.2477,1124.2477,1124.2477,1124.2477,0,0
20180813,SP-STGLP,Fonds,1116.3651,1116.3651,1116.3651,1116.3651,0,0
20180810,SP-STGLP,Fonds,1119.6926,1119.6926,1119.6926,1119.6926,0,0
20180809,SP-STGLP,Fonds,1123.5567,1123.5567,1123.5567,1123.5567,0,0
20180808,SP-STGLP,Fonds,1117.2758,1117.2758,1117.2758,1117.2758,0,0
20180807,SP-STGLP,Fonds,1114.2506,1114.2506,1114.2506,1114.2506,0,0
20180806,SP-STGLP,Fonds,1115.8151,1115.8151,1115.8151,1115.8151,0,0
20180803,SP-STGLP,Fonds,1113.9964,1113.9964,1113.9964,1113.9964,0,0
20180802,SP-STGLP,Fonds,1108.0799,1108.0799,1108.0799,1108.0799,0,0
20180801,SP-STGLP,Fonds,1099.978,1099.978,1099.978,1099.978,0,0
20180731,SP-STGLP,Fonds,1097.8449,1097.8449,1097.8449,1097.8449,0,0
20180730,SP-STGLP,Fonds,1092.9492,1092.9492,1092.9492,1092.9492,0,0
20180727,SP-STGLP,Fonds,1102.9961,1102.9961,1102.9961,1102.9961,0,0
20180726,SP-STGLP,Fonds,1104.9367,1104.9367,1104.9367,1104.9367,0,0
20180725,SP-STGLP,Fonds,1105.3315,1105.3315,1105.3315,1105.3315,0,0
20180724,SP-STGLP,Fonds,1097.3593,1097.3593,1097.3593,1097.3593,0,0
20180723,SP-STGLP,Fonds,1093.5603,1093.5603,1093.5603,1093.5603,0,0
20180720,SP-STGLP,Fonds,1095.0774,1095.0774,1095.0774,1095.0774,0,0
20180719,SP-STGLP,Fonds,1100.1315,1100.1315,1100.1315,1100.1315,0,0
20180718,SP-STGLP,Fonds,1093.549,1093.549,1093.549,1093.549,0,0
20180717,SP-STGLP,Fonds,1084.3915,1084.3915,1084.3915,1084.3915,0,0
20180716,SP-STGLP,Fonds,1079.3633,1079.3633,1079.3633,1079.3633,0,0
20180713,SP-STGLP,Fonds,1081.9998,1081.9998,1081.9998,1081.9998,0,0
20180712,SP-STGLP,Fonds,1076.3127,1076.3127,1076.3127,1076.3127,0,0
20180711,SP-STGLP,Fonds,1062.0402,1062.0402,1062.0402,1062.0402,0,0
20180710,SP-STGLP,Fonds,1070.3516,1070.3516,1070.3516,1070.3516,0,0
20180709,SP-STGLP,Fonds,1064.3328,1064.3328,1064.3328,1064.3328,0,0
20180706,SP-STGLP,Fonds,1058.9721,1058.9721,1058.9721,1058.9721,0,0
20180705,SP-STGLP,Fonds,1053.3708,1053.3708,1053.3708,1053.3708,0,0
20180704,SP-STGLP,Fonds,1053.8969,1053.8969,1053.8969,1053.8969,0,0
20180703,SP-STGLP,Fonds,1057.5667,1057.5667,1057.5667,1057.5667,0,0
20180702,SP-STGLP,Fonds,1064.057,1064.057,1064.057,1064.057,0,0
20180629,SP-STGLP,Fonds,1061.8355,1061.8355,1061.8355,1061.8355,0,0
20180628,SP-STGLP,Fonds,1061.9387,1061.9387,1061.9387,1061.9387,0,0
20180627,SP-STGLP,Fonds,1055.6492,1055.6492,1055.6492,1055.6492,0,0
20180626,SP-STGLP,Fonds,1059.8176,1059.8176,1059.8176,1059.8176,0,0
20180625,SP-STGLP,Fonds,1058.8458,1058.8458,1058.8458,1058.8458,0,0
20180622,SP-STGLP,Fonds,1070.7692,1070.7692,1070.7692,1070.7692,0,0
20180621,SP-STGLP,Fonds,1070.1728,1070.1728,1070.1728,1070.1728,0,0
20180620,SP-STGLP,Fonds,1080.8754,1080.8754,1080.8754,1080.8754,0,0
20180619,SP-STGLP,Fonds,1083.6915,1083.6915,1083.6915,1083.6915,0,0
20180618,SP-STGLP,Fonds,1081.4186,1081.4186,1081.4186,1081.4186,0,0
20180615,SP-STGLP,Fonds,1085.6868,1085.6868,1085.6868,1085.6868,0,0
20180614,SP-STGLP,Fonds,1081.4414,1081.4414,1081.4414,1081.4414,0,0
20180613,SP-STGLP,Fonds,1072.1386,1072.1386,1072.1386,1072.1386,0,0
20180612,SP-STGLP,Fonds,1074.2389,1074.2389,1074.2389,1074.2389,0,0
20180611,SP-STGLP,Fonds,1074.1854,1074.1854,1074.1854,1074.1854,0,0
20180608,SP-STGLP,Fonds,1075.1947,1075.1947,1075.1947,1075.1947,0,0
20180607,SP-STGLP,Fonds,1071.4905,1071.4905,1071.4905,1071.4905,0,0
20180606,SP-STGLP,Fonds,1078.1136,1078.1136,1078.1136,1078.1136,0,0
20180605,SP-STGLP,Fonds,1077.5742,1077.5742,1077.5742,1077.5742,0,0
