quote_date,paper,exch,open,high,low,close,volume,value
20180921,SP-STNOP,Fonds,1188.9979,1188.9979,1188.9979,1188.9979,0,0
20180920,SP-STNOP,Fonds,1185.702,1185.702,1185.702,1185.702,0,0
20180919,SP-STNOP,Fonds,1179.6152,1179.6152,1179.6152,1179.6152,0,0
20180918,SP-STNOP,Fonds,1185.6031,1185.6031,1185.6031,1185.6031,0,0
20180917,SP-STNOP,Fonds,1174.2646,1174.2646,1174.2646,1174.2646,0,0
20180914,SP-STNOP,Fonds,1170.7345,1170.7345,1170.7345,1170.7345,0,0
20180913,SP-STNOP,Fonds,1168.595,1168.595,1168.595,1168.595,0,0
20180912,SP-STNOP,Fonds,1168.4889,1168.4889,1168.4889,1168.4889,0,0
20180911,SP-STNOP,Fonds,1165.60,1165.60,1165.60,1165.60,0,0
20180910,SP-STNOP,Fonds,1166.2423,1166.2423,1166.2423,1166.2423,0,0
20180907,SP-STNOP,Fonds,1161.9457,1161.9457,1161.9457,1161.9457,0,0
20180906,SP-STNOP,Fonds,1168.095,1168.095,1168.095,1168.095,0,0
20180905,SP-STNOP,Fonds,1167.1317,1167.1317,1167.1317,1167.1317,0,0
20180904,SP-STNOP,Fonds,1167.5976,1167.5976,1167.5976,1167.5976,0,0
20180903,SP-STNOP,Fonds,1172.2498,1172.2498,1172.2498,1172.2498,0,0
20180831,SP-STNOP,Fonds,1169.6846,1169.6846,1169.6846,1169.6846,0,0
20180830,SP-STNOP,Fonds,1174.3126,1174.3126,1174.3126,1174.3126,0,0
20180829,SP-STNOP,Fonds,1176.7431,1176.7431,1176.7431,1176.7431,0,0
20180828,SP-STNOP,Fonds,1177.8482,1177.8482,1177.8482,1177.8482,0,0
20180827,SP-STNOP,Fonds,1174.1561,1174.1561,1174.1561,1174.1561,0,0
20180824,SP-STNOP,Fonds,1172.3225,1172.3225,1172.3225,1172.3225,0,0
20180823,SP-STNOP,Fonds,1170.9603,1170.9603,1170.9603,1170.9603,0,0
20180822,SP-STNOP,Fonds,1170.8893,1170.8893,1170.8893,1170.8893,0,0
20180821,SP-STNOP,Fonds,1165.9274,1165.9274,1165.9274,1165.9274,0,0
20180820,SP-STNOP,Fonds,1167.6455,1167.6455,1167.6455,1167.6455,0,0
20180817,SP-STNOP,Fonds,1153.8185,1153.8185,1153.8185,1153.8185,0,0
20180816,SP-STNOP,Fonds,1148.3302,1148.3302,1148.3302,1148.3302,0,0
20180815,SP-STNOP,Fonds,1140.7206,1140.7206,1140.7206,1140.7206,0,0
20180814,SP-STNOP,Fonds,1152.4355,1152.4355,1152.4355,1152.4355,0,0
20180813,SP-STNOP,Fonds,1149.5727,1149.5727,1149.5727,1149.5727,0,0
20180810,SP-STNOP,Fonds,1153.9456,1153.9456,1153.9456,1153.9456,0,0
20180809,SP-STNOP,Fonds,1168.61,1168.61,1168.61,1168.61,0,0
20180808,SP-STNOP,Fonds,1163.5551,1163.5551,1163.5551,1163.5551,0,0
20180807,SP-STNOP,Fonds,1159.7592,1159.7592,1159.7592,1159.7592,0,0
20180806,SP-STNOP,Fonds,1152.6209,1152.6209,1152.6209,1152.6209,0,0
20180803,SP-STNOP,Fonds,1152.5167,1152.5167,1152.5167,1152.5167,0,0
20180802,SP-STNOP,Fonds,1157.6468,1157.6468,1157.6468,1157.6468,0,0
20180801,SP-STNOP,Fonds,1158.1958,1158.1958,1158.1958,1158.1958,0,0
20180731,SP-STNOP,Fonds,1157.2083,1157.2083,1157.2083,1157.2083,0,0
20180730,SP-STNOP,Fonds,1152.0774,1152.0774,1152.0774,1152.0774,0,0
20180727,SP-STNOP,Fonds,1153.8809,1153.8809,1153.8809,1153.8809,0,0
20180726,SP-STNOP,Fonds,1146.0316,1146.0316,1146.0316,1146.0316,0,0
20180725,SP-STNOP,Fonds,1140.6651,1140.6651,1140.6651,1140.6651,0,0
20180724,SP-STNOP,Fonds,1137.3005,1137.3005,1137.3005,1137.3005,0,0
20180723,SP-STNOP,Fonds,1132.4408,1132.4408,1132.4408,1132.4408,0,0
20180720,SP-STNOP,Fonds,1130.9003,1130.9003,1130.9003,1130.9003,0,0
20180719,SP-STNOP,Fonds,1125.9066,1125.9066,1125.9066,1125.9066,0,0
20180718,SP-STNOP,Fonds,1128.6935,1128.6935,1128.6935,1128.6935,0,0
20180717,SP-STNOP,Fonds,1124.0655,1124.0655,1124.0655,1124.0655,0,0
20180716,SP-STNOP,Fonds,1114.3403,1114.3403,1114.3403,1114.3403,0,0
20180713,SP-STNOP,Fonds,1115.6456,1115.6456,1115.6456,1115.6456,0,0
20180712,SP-STNOP,Fonds,1132.4701,1132.4701,1132.4701,1132.4701,0,0
20180711,SP-STNOP,Fonds,1134.6512,1134.6512,1134.6512,1134.6512,0,0
20180710,SP-STNOP,Fonds,1142.2386,1142.2386,1142.2386,1142.2386,0,0
20180709,SP-STNOP,Fonds,1134.4386,1134.4386,1134.4386,1134.4386,0,0
20180706,SP-STNOP,Fonds,1127.2619,1127.2619,1127.2619,1127.2619,0,0
20180705,SP-STNOP,Fonds,1129.2058,1129.2058,1129.2058,1129.2058,0,0
20180704,SP-STNOP,Fonds,1130.3736,1130.3736,1130.3736,1130.3736,0,0
20180703,SP-STNOP,Fonds,1126.6437,1126.6437,1126.6437,1126.6437,0,0
20180702,SP-STNOP,Fonds,1121.605,1121.605,1121.605,1121.605,0,0
20180629,SP-STNOP,Fonds,1122.9096,1122.9096,1122.9096,1122.9096,0,0
20180628,SP-STNOP,Fonds,1118.9381,1118.9381,1118.9381,1118.9381,0,0
20180627,SP-STNOP,Fonds,1130.9373,1130.9373,1130.9373,1130.9373,0,0
20180626,SP-STNOP,Fonds,1125.0905,1125.0905,1125.0905,1125.0905,0,0
20180625,SP-STNOP,Fonds,1126.5634,1126.5634,1126.5634,1126.5634,0,0
