quote_date,paper,exch,open,high,low,close,volume,value
20180921,ST-SKINS,Fonds,109.9852,109.9852,109.9852,109.9852,0,0
20180920,ST-SKINS,Fonds,110.0057,110.0057,110.0057,110.0057,0,0
20180919,ST-SKINS,Fonds,109.3552,109.3552,109.3552,109.3552,0,0
20180918,ST-SKINS,Fonds,107.8932,107.8932,107.8932,107.8932,0,0
20180917,ST-SKINS,Fonds,107.8603,107.8603,107.8603,107.8603,0,0
20180914,ST-SKINS,Fonds,108.5623,108.5623,108.5623,108.5623,0,0
20180913,ST-SKINS,Fonds,108.1313,108.1313,108.1313,108.1313,0,0
20180912,ST-SKINS,Fonds,108.2438,108.2438,108.2438,108.2438,0,0
20180911,ST-SKINS,Fonds,108.2795,108.2795,108.2795,108.2795,0,0
20180910,ST-SKINS,Fonds,108.8168,108.8168,108.8168,108.8168,0,0
20180907,ST-SKINS,Fonds,108.4472,108.4472,108.4472,108.4472,0,0
20180906,ST-SKINS,Fonds,109.3587,109.3587,109.3587,109.3587,0,0
20180905,ST-SKINS,Fonds,109.0021,109.0021,109.0021,109.0021,0,0
20180904,ST-SKINS,Fonds,108.4869,108.4869,108.4869,108.4869,0,0
20180903,ST-SKINS,Fonds,108.5008,108.5008,108.5008,108.5008,0,0
20180831,ST-SKINS,Fonds,108.4297,108.4297,108.4297,108.4297,0,0
20180830,ST-SKINS,Fonds,109.5161,109.5161,109.5161,109.5161,0,0
20180829,ST-SKINS,Fonds,109.7741,109.7741,109.7741,109.7741,0,0
20180828,ST-SKINS,Fonds,110.1056,110.1056,110.1056,110.1056,0,0
20180827,ST-SKINS,Fonds,109.5428,109.5428,109.5428,109.5428,0,0
20180824,ST-SKINS,Fonds,108.4763,108.4763,108.4763,108.4763,0,0
20180823,ST-SKINS,Fonds,108.2871,108.2871,108.2871,108.2871,0,0
20180822,ST-SKINS,Fonds,108.9268,108.9268,108.9268,108.9268,0,0
20180821,ST-SKINS,Fonds,109.1022,109.1022,109.1022,109.1022,0,0
20180820,ST-SKINS,Fonds,109.0571,109.0571,109.0571,109.0571,0,0
20180817,ST-SKINS,Fonds,107.8474,107.8474,107.8474,107.8474,0,0
20180816,ST-SKINS,Fonds,107.4342,107.4342,107.4342,107.4342,0,0
20180815,ST-SKINS,Fonds,107.1882,107.1882,107.1882,107.1882,0,0
20180814,ST-SKINS,Fonds,107.4081,107.4081,107.4081,107.4081,0,0
20180813,ST-SKINS,Fonds,106.3381,106.3381,106.3381,106.3381,0,0
20180810,ST-SKINS,Fonds,106.7311,106.7311,106.7311,106.7311,0,0
20180809,ST-SKINS,Fonds,107.659,107.659,107.659,107.659,0,0
20180808,ST-SKINS,Fonds,108.4081,108.4081,108.4081,108.4081,0,0
20180807,ST-SKINS,Fonds,108.2146,108.2146,108.2146,108.2146,0,0
20180806,ST-SKINS,Fonds,106.5637,106.5637,106.5637,106.5637,0,0
20180803,ST-SKINS,Fonds,106.7603,106.7603,106.7603,106.7603,0,0
20180802,ST-SKINS,Fonds,106.60,106.60,106.60,106.60,0,0
20180801,ST-SKINS,Fonds,107.3388,107.3388,107.3388,107.3388,0,0
20180731,ST-SKINS,Fonds,108.5937,108.5937,108.5937,108.5937,0,0
20180730,ST-SKINS,Fonds,108.294,108.294,108.294,108.294,0,0
20180727,ST-SKINS,Fonds,108.3523,108.3523,108.3523,108.3523,0,0
20180726,ST-SKINS,Fonds,108.2734,108.2734,108.2734,108.2734,0,0
20180725,ST-SKINS,Fonds,107.1247,107.1247,107.1247,107.1247,0,0
20180724,ST-SKINS,Fonds,107.8103,107.8103,107.8103,107.8103,0,0
20180723,ST-SKINS,Fonds,106.9576,106.9576,106.9576,106.9576,0,0
20180720,ST-SKINS,Fonds,107.2109,107.2109,107.2109,107.2109,0,0
20180719,ST-SKINS,Fonds,108.0891,108.0891,108.0891,108.0891,0,0
20180718,ST-SKINS,Fonds,108.0268,108.0268,108.0268,108.0268,0,0
20180717,ST-SKINS,Fonds,106.3416,106.3416,106.3416,106.3416,0,0
20180716,ST-SKINS,Fonds,105.258,105.258,105.258,105.258,0,0
20180713,ST-SKINS,Fonds,105.7338,105.7338,105.7338,105.7338,0,0
20180712,ST-SKINS,Fonds,105.3693,105.3693,105.3693,105.3693,0,0
20180711,ST-SKINS,Fonds,105.6272,105.6272,105.6272,105.6272,0,0
20180710,ST-SKINS,Fonds,106.9833,106.9833,106.9833,106.9833,0,0
20180709,ST-SKINS,Fonds,106.3112,106.3112,106.3112,106.3112,0,0
20180706,ST-SKINS,Fonds,105.8745,105.8745,105.8745,105.8745,0,0
20180705,ST-SKINS,Fonds,104.2272,104.2272,104.2272,104.2272,0,0
20180704,ST-SKINS,Fonds,104.4643,104.4643,104.4643,104.4643,0,0
20180703,ST-SKINS,Fonds,105.263,105.263,105.263,105.263,0,0
20180702,ST-SKINS,Fonds,105.0898,105.0898,105.0898,105.0898,0,0
20180629,ST-SKINS,Fonds,106.1635,106.1635,106.1635,106.1635,0,0
20180628,ST-SKINS,Fonds,105.7028,105.7028,105.7028,105.7028,0,0
20180627,ST-SKINS,Fonds,106.7021,106.7021,106.7021,106.7021,0,0
20180626,ST-SKINS,Fonds,106.1274,106.1274,106.1274,106.1274,0,0
20180625,ST-SKINS,Fonds,107.2964,107.2964,107.2964,107.2964,0,0
20180622,ST-SKINS,Fonds,108.3406,108.3406,108.3406,108.3406,0,0
20180621,ST-SKINS,Fonds,107.6864,107.6864,107.6864,107.6864,0,0
20180620,ST-SKINS,Fonds,109.2008,109.2008,109.2008,109.2008,0,0
20180619,ST-SKINS,Fonds,108.691,108.691,108.691,108.691,0,0
20180618,ST-SKINS,Fonds,108.8966,108.8966,108.8966,108.8966,0,0
20180615,ST-SKINS,Fonds,109.5751,109.5751,109.5751,109.5751,0,0
20180614,ST-SKINS,Fonds,109.9273,109.9273,109.9273,109.9273,0,0
20180613,ST-SKINS,Fonds,109.5336,109.5336,109.5336,109.5336,0,0
20180612,ST-SKINS,Fonds,109.3962,109.3962,109.3962,109.3962,0,0
20180611,ST-SKINS,Fonds,108.9485,108.9485,108.9485,108.9485,0,0
20180608,ST-SKINS,Fonds,108.1818,108.1818,108.1818,108.1818,0,0
20180607,ST-SKINS,Fonds,108.5819,108.5819,108.5819,108.5819,0,0
20180606,ST-SKINS,Fonds,108.262,108.262,108.262,108.262,0,0
20180605,ST-SKINS,Fonds,108.8804,108.8804,108.8804,108.8804,0,0
20180604,ST-SKINS,Fonds,107.9954,107.9954,107.9954,107.9954,0,0
20180601,ST-SKINS,Fonds,108.1646,108.1646,108.1646,108.1646,0,0
20180531,ST-SKINS,Fonds,107.6653,107.6653,107.6653,107.6653,0,0
20180530,ST-SKINS,Fonds,108.0391,108.0391,108.0391,108.0391,0,0
20180529,ST-SKINS,Fonds,108.9117,108.9117,108.9117,108.9117,0,0
20180528,ST-SKINS,Fonds,108.7962,108.7962,108.7962,108.7962,0,0
20180525,ST-SKINS,Fonds,108.636,108.636,108.636,108.636,0,0
20180524,ST-SKINS,Fonds,108.0376,108.0376,108.0376,108.0376,0,0
20180523,ST-SKINS,Fonds,108.9874,108.9874,108.9874,108.9874,0,0
20180522,ST-SKINS,Fonds,109.3753,109.3753,109.3753,109.3753,0,0
20180518,ST-SKINS,Fonds,109.9872,109.9872,109.9872,109.9872,0,0
20180516,ST-SKINS,Fonds,109.1928,109.1928,109.1928,109.1928,0,0
20180515,ST-SKINS,Fonds,108.965,108.965,108.965,108.965,0,0
20180514,ST-SKINS,Fonds,109.0144,109.0144,109.0144,109.0144,0,0
20180511,ST-SKINS,Fonds,109.0135,109.0135,109.0135,109.0135,0,0
20180509,ST-SKINS,Fonds,108.118,108.118,108.118,108.118,0,0
20180508,ST-SKINS,Fonds,109.6182,109.6182,109.6182,109.6182,0,0
20180507,ST-SKINS,Fonds,108.8603,108.8603,108.8603,108.8603,0,0
20180504,ST-SKINS,Fonds,108.571,108.571,108.571,108.571,0,0
